timestamp,angle,velocity,acceleration,push_direction,push_magnitude,energy,phase_x,phase_y
0.000,3.001966,-0.002793,-0.455096,-1,2.000,58.573624,3.001966,-0.002793
0.006,3.001959,-0.002293,-0.455118,0,0.000,58.573585,3.001959,-0.002293
0.008,3.001954,-0.003057,-0.455136,0,0.000,58.573581,3.001954,-0.003057
0.026,3.001837,-0.009923,-0.455514,0,0.000,58.573503,3.001837,-0.009923
0.058,3.001325,-0.022115,-0.457174,0,0.000,58.573156,3.001325,-0.022115
0.076,3.000865,-0.028984,-0.458663,0,0.000,58.572840,3.000865,-0.028984
0.092,3.000352,-0.035108,-0.460323,0,0.000,58.572486,3.000352,-0.035108
0.108,2.999741,-0.041256,-0.462300,0,0.000,58.572063,2.999741,-0.041256
0.126,2.998936,-0.048213,-0.464907,0,0.000,58.571504,2.998936,-0.048213
0.142,2.998115,-0.054440,-0.467564,0,0.000,58.570935,2.998115,-0.054440
0.158,2.997194,-0.060716,-0.470545,0,0.000,58.570298,2.997194,-0.060716
0.176,2.996037,-0.067845,-0.474289,0,0.000,58.569504,2.996037,-0.067845
0.192,2.994900,-0.074251,-0.477966,0,0.000,58.568729,2.994900,-0.074251
0.208,2.993660,-0.080731,-0.481976,0,0.000,58.567893,2.993660,-0.080731
0.222,2.992490,-0.086468,-0.485761,0,0.000,58.567113,2.992490,-0.086468
0.236,2.991239,-0.092272,-0.489806,0,0.000,58.566289,2.991239,-0.092272
0.250,2.989906,-0.098149,-0.494115,0,0.000,58.565423,2.989906,-0.098149
0.264,2.988490,-0.104105,-0.498691,0,0.000,58.564519,2.988490,-0.104105
0.270,2.987858,-0.106683,-0.500734,0,0.000,58.564121,2.987858,-0.106683
0.300,2.984462,-0.119820,-0.511707,0,0.000,58.562037,2.984462,-0.119820
0.316,2.982487,-0.127009,-0.518083,0,0.000,58.560871,2.982487,-0.127009
0.332,2.980396,-0.134335,-0.524832,0,0.000,58.559676,2.980396,-0.134335
0.348,2.978188,-0.141807,-0.531960,0,0.000,58.558456,2.978188,-0.141807
