timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,3.2877,0.1147,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Off,0.0000
0.251,3.3081,0.2372,0,0.0,true,1,19.5124,Free Play,0,0.3500,,Off,0.0000
0.351,3.3375,0.3526,0,0.0,true,1,19.4944,Free Play,0,0.3500,,Off,0.0000
0.451,3.3792,0.4829,0,0.0,true,1,19.4610,Free Play,0,0.3500,,Off,0.0000
0.559,3.4395,0.6459,0,0.0,true,1,19.3965,Free Play,0,0.3500,,Off,0.0000
0.653,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.661,3.4357,-2.1575,0,0.0,true,1,21.5260,Free Play,0,0.3500,,Off,0.0000
0.765,3.2194,-1.9851,0,0.0,true,1,21.5606,Free Play,0,0.3500,,Off,0.0000
0.866,3.0235,-1.9246,0,0.0,true,1,21.4038,Free Play,0,0.3500,,Off,0.0000
0.968,2.8261,-1.9626,0,0.0,true,1,21.0617,Free Play,0,0.3500,,Off,0.0000
1.084,2.5904,-2.1216,0,0.0,false,1,20.4178,Free Play,0,0.3500,,Off,0.0000
1.201,2.3272,-2.3997,0,0.0,false,1,19.4223,Free Play,0,0.3500,,Off,0.0000
1.218,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.133,,0.0000
1.318,2.3744,0.2135,0,0.0,false,1,16.8944,Free Play,0,0.3500,,Off,0.0000
1.417,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.333,,0.0000
1.420,2.4361,2.8822,0,0.0,false,1,21.4320,Free Play,0,0.3500,,Off,0.0000
1.534,2.7466,2.5584,0,0.0,false,1,22.1372,Free Play,0,0.3500,,Off,0.0000
1.651,3.0338,2.3937,0,0.0,true,1,22.4280,Free Play,0,0.3500,,Off,0.0000
1.751,3.2722,2.3833,0,0.0,true,1,22.3764,Free Play,0,0.3500,,Off,0.0000
1.869,3.5595,2.5212,0,0.0,false,1,21.9541,Free Play,0,0.3500,,Off,0.0000
1.967,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.098,,0.0000
