timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.985,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.552,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.819,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.168,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.768,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.202,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.452,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.852,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.102,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.370,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.569,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.469,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.853,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.235,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
