timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,3.2881,0.1178,0,0.0,true,1,19.5219,Free Play,0,0.3500,,Off,0.0000
0.235,3.3051,0.2229,0,0.0,true,1,19.5140,Free Play,0,0.3500,,Off,0.0000
0.351,3.3386,0.3563,0,0.0,true,1,19.4937,Free Play,0,0.3500,,Off,0.0000
0.451,3.3807,0.4873,0,0.0,true,1,19.4596,Free Play,0,0.3500,,Off,0.0000
0.551,3.4368,0.6391,0,0.0,true,1,19.3997,Free Play,0,0.3500,,Off,0.0000
0.669,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.671,3.4632,-2.1322,0,0.0,true,1,21.3901,Free Play,0,0.3500,,Off,0.0000
0.785,3.2336,-1.9352,0,0.0,true,1,21.4511,Free Play,0,0.3500,,Off,0.0000
0.902,3.0126,-1.8655,0,0.0,true,1,21.2785,Free Play,0,0.3500,,Off,0.0000
1.018,2.7938,-1.9220,0,0.0,true,1,20.8796,Free Play,0,0.3500,,Off,0.0000
1.134,2.5607,-2.0987,0,0.0,false,1,20.2129,Free Play,0,0.3500,,Off,0.0000
1.251,2.2999,-2.3895,0,0.0,false,1,19.2000,Free Play,0,0.3500,,Off,0.0000
1.268,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.134,,0.0000
1.351,2.3436,0.2669,0,0.0,false,1,16.6945,Free Play,0,0.3500,,Off,0.0000
1.452,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.317,,0.0000
1.454,2.4128,2.9211,0,0.0,false,1,21.3943,Free Play,0,0.3500,,Off,0.0000
1.568,2.7262,2.5869,0,0.0,false,1,22.1317,Free Play,0,0.3500,,Off,0.0000
1.685,3.0155,2.4112,0,0.0,true,1,22.4491,Free Play,0,0.3500,,Off,0.0000
1.801,3.2940,2.3998,0,0.0,true,1,22.3858,Free Play,0,0.3500,,Off,0.0000
1.918,3.5807,2.5477,0,0.0,false,1,21.9348,Free Play,0,0.3500,,Off,0.0000
1.935,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.018,,0.0000
2.018,3.5477,-0.2092,0,0.0,false,1,18.8440,Free Play,0,0.3500,,Off,0.0000
2.118,3.5383,0.0198,0,0.0,false,1,18.8585,Free Play,0,0.3500,,Off,0.0000
2.224,3.5525,0.2535,0,0.0,false,1,18.8356,Free Play,0,0.3500,,Off,0.0000
2.251,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.333,,0.0000
2.335,3.2977,-2.4961,0,0.0,true,1,22.6159,Free Play,0,0.3500,,Off,0.0000
2.435,3.0539,-2.3992,0,0.0,true,1,22.4604,Free Play,0,0.3500,,Off,0.0000
2.535,2.8137,-2.4227,0,0.0,true,1,22.0321,Free Play,0,0.3500,,Off,0.0000
2.657,2.5111,-2.6018,0,0.0,false,1,21.1185,Free Play,0,0.3500,,Off,0.0000
2.734,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.078,,0.0000
2.768,2.3520,0.0829,0,0.0,false,1,16.7212,Free Play,0,0.3500,,Off,0.0000
2.868,2.3441,-0.2411,0,0.0,false,1,16.6912,Free Play,0,0.3500,,Off,0.0000
2.969,2.3034,-0.5685,0,0.0,false,1,16.5329,Free Play,0,0.3500,,Off,0.0000
3.091,2.2093,-0.9827,0,0.0,false,1,16.1394,Free Play,0,0.3500,,Off,0.0000
3.135,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.478,,0.0000
3.202,2.3277,1.5915,0,0.0,false,1,17.8129,Free Play,0,0.3500,,Off,0.0000
3.318,2.4898,1.2073,0,0.0,false,1,18.3377,Free Play,0,0.3500,,Off,0.0000
3.418,2.5967,0.9359,0,0.0,false,1,18.6371,Free Play,0,0.3500,,Off,0.0000
3.535,2.6902,0.6759,0,0.0,false,1,18.8658,Free Play,0,0.3500,,Off,0.0000
3.635,2.7483,0.4911,0,0.0,false,1,18.9916,Free Play,0,0.3500,,Off,0.0000
3.752,2.7947,0.3076,0,0.0,true,1,19.0831,Free Play,0,0.3500,,Off,0.0000
3.868,2.8211,0.1490,0,0.0,true,1,19.1317,Free Play,0,0.3500,,Off,0.0000
3.985,2.8299,0.0031,0,0.0,true,1,19.1474,Free Play,0,0.3500,,Off,0.0000
4.101,2.8220,-0.1391,0,0.0,true,1,19.1330,Free Play,0,0.3500,,Off,0.0000
4.202,2.8018,-0.2654,0,0.0,true,1,19.0944,Free Play,0,0.3500,,Off,0.0000
4.302,2.7684,-0.4020,0,0.0,false,1,19.0257,Free Play,0,0.3500,,Off,0.0000
4.420,2.7107,-0.5832,0,0.0,false,1,18.8933,Free Play,0,0.3500,,Off,0.0000
