timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,2.9994,-0.0442,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Off,0.0000
0.234,2.9930,-0.0838,0,0.0,true,1,19.5155,Free Play,0,0.3500,,Off,0.0000
0.335,2.9825,-0.1269,0,0.0,true,1,19.5042,Free Play,0,0.3500,,Off,0.0000
0.451,2.9645,-0.1840,0,0.0,true,1,19.4835,Free Play,0,0.3500,,Off,0.0000
0.551,2.9433,-0.2415,0,0.0,true,1,19.4569,Free Play,0,0.3500,,Off,0.0000
0.651,2.9158,-0.3097,0,0.0,true,1,19.4190,Free Play,0,0.3500,,Off,0.0000
0.751,2.8809,-0.3916,0,0.0,true,1,19.3651,Free Play,0,0.3500,,Off,0.0000
0.852,2.8368,-0.4908,0,0.0,true,1,19.2883,Free Play,0,0.3500,,Off,0.0000
0.957,2.7791,-0.6173,0,0.0,false,1,19.1731,Free Play,0,0.3500,,Off,0.0000
1.018,0.0,0.0,-1,1.83,false,1,,Free Play,0,0.3500,0.060,,0.0000
1.068,2.8223,1.0390,0,0.0,true,1,19.6641,Free Play,0,0.3500,,Off,0.0000
1.185,2.9351,0.9020,0,0.0,true,1,19.8185,Free Play,0,0.3500,,Off,0.0000
1.303,3.0362,0.8278,0,0.0,true,1,19.9082,Free Play,0,0.3500,,Off,0.0000
1.418,3.1304,0.8117,0,0.0,true,1,19.9488,Free Play,0,0.3500,,Off,0.0000
1.535,3.2269,0.8505,0,0.0,true,1,19.9460,Free Play,0,0.3500,,Off,0.0000
1.603,0.0,0.0,1,1.83,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.652,3.2065,-0.8801,0,0.0,true,1,19.9867,Free Play,0,0.3500,,Off,0.0000
1.768,3.1081,-0.8150,0,0.0,true,1,19.9466,Free Play,0,0.3500,,Off,0.0000
1.868,3.0274,-0.8044,0,0.0,true,1,19.8796,Free Play,0,0.3500,,Off,0.0000
1.968,2.9458,-0.8338,0,0.0,true,1,19.7802,Free Play,0,0.3500,,Off,0.0000
2.051,0.0,0.0,-1,1.83,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.069,2.9205,0.9187,0,0.0,true,1,19.8032,Free Play,0,0.3500,,Off,0.0000
2.185,3.0220,0.8367,0,0.0,true,1,19.9000,Free Play,0,0.3500,,Off,0.0000
2.302,3.1177,0.8125,0,0.0,true,1,19.9473,Free Play,0,0.3500,,Off,0.0000
2.402,3.2000,0.8361,0,0.0,true,1,19.9528,Free Play,0,0.3500,,Off,0.0000
2.485,0.0,0.0,1,1.83,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.519,3.2096,-0.9068,0,0.0,true,1,20.0085,Free Play,0,0.3500,,Off,0.0000
2.668,3.1110,-0.8412,0,0.0,true,2,19.9692,Free Play,0,0.3500,,Off,0.0000
2.785,3.0140,-0.8313,0,0.0,true,2,19.8857,Free Play,0,0.3500,,Off,0.0000
2.902,2.9147,-0.8775,0,0.0,true,2,19.7536,Free Play,0,0.3500,,Off,0.0000
2.985,0.0,0.0,-1,1.83,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.019,2.8984,0.8417,0,0.0,true,2,19.6856,Free Play,0,0.3500,,Off,0.0000
3.119,2.9783,0.7562,0,0.0,true,2,19.7754,Free Play,0,0.3500,,Off,0.0000
3.219,3.0513,0.7099,0,0.0,true,2,19.8320,Free Play,0,0.3500,,Off,0.0000
3.335,3.1329,0.7014,0,0.0,true,2,19.8656,Free Play,0,0.3500,,Off,0.0000
3.452,3.2165,0.7404,0,0.0,true,2,19.8666,Free Play,0,0.3500,,Off,0.0000
3.569,3.3077,0.8286,0,0.0,true,2,19.8283,Free Play,0,0.3500,,Off,0.0000
3.585,0.0,0.0,1,1.83,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.670,3.2127,-0.8909,0,0.0,true,2,19.9921,Free Play,0,0.3500,,Off,0.0000
3.786,3.1140,-0.8226,0,0.0,true,2,19.9546,Free Play,0,0.3500,,Off,0.0000
3.902,3.0193,-0.8108,0,0.0,true,2,19.8754,Free Play,0,0.3500,,Off,0.0000
4.005,2.9345,-0.8458,0,0.0,true,2,19.7680,Free Play,0,0.3500,,Off,0.0000
