timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.133,2.9995,-0.0437,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Off,0.0000
0.233,2.9931,-0.0837,0,0.0,true,1,19.5155,Free Play,0,0.3500,,Off,0.0000
0.334,2.9826,-0.1267,0,0.0,true,1,19.5042,Free Play,0,0.3500,,Off,0.0000
0.434,2.9675,-0.1752,0,0.0,true,1,19.4870,Free Play,0,0.3500,,Off,0.0000
0.549,2.9436,-0.2408,0,0.0,true,1,19.4573,Free Play,0,0.3500,,Off,0.0000
0.651,2.9159,-0.3095,0,0.0,true,1,19.4191,Free Play,0,0.3500,,Off,0.0000
0.767,2.8743,-0.4067,0,0.0,true,1,19.3542,Free Play,0,0.3500,,Off,0.0000
0.884,2.8202,-0.5275,0,0.0,true,1,19.2569,Free Play,0,0.3500,,Off,0.0000
0.985,2.7607,-0.6571,0,0.0,false,1,19.1328,Free Play,0,0.3500,,Off,0.0000
1.121,2.6598,-0.8716,0,0.0,false,1,18.8833,Free Play,0,0.3500,,Off,0.0000
1.233,2.5505,-1.0990,0,0.0,false,1,18.5592,Free Play,0,0.3500,,Off,0.0000
1.333,2.4282,-1.3471,0,0.0,false,1,18.1349,Free Play,0,0.3500,,Off,0.0000
1.434,2.2790,-1.6407,0,0.0,false,1,17.5370,Free Play,0,0.3500,,Off,0.0000
1.549,2.0657,-2.0406,0,0.0,false,1,16.5509,Free Play,0,0.3500,,Off,0.0000
1.650,1.8408,-2.4326,0,0.0,false,1,15.3850,Free Play,0,0.3500,,Off,0.0000
