timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.901,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.436,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.634,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.852,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.419,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.735,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.285,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.535,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.286,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.902,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.303,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.622,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.019,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.202,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.319,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.752,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.236,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.652,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.969,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.320,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
