timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.0000,-0.0385,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.234,2.9930,-0.0842,0,0.0,true,1,19.5154,Free Play,0,0.3500,,Off,0.0000
0.334,2.9823,-0.1276,0,0.0,true,1,19.5040,Free Play,0,0.3500,,Off,0.0000
0.436,2.9670,-0.1766,0,0.0,true,1,19.4865,Free Play,0,0.3500,,Off,0.0000
0.551,2.9428,-0.2427,0,0.0,true,1,19.4563,Free Play,0,0.3500,,Off,0.0000
0.668,2.9100,-0.3237,0,0.0,true,1,19.4104,Free Play,0,0.3500,,Off,0.0000
0.768,2.8735,-0.4085,0,0.0,true,1,19.3529,Free Play,0,0.3500,,Off,0.0000
0.868,2.8276,-0.5113,0,0.0,true,1,19.2710,Free Play,0,0.3500,,Off,0.0000
0.985,2.7593,-0.6601,0,0.0,false,1,19.1297,Free Play,0,0.3500,,Off,0.0000
1.101,2.6723,-0.8455,0,0.0,false,1,18.9167,Free Play,0,0.3500,,Off,0.0000
1.217,2.5616,-1.0760,0,0.0,false,1,18.5947,Free Play,0,0.3500,,Off,0.0000
1.318,2.4410,-1.3214,0,0.0,false,1,18.1824,Free Play,0,0.3500,,Off,0.0000
1.418,2.2946,-1.6105,0,0.0,false,1,17.6034,Free Play,0,0.3500,,Off,0.0000
1.535,2.0840,-2.0072,0,0.0,false,1,16.6410,Free Play,0,0.3500,,Off,0.0000
1.654,1.8190,-2.4688,0,0.0,false,1,15.2669,Free Play,0,0.3500,,Off,0.0000
