timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.135,3.2871,0.1091,0,0.0,true,1,19.5223,Golden,0,0.3500,,Off,0.0000
0.251,3.3069,0.2313,0,0.0,true,1,19.5131,Golden,0,0.3500,,Off,0.0000
0.351,3.3356,0.3460,0,0.0,true,1,19.4957,Golden,0,0.3500,,Off,0.0000
0.452,3.3767,0.4758,0,0.0,true,1,19.4632,Golden,0,0.3500,,Off,0.0000
0.568,3.4421,0.6525,0,0.0,true,1,19.3933,Golden,0,0.3500,,Off,0.0000
0.668,3.5164,0.8347,0,0.0,false,1,19.2874,Golden,0,0.3500,,Off,0.0000
0.768,3.6104,1.0516,0,0.0,false,1,19.1143,Golden,0,0.3500,,Off,0.0000
0.885,3.7506,1.3588,0,0.0,false,1,18.7796,Golden,0,0.3500,,Off,0.0000
0.983,0.0,0.0,1,2.32,false,1,,Golden,0,0.3500,0.315,,0.0000
0.986,3.8629,-0.6334,0,0.0,false,1,17.3772,Golden,0,0.3500,,Off,0.0000
1.102,3.8140,-0.2168,0,0.0,false,1,17.5079,Golden,0,0.3500,,Off,0.0000
1.150,0.0,0.0,1,2.31,false,1,,Golden,0,0.3500,0.482,,0.0000
1.218,3.6199,-2.1262,0,0.0,false,1,20.7796,Golden,0,0.3500,,Off,0.0000
1.303,0.0,0.0,1,2.32,false,1,,Golden,0,0.3500,0.634,,0.0000
1.335,3.2750,-4.1475,0,0.0,true,1,28.1339,Golden,0,0.3500,,Off,0.0000
1.452,2.7983,-4.0765,0,0.0,true,1,27.3566,Golden,0,0.3500,,Off,0.0000
1.568,2.3142,-4.2620,0,0.0,false,1,25.5319,Golden,0,0.3500,,Off,0.0000
1.671,1.8609,-4.5835,0,0.0,false,1,23.1204,Golden,0,0.3500,,Off,0.0000
