timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.135,3.0535,-0.0141,0,0.0,true,1,19.5821,Progressive,0,0.3500,,Off,0.0000
0.235,3.0515,-0.0268,0,0.0,true,1,19.5805,Progressive,0,0.3500,,Off,0.0000
0.351,3.0474,-0.0430,0,0.0,true,1,19.5775,Progressive,0,0.3500,,Off,0.0000
0.451,3.0423,-0.0588,0,0.0,true,1,19.5735,Progressive,0,0.3500,,Off,0.0000
0.568,3.0343,-0.0806,0,0.0,true,1,19.5668,Progressive,0,0.3500,,Off,0.0000
0.668,3.0251,-0.1032,0,0.0,true,1,19.5588,Progressive,0,0.3500,,Off,0.0000
0.768,3.0134,-0.1305,0,0.0,true,1,19.5480,Progressive,0,0.3500,,Off,0.0000
0.885,2.9960,-0.1698,0,0.0,true,1,19.5306,Progressive,0,0.3500,,Off,0.0000
0.985,2.9770,-0.2118,0,0.0,true,1,19.5098,Progressive,0,0.3500,,Off,0.0000
1.101,2.9489,-0.2729,0,0.0,true,1,19.4756,Progressive,0,0.3500,,Off,0.0000
1.218,2.9126,-0.3509,0,0.0,true,1,19.4255,Progressive,0,0.3500,,Off,0.0000
1.340,2.8642,-0.4543,0,0.0,true,1,19.3481,Progressive,0,0.3500,,Off,0.0000
1.418,0.0,0.0,-1,3.00,false,1,,Progressive,0,0.3500,0.000,,0.0000
1.452,2.9567,2.4115,0,0.0,true,1,22.3605,Progressive,0,0.3500,,Off,0.0000
1.568,3.2334,2.3660,0,0.0,true,2,22.3776,Progressive,0,0.3500,,Off,0.0000
1.685,3.5149,2.4801,0,0.0,false,2,22.0197,Progressive,0,0.3500,,Off,0.0000
1.802,3.8181,2.7463,0,0.0,false,2,21.2308,Progressive,0,0.3500,,Off,0.0000
1.851,0.0,0.0,1,3.00,false,2,,Progressive,0,0.3500,0.166,,0.0000
1.902,3.9096,0.1023,0,0.0,false,2,16.8717,Progressive,0,0.3500,,Off,0.0000
2.006,3.9404,0.4939,0,0.0,false,2,16.7749,Progressive,0,0.3500,,Off,0.0000
2.101,0.0,0.0,1,3.00,false,2,,Progressive,0,0.3500,0.416,,0.0000
2.118,3.9212,-2.0530,0,0.0,false,2,18.8945,Progressive,0,0.3500,,Off,0.0000
2.218,3.7353,-1.6674,0,0.0,false,2,19.3313,Progressive,0,0.3500,,Off,0.0000
2.335,3.5622,-1.3141,0,0.0,false,2,19.6284,Progressive,0,0.3500,,Off,0.0000
2.452,3.4251,-1.0502,0,0.0,true,2,19.7799,Progressive,0,0.3500,,Off,0.0000
2.552,3.3288,-0.8835,0,0.0,true,2,19.8389,Progressive,0,0.3500,,Off,0.0000
2.668,3.2348,-0.7479,0,0.0,true,2,19.8572,Progressive,0,0.3500,,Off,0.0000
2.768,3.1635,-0.6734,0,0.0,true,2,19.8444,Progressive,0,0.3500,,Off,0.0000
2.885,3.0879,-0.6312,0,0.0,true,2,19.8051,Progressive,0,0.3500,,Off,0.0000
2.985,3.0251,-0.6297,0,0.0,true,2,19.7518,Progressive,0,0.3500,,Off,0.0000
3.085,0.0,0.0,-1,3.00,false,2,,Progressive,0,0.3500,0.000,,0.0000
3.087,3.0146,2.3313,0,0.0,true,2,22.2584,Progressive,0,0.3500,,Off,0.0000
3.202,3.2803,2.3177,0,0.0,true,2,22.2116,Progressive,0,0.3500,,Off,0.0000
3.302,3.5171,2.4286,0,0.0,false,2,21.8855,Progressive,0,0.3500,,Off,0.0000
3.402,3.7703,2.6492,0,0.0,false,2,21.2533,Progressive,0,0.3500,,Off,0.0000
3.518,4.1001,3.0332,0,0.0,false,2,20.0480,Progressive,0,0.3500,,Off,0.0000
3.551,0.0,0.0,1,3.00,false,2,,Progressive,0,0.3500,0.250,,0.0000
3.635,4.1839,0.5516,0,0.0,false,2,14.9084,Progressive,0,0.3500,,Off,0.0000
3.735,4.2620,1.0103,0,0.0,false,2,14.5911,Progressive,0,0.3500,,Off,0.0000
3.768,0.0,0.0,1,3.00,false,2,,Progressive,0,0.3500,0.466,,0.0000
3.835,4.1378,-1.4912,0,0.0,false,2,16.2532,Progressive,0,0.3500,,Off,0.0000
3.952,3.9954,-0.9603,0,0.0,false,2,16.7175,Progressive,0,0.3500,,Off,0.0000
4.052,3.9201,-0.5492,0,0.0,false,2,16.9450,Progressive,0,0.3500,,Off,0.0000
4.168,3.8824,-0.1084,0,0.0,false,2,17.0548,Progressive,0,0.3500,,Off,0.0000
4.268,3.8903,0.2635,0,0.0,false,2,17.0314,Progressive,0,0.3500,,Off,0.0000
4.302,0.0,0.0,1,3.00,false,2,,Progressive,0,0.3500,1.000,,0.0000
4.368,3.6864,-2.3558,0,0.0,false,2,20.9748,Progressive,0,0.3500,,Off,0.0000
