timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,3.2165,0.0117,0,0.0,true,1,19.5926,Jiggle,0,0.3500,,Helper,-0.0500
0.234,3.1897,-0.4624,0,0.0,true,1,19.7155,Jiggle,0,0.3500,,Helper,0.0500
0.334,3.1999,0.5471,0,0.0,true,1,19.7530,Jiggle,0,0.3500,,Helper,-0.0500
0.451,3.2475,0.2249,0,0.0,true,1,19.5904,Jiggle,0,0.3500,,Helper,-0.0500
0.568,3.2467,-0.4424,0,0.0,true,1,19.6637,Jiggle,0,0.3500,,Helper,0.0500
0.684,3.2237,-0.2229,0,0.0,true,1,19.6118,Jiggle,0,0.3500,,Helper,0.0500
0.784,3.2197,0.0777,0,0.0,true,1,19.5931,Jiggle,0,0.3500,,Helper,-0.0500
0.885,3.1936,-0.4821,0,0.0,true,1,19.7230,Jiggle,0,0.3500,,Helper,0.0500
1.001,3.1488,-0.3092,0,0.0,true,1,19.6675,Jiggle,0,0.3500,,Helper,0.0500
1.118,3.1238,0.2206,0,0.0,true,1,19.6428,Jiggle,0,0.3500,,Helper,-0.0500
1.234,3.1314,0.1080,0,0.0,true,1,19.6253,Jiggle,0,0.3500,,Helper,-0.0500
1.334,3.1178,0.0221,0,0.0,true,1,19.6175,Jiggle,0,0.3500,,Helper,0.0370
1.434,3.1319,0.1723,0,0.0,true,1,19.6344,Jiggle,0,0.3500,,Helper,-0.0500
1.649,3.1492,0.1938,0,0.0,true,2,19.6385,Jiggle,0,0.3500,,Helper,-0.0500
1.749,3.1155,0.0022,0,0.0,true,2,19.6167,Jiggle,0,0.3500,,Helper,0.0500
1.851,3.1833,0.7237,0,0.0,true,2,19.8734,Jiggle,0,0.3500,,Helper,-0.0500
1.969,3.2112,-0.4142,0,0.0,true,2,19.6820,Jiggle,0,0.3500,,Helper,0.0500
2.085,3.1578,-0.1119,0,0.0,true,2,19.6250,Jiggle,0,0.3500,,Helper,0.0500
2.201,3.1337,-0.3408,0,0.0,true,2,19.6778,Jiggle,0,0.3500,,Helper,0.0500
2.301,3.0997,-0.3652,0,0.0,true,2,19.6781,Jiggle,0,0.3500,,Helper,0.0500
2.401,3.1169,0.2183,0,0.0,true,2,19.6408,Jiggle,0,0.3500,,Helper,-0.0500
2.501,3.1987,0.6591,0,0.0,true,2,19.8212,Jiggle,0,0.3500,,Helper,-0.0500
2.618,3.1496,-0.3730,0,0.0,true,2,19.6893,Jiggle,0,0.3500,,Helper,0.0500
2.737,3.1958,1.1011,0,0.0,true,2,20.2118,Jiggle,0,0.3500,,Helper,-0.0500
2.851,3.3004,1.3174,0,0.0,true,2,20.3645,Jiggle,0,0.3500,,Helper,-0.0500
2.968,3.4659,1.5398,0,0.0,true,2,20.2942,Jiggle,0,0.3500,,Helper,-0.0500
3.068,3.6508,1.6631,0,0.0,false,2,19.7583,Jiggle,0,0.3500,,Helper,-0.5000
3.168,3.6030,-1.2495,0,0.0,false,2,19.3748,Jiggle,0,0.3500,,Helper,0.0500
3.268,3.5595,-0.2134,0,0.0,false,2,18.7984,Jiggle,0,0.3500,,Helper,-0.0500
3.385,3.5399,-0.6541,0,0.0,false,2,19.0659,Jiggle,0,0.3500,,Helper,-0.0500
3.485,3.5268,0.5791,0,0.0,false,2,19.0688,Jiggle,0,0.3500,,Helper,-0.0500
3.583,0.0,0.0,1,1.42,false,2,,Jiggle,0,0.3500,0.515,,0.0000
3.585,3.5359,-0.6827,0,0.0,false,2,19.1004,Jiggle,0,0.3500,,Helper,-0.0500
3.702,3.4550,-0.2506,0,0.0,true,2,19.1737,Jiggle,0,0.3500,,Helper,-0.0500
3.818,3.3792,-0.4701,0,0.0,true,2,19.4549,Jiggle,0,0.3500,,Helper,0.0220
3.935,3.3392,-0.8003,0,0.0,true,2,19.7493,Jiggle,0,0.3500,,Helper,0.0500
4.035,3.2471,-0.5855,0,0.0,true,2,19.7369,Jiggle,0,0.3500,,Helper,0.0500
4.152,3.1199,-1.1398,0,0.0,true,2,20.2672,Jiggle,0,0.3500,,Helper,0.0500
4.269,2.9357,-1.2961,0,0.0,true,2,20.2527,Jiggle,0,0.3500,,Helper,0.0500
4.385,2.7642,-1.4152,0,0.0,false,2,19.9309,Jiggle,0,0.3500,,Helper,0.0500
4.485,2.6039,-1.7935,0,0.0,false,2,19.8442,Jiggle,0,0.3500,,Helper,0.5000
