timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.135,2.9994,-0.0443,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Off,0.0000
0.251,2.9916,-0.0908,0,0.0,true,1,19.5139,Free Play,0,0.3500,,Off,0.0000
0.351,2.9803,-0.1346,0,0.0,true,1,19.5018,Free Play,0,0.3500,,Off,0.0000
0.451,2.9644,-0.1841,0,0.0,true,1,19.4834,Free Play,0,0.3500,,Off,0.0000
0.568,2.9391,-0.2523,0,0.0,true,1,19.4513,Free Play,0,0.3500,,Off,0.0000
0.668,2.9104,-0.3226,0,0.0,true,1,19.4111,Free Play,0,0.3500,,Off,0.0000
0.768,2.8740,-0.4072,0,0.0,true,1,19.3538,Free Play,0,0.3500,,Off,0.0000
0.868,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.870,2.8823,2.4798,0,0.0,true,1,22.3668,Free Play,0,0.3500,,Off,0.0000
0.985,3.1602,2.3920,0,0.0,true,1,22.4792,Free Play,0,0.3500,,Off,0.0000
1.101,3.4421,2.4644,0,0.0,true,1,22.2172,Free Play,0,0.3500,,Off,0.0000
1.207,3.7103,2.6638,0,0.0,false,1,21.6237,Free Play,0,0.3500,,Off,0.0000
1.268,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.060,,0.0000
1.319,3.8274,0.0215,0,0.0,false,1,17.4020,Free Play,0,0.3500,,Off,0.0000
1.423,3.8484,0.3824,0,0.0,false,1,17.3430,Free Play,0,0.3500,,Off,0.0000
1.468,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.261,,0.0000
1.535,3.6642,-2.2075,0,0.0,false,1,20.7471,Free Play,0,0.3500,,Off,0.0000
1.651,3.4275,-1.8975,0,0.0,true,1,21.0220,Free Play,0,0.3500,,Off,0.0000
1.752,3.2452,-1.7324,0,0.0,true,1,21.0680,Free Play,0,0.3500,,Off,0.0000
1.852,3.0758,-1.6578,0,0.0,true,1,20.9730,Free Play,0,0.3500,,Off,0.0000
1.968,2.8834,-1.6763,0,0.0,true,1,20.6999,Free Play,0,0.3500,,Off,0.0000
2.069,2.7105,-1.7795,0,0.0,false,1,20.3059,Free Play,0,0.3500,,Off,0.0000
2.185,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.116,,0.0000
2.187,2.5437,0.9891,0,0.0,false,1,18.4073,Free Play,0,0.3500,,Off,0.0000
2.302,2.6407,0.7064,0,0.0,false,1,18.6642,Free Play,0,0.3500,,Off,0.0000
2.418,2.7086,0.4681,0,0.0,false,1,18.8243,Free Play,0,0.3500,,Off,0.0000
2.519,2.7467,0.2896,0,0.0,false,1,18.9069,Free Play,0,0.3500,,Off,0.0000
2.635,2.7694,0.1055,0,0.0,false,1,18.9539,Free Play,0,0.3500,,Off,0.0000
2.735,2.7724,-0.0447,0,0.0,false,1,18.9600,Free Play,0,0.3500,,Off,0.0000
2.835,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.766,,0.0000
2.838,2.8199,2.7918,0,0.0,true,1,23.0138,Free Play,0,0.3500,,Off,0.0000
2.952,3.1283,2.6721,0,0.0,true,1,23.1891,Free Play,0,0.3500,,Off,0.0000
3.069,3.4417,2.7289,0,0.0,true,1,22.9050,Free Play,0,0.3500,,Off,0.0000
3.186,3.7729,2.9602,0,0.0,false,1,22.1107,Free Play,0,0.3500,,Off,0.0000
3.254,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.068,,0.0000
3.302,3.9384,0.3614,0,0.0,false,1,16.7327,Free Play,0,0.3500,,Off,0.0000
3.402,3.9939,0.7497,0,0.0,false,1,16.5483,Free Play,0,0.3500,,Off,0.0000
3.502,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.316,,0.0000
3.504,4.0345,-1.8271,0,0.0,false,1,17.6315,Free Play,0,0.3500,,Off,0.0000
3.619,3.8536,-1.3440,0,0.0,false,1,18.1397,Free Play,0,0.3500,,Off,0.0000
3.736,3.7213,-0.9301,0,0.0,false,1,18.4497,Free Play,0,0.3500,,Off,0.0000
3.852,3.6341,-0.5807,0,0.0,false,1,18.6227,Free Play,0,0.3500,,Off,0.0000
3.952,3.5895,-0.3145,0,0.0,false,1,18.7016,Free Play,0,0.3500,,Off,0.0000
4.052,3.5705,-0.0673,0,0.0,false,1,18.7335,Free Play,0,0.3500,,Off,0.0000
4.152,3.5758,0.1720,0,0.0,false,1,18.7244,Free Play,0,0.3500,,Off,0.0000
4.269,3.6122,0.4547,0,0.0,false,1,18.6571,Free Play,0,0.3500,,Off,0.0000
4.369,3.6705,0.7137,0,0.0,false,1,18.5345,Free Play,0,0.3500,,Off,0.0000
4.490,3.7769,1.0605,0,0.0,false,1,18.2680,Free Play,0,0.3500,,Off,0.0000
4.536,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,1.350,,0.0000
4.602,3.6680,-1.5589,0,0.0,false,1,19.5069,Free Play,0,0.3500,,Off,0.0000
4.703,3.5259,-1.2785,0,0.0,false,1,19.7219,Free Play,0,0.3500,,Off,0.0000
4.819,3.3918,-1.0343,0,0.0,true,1,19.8496,Free Play,0,0.3500,,Off,0.0000
4.934,3.2829,-0.8652,0,0.0,true,1,19.8964,Free Play,0,0.3500,,Off,0.0000
5.035,3.2011,-0.7670,0,0.0,true,1,19.8968,Free Play,0,0.3500,,Off,0.0000
5.135,3.1275,-0.7097,0,0.0,true,1,19.8709,Free Play,0,0.3500,,Off,0.0000
5.235,3.0578,-0.6889,0,0.0,true,1,19.8229,Free Play,0,0.3500,,Off,0.0000
5.335,2.9884,-0.7028,0,0.0,true,1,19.7521,Free Play,0,0.3500,,Off,0.0000
5.435,2.9160,-0.7509,0,0.0,true,1,19.6533,Free Play,0,0.3500,,Off,0.0000
5.502,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.553,3.0232,2.1402,0,0.0,true,1,21.8416,Free Play,0,0.3500,,Off,0.0000
5.668,3.2686,2.1300,0,0.0,true,1,21.8094,Free Play,0,0.3500,,Off,0.0000
5.769,3.4875,2.2353,0,0.0,true,1,21.5370,Free Play,0,0.3500,,Off,0.0000
5.869,3.7207,2.4424,0,0.0,false,1,21.0032,Free Play,0,0.3500,,Off,0.0000
5.902,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.033,,0.0000
5.969,3.7302,-0.2438,0,0.0,false,1,17.9989,Free Play,0,0.3500,,Off,0.0000
6.085,3.7228,0.1146,0,0.0,false,1,18.0159,Free Play,0,0.3500,,Off,0.0000
6.186,3.7495,0.4207,0,0.0,false,1,17.9508,Free Play,0,0.3500,,Off,0.0000
