timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.935,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.501,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.818,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.969,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.770,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.968,2.7594,0.5411,0,0.0,false,1,19.0586,Free Play,0,0.3500,,Off,0.0000
3.068,2.8057,0.3880,0,0.0,true,1,19.1469,Free Play,0,0.3500,,Off,0.0000
3.186,2.8420,0.2349,0,0.0,true,1,19.2105,Free Play,0,0.3500,,Off,0.0000
3.302,2.8614,0.1020,0,0.0,true,1,19.2426,Free Play,0,0.3500,,Off,0.0000
3.418,2.8660,-0.0218,0,0.0,true,1,19.2501,Free Play,0,0.3500,,Off,0.0000
3.535,2.8563,-0.1443,0,0.0,true,1,19.2340,Free Play,0,0.3500,,Off,0.0000
3.651,2.8321,-0.2730,0,0.0,true,1,19.1913,Free Play,0,0.3500,,Off,0.0000
3.751,2.7988,-0.3949,0,0.0,true,1,19.1273,Free Play,0,0.3500,,Off,0.0000
3.854,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.856,2.8119,2.4515,0,0.0,true,1,22.0964,Free Play,0,0.3500,,Off,0.0000
3.968,3.0796,2.3245,0,0.0,true,1,22.3028,Free Play,0,0.3500,,Off,0.0000
4.085,3.3502,2.3494,0,0.0,true,1,22.1672,Free Play,0,0.3500,,Off,0.0000
4.202,3.6333,2.5283,0,0.0,false,1,21.6537,Free Play,0,0.3500,,Off,0.0000
4.302,3.8996,2.7988,0,0.0,false,1,20.8508,Free Play,0,0.3500,,Off,0.0000
4.402,4.1971,3.1638,0,0.0,false,1,19.6491,Free Play,0,0.3500,,Off,0.0000
4.518,4.5946,3.6738,0,0.0,false,1,17.7111,Free Play,0,0.3500,,Off,0.0000
