timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.685,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.235,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.135,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.768,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.235,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.468,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.787,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.270,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.353,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.819,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.269,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.686,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
