timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.051,3.4881,0.4134,0,0.0,true,2,19.1224,Free Play,0,0.3500,,Off,0.0000
0.151,3.5394,0.6160,0,0.0,false,2,19.0436,Free Play,0,0.3500,,Off,0.0000
0.251,3.6121,0.8427,0,0.0,false,2,18.9089,Free Play,0,0.3500,,Off,0.0000
0.351,3.7091,1.1022,0,0.0,false,2,18.6897,Free Play,0,0.3500,,Off,0.0000
0.434,0.0,0.0,1,1.83,false,2,,Free Play,0,0.3500,0.283,,0.0000
0.451,3.7727,-0.4175,0,0.0,false,2,17.8176,Free Play,0,0.3500,,Off,0.0000
0.568,3.7463,-0.0379,0,0.0,false,2,17.8812,Free Play,0,0.3500,,Off,0.0000
0.673,3.7595,0.2909,0,0.0,false,2,17.8485,Free Play,0,0.3500,,Off,0.0000
0.768,0.0,0.0,1,1.83,false,2,,Free Play,0,0.3500,0.618,,0.0000
0.784,3.7518,-1.1703,0,0.0,false,2,18.5346,Free Play,0,0.3500,,Off,0.0000
0.884,3.6509,-0.8537,0,0.0,false,2,18.7394,Free Play,0,0.3500,,Off,0.0000
1.001,3.5702,-0.5384,0,0.0,false,2,18.8778,Free Play,0,0.3500,,Off,0.0000
1.118,3.5237,-0.2635,0,0.0,false,2,18.9473,Free Play,0,0.3500,,Off,0.0000
1.218,3.5082,-0.0464,0,0.0,false,2,18.9690,Free Play,0,0.3500,,Off,0.0000
1.334,3.5171,0.1987,0,0.0,false,2,18.9561,Free Play,0,0.3500,,Off,0.0000
1.434,0.0,0.0,1,1.83,false,2,,Free Play,0,0.3500,1.284,,0.0000
1.437,3.5143,-1.4049,0,0.0,false,2,19.9333,Free Play,0,0.3500,,Off,0.0000
1.551,3.3680,-1.1724,0,0.0,true,2,20.0570,Free Play,0,0.3500,,Off,0.0000
1.651,3.2580,-1.0341,0,0.0,true,2,20.0883,Free Play,0,0.3500,,Off,0.0000
1.751,3.1592,-0.9498,0,0.0,true,2,20.0695,Free Play,0,0.3500,,Off,0.0000
1.868,3.0511,-0.9130,0,0.0,true,2,19.9966,Free Play,0,0.3500,,Off,0.0000
1.984,2.9437,-0.9386,0,0.0,true,2,19.8689,Free Play,0,0.3500,,Off,0.0000
