timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.566,0.0,0.0,-1,0.66,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.016,0.0,0.0,1,1.05,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.450,0.0,0.0,-1,0.52,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.633,0.0,0.0,-1,0.51,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.983,0.0,0.0,-1,0.84,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.166,0.0,0.0,-1,1.18,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.333,0.0,0.0,-1,1.41,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.533,0.0,0.0,-1,1.93,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.317,0.0,0.0,-1,1.79,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.200,0.0,0.0,-1,1.66,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.034,0.0,0.0,1,0.64,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.450,0.0,0.0,1,1.05,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.967,0.0,0.0,1,1.01,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.750,0.0,0.0,1,0.85,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.934,0.0,0.0,1,0.95,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.100,0.0,0.0,1,0.96,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.301,0.0,0.0,1,0.94,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.484,0.0,0.0,1,0.87,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.667,0.0,0.0,1,0.89,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.851,0.0,0.0,1,0.88,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.234,0.0,0.0,1,1.01,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.434,0.0,0.0,1,0.94,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.617,0.0,0.0,1,0.92,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.984,0.0,0.0,1,0.85,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.284,0.0,0.0,1,0.84,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.385,3.7837,0.0740,0,0.0,false,2,17.6687,Free Play,0,0.3500,,Off,0.0000
9.484,0.0,0.0,1,0.82,false,2,,Free Play,0,0.3500,0.099,,0.0000
9.486,3.7934,-0.4062,0,0.0,false,2,17.6914,Free Play,0,0.3500,,Off,0.0000
9.590,3.7694,-0.0591,0,0.0,false,2,17.7514,Free Play,0,0.3500,,Off,0.0000
9.668,0.0,0.0,1,0.79,false,2,,Free Play,0,0.3500,0.282,,0.0000
9.704,3.7433,-0.4771,0,0.0,false,2,18.0108,Free Play,0,0.3500,,Off,0.0000
9.820,3.7092,-0.1146,0,0.0,false,2,18.0882,Free Play,0,0.3500,,Off,0.0000
9.851,0.0,0.0,1,0.80,false,2,,Free Play,0,0.3500,0.466,,0.0000
9.935,3.6366,-0.5691,0,0.0,false,2,18.6043,Free Play,0,0.3500,,Off,0.0000
10.018,0.0,0.0,1,0.77,false,2,,Free Play,0,0.3500,0.632,,0.0000
10.036,3.5668,-1.0698,0,0.0,false,2,19.3187,Free Play,0,0.3500,,Off,0.0000
10.136,3.4719,-0.8356,0,0.0,true,2,19.4388,Free Play,0,0.3500,,Off,0.0000
10.236,3.3981,-0.6452,0,0.0,true,2,19.5072,Free Play,0,0.3500,,Off,0.0000
10.353,3.3336,-0.4668,0,0.0,true,2,19.5487,Free Play,0,0.3500,,Off,0.0000
10.469,3.2878,-0.3237,0,0.0,true,2,19.5677,Free Play,0,0.3500,,Off,0.0000
10.586,3.2572,-0.2053,0,0.0,true,2,19.5756,Free Play,0,0.3500,,Off,0.0000
10.686,3.2411,-0.1173,0,0.0,true,2,19.5783,Free Play,0,0.3500,,Off,0.0000
