timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.0537,-0.0123,0,0.0,true,1,19.5822,Progressive,0,0.3500,,Off,0.0000
0.234,3.0514,-0.0270,0,0.0,true,1,19.5805,Progressive,0,0.3500,,Off,0.0000
0.334,3.0481,-0.0407,0,0.0,true,1,19.5779,Progressive,0,0.3500,,Off,0.0000
0.434,3.0432,-0.0562,0,0.0,true,1,19.5742,Progressive,0,0.3500,,Off,0.0000
0.535,3.0367,-0.0743,0,0.0,true,1,19.5689,Progressive,0,0.3500,,Off,0.0000
0.651,3.0266,-0.0995,0,0.0,true,1,19.5602,Progressive,0,0.3500,,Off,0.0000
0.668,0.0,0.0,-1,1.76,false,1,,Progressive,0,0.3500,0.000,,0.0000
0.751,3.1915,1.6429,0,0.0,true,1,20.9574,Progressive,0,0.3500,,Off,0.0000
0.851,3.3584,1.7072,0,0.0,true,1,20.8477,Progressive,0,0.3500,,Off,0.0000
0.968,3.5668,1.8851,0,0.0,false,1,20.5233,Progressive,0,0.3500,,Off,0.0000
1.034,0.0,0.0,1,1.76,false,1,,Progressive,0,0.3500,0.067,,0.0000
1.068,3.6790,0.3749,0,0.0,false,1,18.3074,Progressive,0,0.3500,,Off,0.0000
1.184,3.7421,0.7117,0,0.0,false,1,18.1571,Progressive,0,0.3500,,Off,0.0000
1.268,0.0,0.0,1,1.76,false,1,,Progressive,0,0.3500,0.300,,0.0000
1.285,3.7703,-0.7265,0,0.0,false,1,18.0080,Progressive,0,0.3500,,Off,0.0000
1.401,3.7079,-0.3502,0,0.0,false,1,18.1500,Progressive,0,0.3500,,Off,0.0000
1.506,3.6877,-0.0399,0,0.0,false,1,18.1937,Progressive,0,0.3500,,Off,0.0000
1.601,0.0,0.0,1,1.76,false,1,,Progressive,0,0.3500,0.633,,0.0000
1.618,3.6433,-1.4645,0,0.0,false,1,19.4837,Progressive,0,0.3500,,Off,0.0000
1.735,3.4911,-1.1580,0,0.0,true,1,19.6974,Progressive,0,0.3500,,Off,0.0000
1.835,3.3856,-0.9598,0,0.0,true,1,19.7901,Progressive,0,0.3500,,Off,0.0000
1.935,3.2974,-0.8120,0,0.0,true,1,19.8309,Progressive,0,0.3500,,Off,0.0000
2.051,3.2101,-0.6932,0,0.0,true,1,19.8373,Progressive,0,0.3500,,Off,0.0000
2.173,3.1313,-0.6225,0,0.0,true,1,19.8132,Progressive,0,0.3500,,Off,0.0000
2.251,0.0,0.0,-1,1.76,false,1,,Progressive,0,0.3500,0.000,,0.0000
2.285,3.1502,1.1549,0,0.0,true,1,20.2865,Progressive,0,0.3500,,Off,0.0000
2.402,3.2876,1.2090,0,0.0,true,1,20.2465,Progressive,0,0.3500,,Off,0.0000
2.523,3.4409,1.3485,0,0.0,true,1,20.0932,Progressive,0,0.3500,,Off,0.0000
2.635,3.6039,1.5597,0,0.0,false,1,19.8064,Progressive,0,0.3500,,Off,0.0000
2.651,0.0,0.0,1,1.76,false,1,,Progressive,0,0.3500,0.016,,0.0000
2.756,3.5982,0.1040,0,0.0,false,1,18.6203,Progressive,0,0.3500,,Off,0.0000
2.868,0.0,0.0,1,1.76,false,1,,Progressive,0,0.3500,0.233,,0.0000
2.870,3.5944,-1.3609,0,0.0,false,1,19.5572,Progressive,0,0.3500,,Off,0.0000
2.985,3.4549,-1.0835,0,0.0,true,1,19.7296,Progressive,0,0.3500,,Off,0.0000
3.101,3.3413,-0.8775,0,0.0,true,1,19.8100,Progressive,0,0.3500,,Off,0.0000
3.201,3.2602,-0.7510,0,0.0,true,1,19.8331,Progressive,0,0.3500,,Off,0.0000
3.302,3.1896,-0.6641,0,0.0,true,1,19.8292,Progressive,0,0.3500,,Off,0.0000
3.418,3.1160,-0.6065,0,0.0,true,1,19.8007,Progressive,0,0.3500,,Off,0.0000
3.518,3.0564,-0.5909,0,0.0,true,1,19.7590,Progressive,0,0.3500,,Off,0.0000
3.618,2.9967,-0.6050,0,0.0,true,1,19.7002,Progressive,0,0.3500,,Off,0.0000
3.735,2.9234,-0.6588,0,0.0,true,1,19.6044,Progressive,0,0.3500,,Off,0.0000
3.835,0.0,0.0,-1,1.76,false,1,,Progressive,0,0.3500,0.000,,0.0000
3.836,2.8849,1.0152,0,0.0,true,1,19.8138,Progressive,0,0.3500,,Off,0.0000
3.952,2.9953,0.9145,0,0.0,true,1,19.9335,Progressive,0,0.3500,,Off,0.0000
4.068,3.0993,0.8757,0,0.0,true,1,19.9946,Progressive,0,0.3500,,Off,0.0000
4.185,3.2019,0.8968,0,0.0,true,1,20.0043,Progressive,0,0.3500,,Off,0.0000
4.202,0.0,0.0,1,1.76,false,1,,Progressive,0,0.3500,0.000,,0.0000
4.285,3.1185,-0.8060,0,0.0,true,1,19.9422,Progressive,0,0.3500,,Off,0.0000
4.402,3.0260,-0.7914,0,0.0,true,1,19.8676,Progressive,0,0.3500,,Off,0.0000
4.506,2.9424,-0.8234,0,0.0,true,2,19.7651,Progressive,0,0.3500,,Off,0.0000
4.618,0.0,0.0,-1,1.76,false,2,,Progressive,0,0.3500,0.000,,0.0000
4.620,2.8763,0.8467,0,0.0,true,2,19.6353,Progressive,0,0.3500,,Off,0.0000
4.735,2.9669,0.7398,0,0.0,true,2,19.7443,Progressive,0,0.3500,,Off,0.0000
4.852,3.0493,0.6826,0,0.0,true,2,19.8112,Progressive,0,0.3500,,Off,0.0000
4.952,3.1168,0.6713,0,0.0,true,2,19.8423,Progressive,0,0.3500,,Off,0.0000
5.052,3.1847,0.6936,0,0.0,true,2,19.8514,Progressive,0,0.3500,,Off,0.0000
5.152,3.2567,0.7500,0,0.0,true,2,19.8364,Progressive,0,0.3500,,Off,0.0000
5.235,0.0,0.0,1,1.76,false,2,,Progressive,0,0.3500,0.000,,0.0000
5.269,3.2626,-0.8921,0,0.0,true,2,19.9462,Progressive,0,0.3500,,Off,0.0000
5.369,3.1779,-0.8046,0,0.0,true,2,19.9372,Progressive,0,0.3500,,Off,0.0000
5.485,3.0876,-0.7554,0,0.0,true,2,19.8910,Progressive,0,0.3500,,Off,0.0000
5.585,3.0124,-0.7547,0,0.0,true,2,19.8230,Progressive,0,0.3500,,Off,0.0000
5.685,2.9353,-0.7913,0,0.0,true,2,19.7251,Progressive,0,0.3500,,Off,0.0000
5.768,0.0,0.0,-1,1.76,false,2,,Progressive,0,0.3500,0.000,,0.0000
5.802,2.9257,0.8714,0,0.0,true,2,19.7720,Progressive,0,0.3500,,Off,0.0000
5.902,3.0091,0.7996,0,0.0,true,2,19.8537,Progressive,0,0.3500,,Off,0.0000
6.018,3.0999,0.7676,0,0.0,true,2,19.9060,Progressive,0,0.3500,,Off,0.0000
6.119,3.1772,0.7820,0,0.0,true,2,19.9195,Progressive,0,0.3500,,Off,0.0000
6.223,3.2608,0.8377,0,0.0,true,2,19.9012,Progressive,0,0.3500,,Off,0.0000
6.319,0.0,0.0,1,1.76,false,2,,Progressive,0,0.3500,0.000,,0.0000
6.335,3.3025,-0.8053,0,0.0,true,2,19.8176,Progressive,0,0.3500,,Off,0.0000
6.452,3.2162,-0.6836,0,0.0,true,2,19.8264,Progressive,0,0.3500,,Off,0.0000
6.552,3.1514,-0.6184,0,0.0,true,3,19.8107,Progressive,0,0.3500,,Off,0.0000
6.669,3.0817,-0.5826,0,0.0,true,3,19.7721,Progressive,0,0.3500,,Off,0.0000
6.785,3.0138,-0.5870,0,0.0,true,3,19.7123,Progressive,0,0.3500,,Off,0.0000
6.902,2.9431,-0.6308,0,0.0,true,3,19.6264,Progressive,0,0.3500,,Off,0.0000
6.985,0.0,0.0,-1,1.76,false,3,,Progressive,0,0.3500,0.000,,0.0000
7.019,2.9533,1.0376,0,0.0,true,3,19.9849,Progressive,0,0.3500,,Off,0.0000
7.135,3.0698,0.9757,0,0.0,true,3,20.0707,Progressive,0,0.3500,,Off,0.0000
7.235,3.1670,0.9761,0,0.0,true,3,20.0932,Progressive,0,0.3500,,Off,0.0000
7.336,3.2667,1.0250,0,0.0,true,3,20.0686,Progressive,0,0.3500,,Off,0.0000
7.435,0.0,0.0,1,1.76,false,3,,Progressive,0,0.3500,0.000,,0.0000
7.437,3.3432,-0.6291,0,0.0,true,3,19.6191,Progressive,0,0.3500,,Off,0.0000
7.552,3.2797,-0.4840,0,0.0,true,3,19.6437,Progressive,0,0.3500,,Off,0.0000
7.669,3.2301,-0.3720,0,0.0,true,3,19.6508,Progressive,0,0.3500,,Off,0.0000
7.786,3.1918,-0.2877,0,0.0,true,3,19.6490,Progressive,0,0.3500,,Off,0.0000
7.902,3.1621,-0.2248,0,0.0,true,3,19.6432,Progressive,0,0.3500,,Off,0.0000
8.019,3.1388,-0.1786,0,0.0,true,3,19.6359,Progressive,0,0.3500,,Off,0.0000
8.119,3.1224,-0.1495,0,0.0,true,3,19.6294,Progressive,0,0.3500,,Off,0.0000
8.219,3.1085,-0.1285,0,0.0,true,3,19.6229,Progressive,0,0.3500,,Off,0.0000
8.336,3.0946,-0.1125,0,0.0,true,3,19.6155,Progressive,0,0.3500,,Off,0.0000
8.436,3.0837,-0.1052,0,0.0,true,3,19.6091,Progressive,0,0.3500,,Off,0.0000
8.552,3.0717,-0.1034,0,0.0,true,3,19.6014,Progressive,0,0.3500,,Off,0.0000
8.652,3.0611,-0.1075,0,0.0,true,3,19.5940,Progressive,0,0.3500,,Off,0.0000
8.769,3.0480,-0.1189,0,0.0,true,3,19.5841,Progressive,0,0.3500,,Off,0.0000
8.886,3.0331,-0.1381,0,0.0,true,3,19.5718,Progressive,0,0.3500,,Off,0.0000
9.004,3.0154,-0.1661,0,0.0,true,4,19.5558,Progressive,0,0.3500,,Off,0.0000
9.119,2.9940,-0.2045,0,0.0,true,4,19.5342,Progressive,0,0.3500,,Off,0.0000
9.219,2.9714,-0.2476,0,0.0,true,4,19.5090,Progressive,0,0.3500,,Off,0.0000
9.319,2.9440,-0.3021,0,0.0,true,4,19.4748,Progressive,0,0.3500,,Off,0.0000
9.419,2.9105,-0.3702,0,0.0,true,4,19.4278,Progressive,0,0.3500,,Off,0.0000
9.519,2.8694,-0.4549,0,0.0,true,4,19.3623,Progressive,0,0.3500,,Off,0.0000
9.552,0.0,0.0,-1,1.76,false,4,,Progressive,0,0.3500,0.000,,0.0000
9.636,2.9848,1.1882,0,0.0,true,4,20.2055,Progressive,0,0.3500,,Off,0.0000
9.752,3.1203,1.1460,0,0.0,true,4,20.2745,Progressive,0,0.3500,,Off,0.0000
9.852,3.2359,1.1725,0,0.0,true,4,20.2639,Progressive,0,0.3500,,Off,0.0000
9.953,3.3569,1.2566,0,0.0,true,4,20.1830,Progressive,0,0.3500,,Off,0.0000
10.069,0.0,0.0,1,1.76,false,4,,Progressive,0,0.3500,0.000,,0.0000
10.071,3.4829,-0.3215,0,0.0,true,4,19.1059,Progressive,0,0.3500,,Off,0.0000
10.186,3.4591,-0.0963,0,0.0,true,4,19.1343,Progressive,0,0.3500,,Off,0.0000
10.286,3.4589,0.0916,0,0.0,true,4,19.1345,Progressive,0,0.3500,,Off,0.0000
10.319,0.0,0.0,1,1.76,false,4,,Progressive,0,0.3500,0.000,,0.0000
10.403,3.3062,-1.4567,0,0.0,true,4,20.5485,Progressive,0,0.3500,,Off,0.0000
10.519,3.1441,-1.3397,0,0.0,true,4,20.5174,Progressive,0,0.3500,,Off,0.0000
10.641,2.9845,-1.3166,0,0.0,true,4,20.3660,Progressive,0,0.3500,,Off,0.0000
10.736,0.0,0.0,-1,1.76,false,4,,Progressive,0,0.3500,0.000,,0.0000
10.753,2.8925,0.3728,0,0.0,true,4,19.3867,Progressive,0,0.3500,,Off,0.0000
10.869,2.9297,0.2691,0,0.0,true,4,19.4368,Progressive,0,0.3500,,Off,0.0000
10.969,2.9529,0.1965,0,0.0,true,4,19.4652,Progressive,0,0.3500,,Off,0.0000
11.086,2.9716,0.1257,0,0.0,true,4,19.4864,Progressive,0,0.3500,,Off,0.0000
11.186,2.9815,0.0731,0,0.0,true,4,19.4972,Progressive,0,0.3500,,Off,0.0000
11.303,2.9867,0.0174,0,0.0,true,4,19.5027,Progressive,0,0.3500,,Off,0.0000
11.403,2.9861,-0.0283,0,0.0,true,4,19.5021,Progressive,0,0.3500,,Off,0.0000
11.520,2.9797,-0.0824,0,0.0,true,4,19.4951,Progressive,0,0.3500,,Off,0.0000
11.619,0.0,0.0,-1,1.76,false,4,,Progressive,0,0.3500,0.000,,0.0000
11.621,3.0017,1.6222,0,0.0,true,4,20.8398,Progressive,0,0.3500,,Off,0.0000
11.736,3.1854,1.5941,0,0.0,true,4,20.8812,Progressive,0,0.3500,,Off,0.0000
11.858,3.3817,1.6776,0,0.0,true,4,20.7458,Progressive,0,0.3500,,Off,0.0000
11.970,3.5797,1.8595,0,0.0,false,4,20.4223,Progressive,0,0.3500,,Off,0.0000
