timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.818,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.368,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.786,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.135,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.618,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.802,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.035,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.536,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.769,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.985,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.217,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.603,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.368,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.852,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.836,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.135,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.519,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.802,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.020,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.569,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.769,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.936,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.486,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.071,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.553,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.988,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
11.253,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.120,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.603,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
13.020,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.503,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.753,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.120,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.487,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.854,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.337,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.520,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.837,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
16.204,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
16.421,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
16.654,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
16.871,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
17.088,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
17.271,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
17.438,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
18.021,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
18.222,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
18.437,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
19.070,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
19.488,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
19.804,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
