timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.133,3.2865,0.1037,0,0.0,true,1,19.5225,Free Play,0,0.3500,,Off,0.0000
0.233,3.3021,0.2081,0,0.0,true,1,19.5155,Free Play,0,0.3500,,Off,0.0000
0.337,3.3294,0.3238,0,0.0,true,1,19.4999,Free Play,0,0.3500,,Off,0.0000
0.453,3.3754,0.4720,0,0.0,true,1,19.4644,Free Play,0,0.3500,,Off,0.0000
0.570,3.4407,0.6489,0,0.0,true,1,19.3950,Free Play,0,0.3500,,Off,0.0000
0.670,3.5145,0.8302,0,0.0,false,1,19.2904,Free Play,0,0.3500,,Off,0.0000
0.786,3.6256,1.0855,0,0.0,false,1,19.0825,Free Play,0,0.3500,,Off,0.0000
0.903,3.7703,1.4010,0,0.0,false,1,18.7254,Free Play,0,0.3500,,Off,0.0000
1.020,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.350,,0.0000
1.028,3.8957,-1.1744,0,0.0,false,1,17.6498,Free Play,0,0.3500,,Off,0.0000
1.394,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.724,,0.0000
1.547,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.877,,0.0000
1.584,3.4383,-6.7457,0,0.0,true,1,41.9437,Free Play,0,0.3500,,Off,0.0000
1.687,2.7555,-6.6001,0,0.0,false,1,40.6783,Free Play,0,0.3500,,Off,0.0000
1.787,2.0877,-6.7600,0,0.0,false,1,37.5073,Free Play,0,0.3500,,Off,0.0000
