timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.833,0.0,0.0,1,1.96,false,1,,Golden,0,0.3500,0.000,,0.0000
1.033,0.0,0.0,1,1.47,false,1,,Golden,0,0.3500,0.000,,0.0000
1.817,0.0,0.0,-1,2.22,false,1,,Golden,0,0.3500,0.000,,0.0000
2.000,0.0,0.0,-1,2.29,false,1,,Golden,0,0.3500,0.000,,0.0000
2.700,0.0,0.0,1,1.62,false,1,,Golden,0,0.3500,0.000,,0.0000
2.883,0.0,0.0,1,1.24,false,1,,Golden,0,0.3500,0.000,,0.0000
2.968,4.3400,1.0142,0,0.0,false,1,13.8934,Golden,0,0.3500,,Off,0.0000
3.050,0.0,0.0,1,1.24,false,1,,Golden,0,0.3500,0.082,,0.0000
3.068,4.4248,0.2692,0,0.0,false,1,12.6290,Golden,0,0.3500,,Off,0.0000
3.168,4.4772,0.7774,0,0.0,false,1,12.3979,Golden,0,0.3500,,Off,0.0000
3.218,0.0,0.0,1,1.24,false,1,,Golden,0,0.3500,0.249,,0.0000
3.269,4.4981,0.0543,0,0.0,false,1,11.8971,Golden,0,0.3500,,Off,0.0000
3.367,0.0,0.0,1,1.25,false,1,,Golden,0,0.3500,0.399,,0.0000
3.369,4.5093,-0.6737,0,0.0,false,1,12.0160,Golden,0,0.3500,,Off,0.0000
3.486,4.4669,-0.0566,0,0.0,false,1,12.1957,Golden,0,0.3500,,Off,0.0000
3.517,0.0,0.0,1,1.27,false,1,,Golden,0,0.3500,0.549,,0.0000
3.602,4.3693,-0.7090,0,0.0,false,1,13.3616,Golden,0,0.3500,,Off,0.0000
3.719,4.3214,-0.1158,0,0.0,false,1,13.5554,Golden,0,0.3500,,Off,0.0000
3.819,4.3346,0.3788,0,0.0,false,1,13.5003,Golden,0,0.3500,,Off,0.0000
3.850,0.0,0.0,1,1.29,false,1,,Golden,0,0.3500,0.882,,0.0000
3.935,4.2842,-0.3264,0,0.0,false,1,13.9362,Golden,0,0.3500,,Off,0.0000
4.035,4.2761,0.1626,0,0.0,false,1,13.9683,Golden,0,0.3500,,Off,0.0000
4.100,0.0,0.0,1,1.10,false,1,,Golden,0,0.3500,1.132,,0.0000
4.135,4.2624,-0.4491,0,0.0,false,1,14.1780,Golden,0,0.3500,,Off,0.0000
4.251,4.2430,0.1109,0,0.0,false,1,14.2537,Golden,0,0.3500,,Off,0.0000
4.352,4.2784,0.5910,0,0.0,false,1,14.1097,Golden,0,0.3500,,Off,0.0000
4.384,0.0,0.0,1,1.06,false,1,,Golden,0,0.3500,1.416,,0.0000
4.452,4.2732,0.0175,0,0.0,false,1,13.9812,Golden,0,0.3500,,Off,0.0000
4.569,4.2685,0.2414,0,0.0,false,1,14.0518,Golden,0,0.3500,,Off,0.0000
4.686,4.3295,0.8029,0,0.0,false,1,13.7971,Golden,0,0.3500,,Off,0.0000
4.767,0.0,0.0,1,1.34,false,1,,Golden,0,0.3500,1.799,,0.0000
4.802,4.3909,0.0455,0,0.0,false,1,12.9108,Golden,0,0.3500,,Off,0.0000
4.919,4.4307,0.6352,0,0.0,false,1,12.7385,Golden,0,0.3500,,Off,0.0000
4.934,0.0,0.0,1,1.64,false,1,,Golden,0,0.3500,1.966,,0.0000
5.039,4.3478,-0.3847,0,0.0,false,1,13.3815,Golden,0,0.3500,,Off,0.0000
5.117,0.0,0.0,1,1.91,false,1,,Golden,0,0.3500,2.149,,0.0000
5.152,4.2414,-1.7084,0,0.0,false,1,15.7205,Golden,0,0.3500,,Off,0.0000
5.267,0.0,0.0,1,2.06,false,1,,Golden,0,0.3500,2.299,,0.0000
5.269,4.0381,-3.1990,0,0.0,false,1,21.0516,Golden,0,0.3500,,Off,0.0000
5.385,3.6964,-2.7116,0,0.0,false,1,21.8249,Golden,0,0.3500,,Off,0.0000
5.486,3.4402,-2.4228,0,0.0,true,1,22.1210,Golden,0,0.3500,,Off,0.0000
5.603,3.1693,-2.2382,0,0.0,true,1,22.1210,Golden,0,0.3500,,Off,0.0000
5.719,2.9112,-2.2090,0,0.0,true,1,21.8008,Golden,0,0.3500,,Off,0.0000
5.836,2.6485,-2.3251,0,0.0,false,1,21.1546,Golden,0,0.3500,,Off,0.0000
5.902,0.0,0.0,-1,2.10,false,1,,Golden,0,0.3500,0.066,,0.0000
5.952,2.5038,-0.4884,0,0.0,false,1,17.8106,Golden,0,0.3500,,Off,0.0000
6.069,2.4289,-0.8006,0,0.0,false,1,17.5529,Golden,0,0.3500,,Off,0.0000
6.185,2.3165,-1.1444,0,0.0,false,1,17.1212,Golden,0,0.3500,,Off,0.0000
6.203,0.0,0.0,-1,2.18,false,1,,Golden,0,0.3500,0.367,,0.0000
6.286,2.4039,0.6983,0,0.0,false,1,17.3134,Golden,0,0.3500,,Off,0.0000
6.386,2.4584,0.3917,0,0.0,false,1,17.4949,Golden,0,0.3500,,Off,0.0000
6.417,0.0,0.0,-1,2.27,false,1,,Golden,0,0.3500,0.582,,0.0000
6.503,2.7116,2.3344,0,0.0,false,1,21.4517,Golden,0,0.3500,,Off,0.0000
6.619,2.9710,2.1482,0,0.0,true,1,21.7850,Golden,0,0.3500,,Off,0.0000
6.719,3.1831,2.1052,0,0.0,true,1,21.8274,Golden,0,0.3500,,Off,0.0000
