timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.250,3.2875,0.1126,0,0.0,true,1,19.5221,Free Play,0,0.3500,,Off,0.0000
0.350,3.3040,0.2174,0,0.0,true,1,19.5146,Free Play,0,0.3500,,Off,0.0000
0.483,3.3316,0.3319,0,0.0,true,1,19.4984,Free Play,0,0.3500,,Off,0.0000
0.583,3.3711,0.4591,0,0.0,true,1,19.4682,Free Play,0,0.3500,,Off,0.0000
0.686,3.4255,0.6097,0,0.0,true,1,19.4131,Free Play,0,0.3500,,Off,0.0000
0.787,3.4954,0.7846,0,0.0,false,1,19.3201,Free Play,0,0.3500,,Off,0.0000
0.903,3.6013,1.0310,0,0.0,false,1,19.1330,Free Play,0,0.3500,,Off,0.0000
0.936,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.149,,0.0000
1.479,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.692,,0.0000
1.500,3.3824,-4.6987,0,0.0,true,1,30.3757,Free Play,0,0.3500,,Off,0.0000
1.604,2.9068,-4.5702,0,0.0,true,1,29.7941,Free Play,0,0.3500,,Off,0.0000
1.685,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.720,2.2223,-7.6868,0,0.0,false,1,45.3018,Free Play,0,0.3500,,Off,0.0000
