timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.2864,0.1019,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.234,3.3051,0.2228,0,0.0,true,1,19.5140,Free Play,0,0.3500,,Off,0.0000
0.334,3.3330,0.3367,0,0.0,true,1,19.4975,Free Play,0,0.3500,,Off,0.0000
0.434,3.3731,0.4650,0,0.0,true,1,19.4665,Free Play,0,0.3500,,Off,0.0000
0.551,3.4373,0.6402,0,0.0,true,1,19.3992,Free Play,0,0.3500,,Off,0.0000
0.656,3.5137,0.8284,0,0.0,false,1,19.2916,Free Play,0,0.3500,,Off,0.0000
0.735,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.079,,0.0000
0.768,3.4699,-1.9146,0,0.0,true,1,20.9290,Free Play,0,0.3500,,Off,0.0000
0.868,3.2883,-1.7300,0,0.0,true,1,21.0110,Free Play,0,0.3500,,Off,0.0000
0.968,3.1208,-1.6340,0,0.0,true,1,20.9528,Free Play,0,0.3500,,Off,0.0000
1.084,2.9318,-1.6266,0,0.0,true,1,20.7278,Free Play,0,0.3500,,Off,0.0000
1.189,2.7588,-1.7109,0,0.0,false,1,20.3737,Free Play,0,0.3500,,Off,0.0000
1.284,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.095,,0.0000
1.301,2.6543,1.0915,0,0.0,false,1,19.0736,Free Play,0,0.3500,,Off,0.0000
1.401,2.7533,0.8910,0,0.0,false,1,19.2866,Free Play,0,0.3500,,Off,0.0000
1.518,2.8465,0.7141,0,0.0,true,1,19.4509,Free Play,0,0.3500,,Off,0.0000
1.634,2.9219,0.5879,0,0.0,true,1,19.5570,Free Play,0,0.3500,,Off,0.0000
1.751,2.9851,0.5033,0,0.0,true,1,19.6267,Free Play,0,0.3500,,Off,0.0000
1.851,3.0331,0.4591,0,0.0,true,1,19.6677,Free Play,0,0.3500,,Off,0.0000
1.968,3.0851,0.4374,0,0.0,true,1,19.7000,Free Play,0,0.3500,,Off,0.0000
2.084,3.1362,0.4456,0,0.0,true,1,19.7192,Free Play,0,0.3500,,Off,0.0000
2.184,3.1822,0.4766,0,0.0,true,1,19.7255,Free Play,0,0.3500,,Off,0.0000
2.301,3.2414,0.5422,0,0.0,true,1,19.7181,Free Play,0,0.3500,,Off,0.0000
2.418,3.3101,0.6425,0,0.0,true,1,19.6874,Free Play,0,0.3500,,Off,0.0000
2.518,3.3800,0.7606,0,0.0,true,1,19.6318,Free Play,0,0.3500,,Off,0.0000
2.640,3.4827,0.9496,0,0.0,true,1,19.5056,Free Play,0,0.3500,,Off,0.0000
2.701,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.751,3.4027,-1.8118,0,0.0,true,1,20.9287,Free Play,0,0.3500,,Off,0.0000
2.851,3.2295,-1.6592,0,0.0,true,1,20.9587,Free Play,0,0.3500,,Off,0.0000
2.968,3.0410,-1.5890,0,0.0,true,1,20.8329,Free Play,0,0.3500,,Off,0.0000
3.085,2.8546,-1.6271,0,0.0,true,1,20.5424,Free Play,0,0.3500,,Off,0.0000
3.207,2.6493,-1.7773,0,0.0,false,1,20.0346,Free Play,0,0.3500,,Off,0.0000
3.284,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.078,,0.0000
3.319,2.5875,0.9688,0,0.0,false,1,18.6214,Free Play,0,0.3500,,Off,0.0000
3.435,2.6840,0.7061,0,0.0,false,1,18.8598,Free Play,0,0.3500,,Off,0.0000
3.535,2.7450,0.5185,0,0.0,false,1,18.9928,Free Play,0,0.3500,,Off,0.0000
3.650,2.7941,0.3354,0,0.0,true,1,19.0898,Free Play,0,0.3500,,Off,0.0000
