timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.867,0.0,0.0,1,1.95,false,1,,Golden,0,0.3500,0.000,,0.0000
1.034,0.0,0.0,1,1.69,false,1,,Golden,0,0.3500,0.000,,0.0000
1.652,0.0,0.0,-1,1.94,false,1,,Golden,0,0.3500,0.000,,0.0000
1.817,0.0,0.0,-1,1.87,false,1,,Golden,0,0.3500,0.000,,0.0000
2.400,0.0,0.0,1,1.89,false,1,,Golden,0,0.3500,0.000,,0.0000
2.534,0.0,0.0,1,1.59,false,1,,Golden,0,0.3500,0.000,,0.0000
2.667,0.0,0.0,1,1.69,false,1,,Golden,0,0.3500,0.000,,0.0000
2.900,0.0,0.0,1,1.69,false,1,,Golden,0,0.3500,0.000,,0.0000
3.484,0.0,0.0,1,1.66,false,1,,Golden,0,0.3500,0.000,,0.0000
4.201,0.0,0.0,1,1.62,false,1,,Golden,0,0.3500,0.000,,0.0000
4.468,0.0,0.0,1,1.56,false,1,,Golden,0,0.3500,0.000,,0.0000
4.917,0.0,0.0,-1,2.26,false,1,,Golden,0,0.3500,0.000,,0.0000
