timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.2863,0.1018,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.235,3.3052,0.2236,0,0.0,true,1,19.5139,Free Play,0,0.3500,,Off,0.0000
0.335,3.3332,0.3374,0,0.0,true,1,19.4974,Free Play,0,0.3500,,Off,0.0000
0.435,3.3733,0.4656,0,0.0,true,1,19.4663,Free Play,0,0.3500,,Off,0.0000
0.552,3.4374,0.6406,0,0.0,true,1,19.3990,Free Play,0,0.3500,,Off,0.0000
0.652,3.5103,0.8203,0,0.0,false,1,19.2971,Free Play,0,0.3500,,Off,0.0000
0.768,3.6203,1.0738,0,0.0,false,1,19.0937,Free Play,0,0.3500,,Off,0.0000
0.801,0.0,0.0,1,1.31,false,1,,Free Play,0,0.3500,0.149,,0.0000
0.883,3.6328,0.0659,0,0.0,false,1,18.4624,Free Play,0,0.3500,,Off,0.0000
0.984,3.6529,0.3348,0,0.0,false,1,18.4213,Free Play,0,0.3500,,Off,0.0000
1.089,3.7028,0.6239,0,0.0,false,1,18.3097,Free Play,0,0.3500,,Off,0.0000
1.184,0.0,0.0,1,1.18,false,1,,Free Play,0,0.3500,0.532,,0.0000
1.202,3.7534,-0.2104,0,0.0,false,1,17.8625,Free Play,0,0.3500,,Off,0.0000
1.318,3.7506,0.1605,0,0.0,false,1,17.8691,Free Play,0,0.3500,,Off,0.0000
1.423,3.7847,0.4924,0,0.0,false,1,17.7816,Free Play,0,0.3500,,Off,0.0000
1.500,0.0,0.0,1,2.08,false,1,,Free Play,0,0.3500,0.849,,0.0000
1.536,3.7563,-1.1976,0,0.0,false,1,18.5416,Free Play,0,0.3500,,Off,0.0000
1.652,3.6390,-0.8326,0,0.0,false,1,18.7777,Free Play,0,0.3500,,Off,0.0000
1.769,3.5605,-0.5236,0,0.0,false,1,18.9090,Free Play,0,0.3500,,Off,0.0000
