timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.2863,0.1017,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.235,3.3053,0.2238,0,0.0,true,1,19.5139,Free Play,0,0.3500,,Off,0.0000
0.335,3.3333,0.3377,0,0.0,true,1,19.4973,Free Play,0,0.3500,,Off,0.0000
0.435,3.3734,0.4660,0,0.0,true,1,19.4662,Free Play,0,0.3500,,Off,0.0000
0.552,3.4377,0.6413,0,0.0,true,1,19.3986,Free Play,0,0.3500,,Off,0.0000
0.668,3.5246,0.8540,0,0.0,false,1,19.2741,Free Play,0,0.3500,,Off,0.0000
0.701,0.0,0.0,1,2.40,false,1,,Free Play,0,0.3500,0.033,,0.0000
0.785,3.3995,-1.2945,0,0.0,true,1,20.1334,Free Play,0,0.3500,,Off,0.0000
0.885,3.2780,-1.1412,0,0.0,true,1,20.1800,Free Play,0,0.3500,,Off,0.0000
0.986,3.1685,-1.0471,0,0.0,true,1,20.1647,Free Play,0,0.3500,,Off,0.0000
1.102,3.0491,-1.0059,0,0.0,true,1,20.0840,Free Play,0,0.3500,,Off,0.0000
1.218,2.9316,-1.0332,0,0.0,true,1,19.9382,Free Play,0,0.3500,,Off,0.0000
1.335,2.8063,-1.1280,0,0.0,true,1,19.7099,Free Play,0,0.3500,,Off,0.0000
1.367,0.0,0.0,-1,2.40,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.451,2.9045,1.1175,0,0.0,true,1,19.9698,Free Play,0,0.3500,,Off,0.0000
1.552,3.0120,1.0363,0,0.0,true,1,20.0747,Free Play,0,0.3500,,Off,0.0000
1.652,3.1139,1.0081,0,0.0,true,1,20.1244,Free Play,0,0.3500,,Off,0.0000
1.768,3.2328,1.0394,0,0.0,true,1,20.1194,Free Play,0,0.3500,,Off,0.0000
1.869,3.3407,1.1216,0,0.0,true,1,20.0551,Free Play,0,0.3500,,Off,0.0000
1.985,3.4797,1.2837,0,0.0,true,1,19.8884,Free Play,0,0.3500,,Off,0.0000
2.002,0.0,0.0,1,2.40,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.085,3.3779,-0.9251,0,0.0,true,1,19.7753,Free Play,0,0.3500,,Off,0.0000
2.185,3.2930,-0.7809,0,0.0,true,1,19.8127,Free Play,0,0.3500,,Off,0.0000
2.301,3.2098,-0.6652,0,0.0,true,1,19.8184,Free Play,0,0.3500,,Off,0.0000
2.402,3.1460,-0.6025,0,0.0,true,1,19.8014,Free Play,0,0.3500,,Off,0.0000
2.502,3.0875,-0.5719,0,0.0,true,1,19.7692,Free Play,0,0.3500,,Off,0.0000
2.619,3.0211,-0.5729,0,0.0,true,1,19.7130,Free Play,0,0.3500,,Off,0.0000
2.719,2.9624,-0.6044,0,0.0,true,1,19.6456,Free Play,0,0.3500,,Off,0.0000
2.835,2.8880,-0.6778,0,0.0,true,1,19.5360,Free Play,0,0.3500,,Off,0.0000
2.952,2.8027,-0.7937,0,0.0,true,2,19.3771,Free Play,0,0.3500,,Off,0.0000
3.052,0.0,0.0,-1,2.40,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.054,2.7601,1.4595,0,0.0,false,2,19.9797,Free Play,0,0.3500,,Off,0.0000
3.169,2.9169,1.2940,0,0.0,true,2,20.2105,Free Play,0,0.3500,,Off,0.0000
3.286,3.0621,1.2137,0,0.0,true,2,20.3256,Free Play,0,0.3500,,Off,0.0000
3.402,3.2035,1.2170,0,0.0,true,2,20.3418,Free Play,0,0.3500,,Off,0.0000
3.519,3.3492,1.3021,0,0.0,true,2,20.2571,Free Play,0,0.3500,,Off,0.0000
3.623,3.4907,1.4476,0,0.0,true,2,20.0762,Free Play,0,0.3500,,Off,0.0000
3.702,0.0,0.0,1,2.40,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.736,3.5477,-0.7040,0,0.0,false,2,19.0701,Free Play,0,0.3500,,Off,0.0000
3.836,3.4888,-0.4773,0,0.0,true,2,19.1486,Free Play,0,0.3500,,Off,0.0000
3.952,3.4469,-0.2464,0,0.0,true,2,19.1968,Free Play,0,0.3500,,Off,0.0000
4.069,3.4305,-0.0371,0,0.0,true,2,19.2141,Free Play,0,0.3500,,Off,0.0000
4.185,3.4380,0.1657,0,0.0,true,2,19.2059,Free Play,0,0.3500,,Off,0.0000
4.302,3.4694,0.3746,0,0.0,true,2,19.1676,Free Play,0,0.3500,,Off,0.0000
4.419,3.5260,0.6017,0,0.0,false,2,19.0851,Free Play,0,0.3500,,Off,0.0000
4.518,0.0,0.0,1,2.40,false,2,,Free Play,0,0.3500,0.100,,0.0000
4.520,3.5544,-1.5678,0,0.0,false,2,20.0248,Free Play,0,0.3500,,Off,0.0000
4.634,3.3912,-1.3155,0,0.0,true,2,20.1813,Free Play,0,0.3500,,Off,0.0000
4.736,3.2662,-1.1651,0,0.0,true,2,20.2227,Free Play,0,0.3500,,Off,0.0000
4.852,3.1372,-1.0685,0,0.0,true,2,20.1907,Free Play,0,0.3500,,Off,0.0000
4.952,3.0317,-1.0446,0,0.0,true,2,20.1065,Free Play,0,0.3500,,Off,0.0000
5.069,2.9078,-1.0830,0,0.0,true,2,19.9397,Free Play,0,0.3500,,Off,0.0000
5.185,2.7764,-1.1911,0,0.0,false,2,19.6825,Free Play,0,0.3500,,Off,0.0000
5.286,2.6499,-1.3422,0,0.0,false,2,19.3584,Free Play,0,0.3500,,Off,0.0000
5.301,0.0,0.0,-1,2.40,false,2,,Free Play,0,0.3500,0.116,,0.0000
5.402,2.7589,0.8293,0,0.0,false,2,19.2541,Free Play,0,0.3500,,Off,0.0000
5.502,2.8342,0.6763,0,0.0,true,2,19.3887,Free Play,0,0.3500,,Off,0.0000
5.619,2.9048,0.5426,0,0.0,true,2,19.4936,Free Play,0,0.3500,,Off,0.0000
5.719,2.9548,0.4591,0,0.0,true,2,19.5547,Free Play,0,0.3500,,Off,0.0000
