timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.0615,0.9651,0,0.0,true,1,20.0542,Free Play,0,0.3500,,Demo,-1.0000
0.235,3.1031,-0.1335,0,0.0,true,1,19.6217,Free Play,0,0.3500,,Demo,1.0000
0.351,3.1549,0.8853,0,0.0,true,1,20.0110,Free Play,0,0.3500,,Demo,-1.0000
0.468,3.1805,-0.2700,0,0.0,true,1,19.6490,Free Play,0,0.3500,,Demo,1.0000
0.585,3.2188,0.7925,0,0.0,true,1,19.9048,Free Play,0,0.3500,,Demo,-1.0000
0.685,3.2465,0.5632,0,0.0,true,1,19.7246,Free Play,0,0.3500,,Demo,-1.0000
0.801,3.2515,-0.3392,0,0.0,true,1,19.6183,Free Play,0,0.3500,,Demo,1.0000
0.902,3.2716,-0.2494,0,0.0,true,1,19.5683,Free Play,0,0.3500,,Demo,1.0000
1.018,3.2947,0.4781,0,0.0,true,1,19.6195,Free Play,0,0.3500,,Demo,-1.0000
1.135,3.2884,-0.3974,0,0.0,true,1,19.5935,Free Play,0,0.3500,,Demo,1.0000
1.235,3.3033,-0.2904,0,0.0,true,1,19.5341,Free Play,0,0.3500,,Demo,1.0000
1.352,3.3259,0.4831,0,0.0,true,1,19.5706,Free Play,0,0.3500,,Demo,-1.0000
1.468,3.3243,-0.3743,0,0.0,true,1,19.5268,Free Play,0,0.3500,,Demo,1.0000
1.568,3.3430,-0.2493,0,0.0,true,2,19.4528,Free Play,0,0.3500,,Demo,0.7884
1.668,3.3533,-0.3270,0,0.0,true,2,19.4544,Free Play,0,0.3500,,Demo,1.0000
1.785,3.3698,0.4224,0,0.0,true,2,19.4549,Free Play,0,0.3500,,Demo,-1.0000
1.885,3.3687,0.5647,0,0.0,true,2,19.5275,Free Play,0,0.3500,,Demo,-1.0000
1.985,3.3825,0.7071,0,0.0,true,2,19.5868,Free Play,0,0.3500,,Demo,-1.0000
2.101,3.3809,-0.4592,0,0.0,true,2,19.4459,Free Play,0,0.3500,,Demo,1.0000
2.202,3.3931,-0.3057,0,0.0,true,2,19.3582,Free Play,0,0.3500,,Demo,0.9255
2.318,3.4013,0.3053,0,0.0,true,2,19.3376,Free Play,0,0.3500,,Demo,-1.0000
2.418,3.3897,0.4622,0,0.0,true,2,19.4264,Free Play,0,0.3500,,Demo,-1.0000
2.535,3.3868,-0.3588,0,0.0,true,2,19.3910,Free Play,0,0.3500,,Demo,1.0000
2.652,3.4079,0.5662,0,0.0,true,2,19.4344,Free Play,0,0.3500,,Demo,-1.0000
2.752,3.4179,0.3897,0,0.0,true,2,19.3238,Free Play,0,0.3500,,Demo,-1.0000
2.868,3.4078,-0.4162,0,0.0,true,2,19.3611,Free Play,0,0.3500,,Demo,1.0000
2.968,3.4152,-0.5343,0,0.0,true,2,19.3978,Free Play,0,0.3500,,Demo,1.0000
3.085,3.4311,0.6606,0,0.0,true,3,19.4300,Free Play,0,0.3500,,Demo,-1.0000
3.202,3.4201,-0.4673,0,0.0,true,3,19.3511,Free Play,0,0.3500,,Demo,1.0000
3.319,3.4347,0.2150,0,0.0,true,3,19.2248,Free Play,0,0.3500,,Demo,-1.0000
3.435,3.4048,-0.5833,0,0.0,true,3,19.4522,Free Play,0,0.3500,,Demo,1.0000
3.552,3.4141,0.6048,0,0.0,true,3,19.4410,Free Play,0,0.3500,,Demo,-1.0000
3.652,3.4231,0.5810,0,0.0,true,3,19.4026,Free Play,0,0.3500,,Demo,-1.0000
3.752,3.4338,0.3623,0,0.0,true,3,19.2698,Free Play,0,0.3500,,Demo,-1.0000
3.869,3.4211,-0.4351,0,0.0,true,3,19.3339,Free Play,0,0.3500,,Demo,1.0000
3.986,3.4368,0.5257,0,0.0,true,3,19.3339,Free Play,0,0.3500,,Demo,-1.0000
4.103,3.4351,-0.5070,0,0.0,true,3,19.3290,Free Play,0,0.3500,,Demo,1.0000
4.219,3.4492,0.4391,0,0.0,true,3,19.2558,Free Play,0,0.3500,,Demo,-1.0000
4.319,3.4520,0.6196,0,0.0,true,3,19.3432,Free Play,0,0.3500,,Demo,-1.0000
4.419,3.4583,0.3169,0,0.0,true,3,19.1823,Free Play,0,0.3500,,Demo,-1.0000
4.535,3.4425,-0.4666,0,0.0,true,3,19.2881,Free Play,0,0.3500,,Demo,1.0000
4.653,3.4595,0.5872,0,0.0,true,4,19.3008,Free Play,0,0.3500,,Demo,-1.0000
4.769,3.4392,-0.7208,0,0.0,true,4,19.4485,Free Play,0,0.3500,,Demo,1.0000
4.869,3.4256,-0.5417,0,0.0,true,4,19.3736,Free Play,0,0.3500,,Demo,1.0000
4.985,3.4406,0.6586,0,0.0,true,4,19.4015,Free Play,0,0.3500,,Demo,-1.0000
5.102,3.4224,-0.5404,0,0.0,true,4,19.3817,Free Play,0,0.3500,,Demo,1.0000
5.202,3.4268,-0.3682,0,0.0,true,4,19.2915,Free Play,0,0.3500,,Demo,1.0000
5.320,3.4323,0.4626,0,0.0,true,4,19.3154,Free Play,0,0.3500,,Demo,-1.0000
5.435,3.4322,-0.3364,0,0.0,true,4,19.2653,Free Play,0,0.3500,,Demo,0.8912
5.535,3.4371,-0.5404,0,0.0,true,4,19.3409,Free Play,0,0.3500,,Demo,1.0000
5.636,3.4420,-0.3616,0,0.0,true,4,19.2462,Free Play,0,0.3500,,Demo,1.0000
5.752,3.4273,0.2341,0,0.0,true,4,19.2498,Free Play,0,0.3500,,Demo,-1.0000
5.869,3.3992,-0.5676,0,0.0,true,4,19.4575,Free Play,0,0.3500,,Demo,1.0000
5.986,3.4109,0.6181,0,0.0,true,4,19.4575,Free Play,0,0.3500,,Demo,-1.0000
6.102,3.4092,-0.4822,0,0.0,true,5,19.3872,Free Play,0,0.3500,,Demo,1.0000
6.202,3.4196,-0.3159,0,0.0,true,5,19.2932,Free Play,0,0.3500,,Demo,0.7896
6.302,3.4258,-0.3559,0,0.0,true,5,19.2897,Free Play,0,0.3500,,Demo,1.0000
6.402,3.4152,-0.6891,0,0.0,true,5,19.4925,Free Play,0,0.3500,,Demo,1.0000
6.518,3.4106,0.5024,0,0.0,true,5,19.3934,Free Play,0,0.3500,,Demo,-1.0000
6.619,3.4177,0.6658,0,0.0,true,5,19.4700,Free Play,0,0.3500,,Demo,-1.0000
6.719,3.4217,0.5778,0,0.0,true,5,19.4045,Free Play,0,0.3500,,Demo,-1.0000
6.836,3.4126,-0.8548,0,0.0,true,5,19.6274,Free Play,0,0.3500,,Demo,1.0000
6.953,3.3912,0.3353,0,0.0,true,5,19.3723,Free Play,0,0.3500,,Demo,-1.0000
7.069,3.3747,-0.4862,0,0.0,true,5,19.4729,Free Play,0,0.3500,,Demo,1.0000
7.185,3.3941,0.6849,0,0.0,true,5,19.5435,Free Play,0,0.3500,,Demo,-1.0000
7.286,3.4004,0.6058,0,0.0,true,5,19.4767,Free Play,0,0.3500,,Demo,-1.0000
7.386,3.4128,0.4779,0,0.0,true,5,19.3757,Free Play,0,0.3500,,Demo,-1.0000
7.502,3.4131,-0.3306,0,0.0,true,5,19.3153,Free Play,0,0.3500,,Demo,1.0000
7.602,3.3963,-0.8033,0,0.0,true,6,19.6260,Free Play,0,0.3500,,Demo,1.0000
7.719,3.3810,0.3783,0,0.0,true,6,19.4118,Free Play,0,0.3500,,Demo,-1.0000
7.819,3.3750,0.5258,0,0.0,true,6,19.4923,Free Play,0,0.3500,,Demo,-1.0000
7.919,3.3849,0.6711,0,0.0,true,6,19.5561,Free Play,0,0.3500,,Demo,-1.0000
8.036,3.3689,-0.7209,0,0.0,true,6,19.6276,Free Play,0,0.3500,,Demo,1.0000
8.136,3.3533,-0.5755,0,0.0,true,6,19.5665,Free Play,0,0.3500,,Demo,1.0000
8.253,3.3618,0.5836,0,0.0,true,6,19.5535,Free Play,0,0.3500,,Demo,-1.0000
8.353,3.3774,0.7225,0,0.0,true,6,19.6096,Free Play,0,0.3500,,Demo,-1.0000
8.453,3.3686,0.4111,0,0.0,true,6,19.4528,Free Play,0,0.3500,,Demo,-1.0000
8.569,3.3593,-0.4226,0,0.0,true,6,19.4777,Free Play,0,0.3500,,Demo,1.0000
8.669,3.3744,-0.2809,0,0.0,true,6,19.3949,Free Play,0,0.3500,,Demo,0.8348
8.786,3.3971,0.6189,0,0.0,true,6,19.4930,Free Play,0,0.3500,,Demo,-1.0000
8.903,3.4012,-0.3504,0,0.0,true,6,19.3526,Free Play,0,0.3500,,Demo,1.0000
9.019,3.4140,0.5510,0,0.0,true,6,19.4100,Free Play,0,0.3500,,Demo,-1.0000
9.136,3.4151,-0.4839,0,0.0,true,7,19.3725,Free Play,0,0.3500,,Demo,1.0000
9.236,3.4250,-0.3156,0,0.0,true,7,19.2784,Free Play,0,0.3500,,Demo,0.7368
9.336,3.4252,-0.4058,0,0.0,true,7,19.3105,Free Play,0,0.3500,,Demo,1.0000
9.437,3.4221,-0.8503,0,0.0,true,7,19.5982,Free Play,0,0.3500,,Demo,1.0000
9.553,3.4007,0.3446,0,0.0,true,7,19.3519,Free Play,0,0.3500,,Demo,-1.0000
9.653,3.3935,0.5013,0,0.0,true,7,19.4360,Free Play,0,0.3500,,Demo,-1.0000
9.769,3.3954,-0.3173,0,0.0,true,7,19.3561,Free Play,0,0.3500,,Demo,1.0000
9.870,3.3823,-0.7465,0,0.0,true,7,19.6159,Free Play,0,0.3500,,Demo,1.0000
9.986,3.3730,0.4279,0,0.0,true,7,19.4502,Free Play,0,0.3500,,Demo,-1.0000
10.104,3.3663,-0.4022,0,0.0,true,7,19.4543,Free Play,0,0.3500,,Demo,1.0000
10.219,3.3872,0.3014,0,0.0,true,7,19.3711,Free Play,0,0.3500,,Demo,-1.0000
10.320,3.3748,0.4524,0,0.0,true,7,19.4568,Free Play,0,0.3500,,Demo,-1.0000
10.437,3.3707,-0.3767,0,0.0,true,7,19.4346,Free Play,0,0.3500,,Demo,1.0000
10.553,3.3905,0.5493,0,0.0,true,7,19.4686,Free Play,0,0.3500,,Demo,-1.0000
10.670,3.3985,-0.2709,0,0.0,true,8,19.3348,Free Play,0,0.3500,,Demo,0.5075
10.770,3.3798,-0.6038,0,0.0,true,8,19.5252,Free Play,0,0.3500,,Demo,1.0000
10.887,3.3862,0.5704,0,0.0,true,8,19.4906,Free Play,0,0.3500,,Demo,-1.0000
11.003,3.3943,-0.3178,0,0.0,true,8,19.3590,Free Play,0,0.3500,,Demo,1.0000
11.120,3.3869,0.2959,0,0.0,true,8,19.3701,Free Play,0,0.3500,,Demo,-1.0000
11.220,3.3748,0.4458,0,0.0,true,8,19.4538,Free Play,0,0.3500,,Demo,-1.0000
