timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.133,0.0,0.0,-1,2.40,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.017,0.0,0.0,1,1.96,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.500,0.0,0.0,1,2.06,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.699,0.0,0.0,1,2.05,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.867,0.0,0.0,1,2.28,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.550,0.0,0.0,-1,2.07,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.766,0.0,0.0,-1,2.32,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.050,0.0,0.0,-1,2.59,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.850,0.0,0.0,1,2.16,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.100,0.0,0.0,1,1.95,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.185,4.0581,-0.2463,0,0.0,false,1,15.8107,Free Play,0,0.3500,,Off,0.0000
5.288,4.0555,0.1933,0,0.0,false,1,15.8195,Free Play,0,0.3500,,Off,0.0000
5.366,0.0,0.0,1,1.65,false,1,,Free Play,0,0.3500,0.181,,0.0000
5.401,4.0233,-0.9658,0,0.0,false,1,16.5140,Free Play,0,0.3500,,Off,0.0000
5.502,3.9478,-0.5442,0,0.0,false,1,16.7489,Free Play,0,0.3500,,Off,0.0000
5.618,3.9113,-0.0882,0,0.0,false,1,16.8589,Free Play,0,0.3500,,Off,0.0000
5.735,3.9268,0.3539,0,0.0,false,1,16.8108,Free Play,0,0.3500,,Off,0.0000
5.835,3.9813,0.7377,0,0.0,false,1,16.6320,Free Play,0,0.3500,,Off,0.0000
5.883,0.0,0.0,1,1.78,false,1,,Free Play,0,0.3500,0.698,,0.0000
5.935,3.9570,-0.6291,0,0.0,false,1,16.7337,Free Play,0,0.3500,,Off,0.0000
6.038,3.9134,-0.2212,0,0.0,false,1,16.8649,Free Play,0,0.3500,,Off,0.0000
6.100,0.0,0.0,1,1.71,false,1,,Free Play,0,0.3500,0.915,,0.0000
6.153,3.7976,-1.4906,0,0.0,false,1,18.6947,Free Play,0,0.3500,,Off,0.0000
6.267,0.0,0.0,1,1.84,false,1,,Free Play,0,0.3500,1.082,,0.0000
6.272,3.6071,-2.9299,0,0.0,false,1,22.8682,Free Play,0,0.3500,,Off,0.0000
6.386,3.2909,-2.6607,0,0.0,true,1,23.0505,Free Play,0,0.3500,,Off,0.0000
6.502,2.9892,-2.5653,0,0.0,true,1,22.7967,Free Play,0,0.3500,,Off,0.0000
6.602,2.7308,-2.6208,0,0.0,false,1,22.2382,Free Play,0,0.3500,,Off,0.0000
6.702,2.4607,-2.7943,0,0.0,false,1,21.3366,Free Play,0,0.3500,,Off,0.0000
6.818,2.1168,-3.1261,0,0.0,false,1,19.7907,Free Play,0,0.3500,,Off,0.0000
6.884,0.0,0.0,-1,2.29,false,1,,Free Play,0,0.3500,0.282,,0.0000
6.919,1.8998,-1.2257,0,0.0,false,1,13.7306,Free Play,0,0.3500,,Off,0.0000
7.033,0.0,0.0,-1,2.07,false,1,,Free Play,0,0.3500,0.432,,0.0000
7.035,1.7646,0.3387,0,0.0,false,1,11.7567,Free Play,0,0.3500,,Off,0.0000
7.155,1.7717,-0.2190,0,0.0,false,1,11.7912,Free Play,0,0.3500,,Off,0.0000
7.217,0.0,0.0,-1,2.32,false,1,,Free Play,0,0.3500,0.615,,0.0000
7.268,1.8716,1.5602,0,0.0,false,1,13.9339,Free Play,0,0.3500,,Off,0.0000
7.369,2.0043,1.0959,0,0.0,false,1,14.5309,Free Play,0,0.3500,,Off,0.0000
7.469,2.0921,0.6639,0,0.0,false,1,14.9156,Free Play,0,0.3500,,Off,0.0000
7.585,2.1417,0.1917,0,0.0,false,1,15.1293,Free Play,0,0.3500,,Off,0.0000
7.685,2.1412,-0.1990,0,0.0,false,1,15.1271,Free Play,0,0.3500,,Off,0.0000
7.790,2.0993,-0.6046,0,0.0,false,1,14.9391,Free Play,0,0.3500,,Off,0.0000
7.816,0.0,0.0,-1,2.08,false,1,,Free Play,0,0.3500,1.215,,0.0000
7.902,2.2160,1.0159,0,0.0,false,1,16.2256,Free Play,0,0.3500,,Off,0.0000
8.018,0.0,0.0,-1,2.26,false,1,,Free Play,0,0.3500,1.416,,0.0000
8.020,2.3498,2.8392,0,0.0,false,1,20.7324,Free Play,0,0.3500,,Off,0.0000
8.135,2.6526,2.4745,0,0.0,false,1,21.5319,Free Play,0,0.3500,,Off,0.0000
8.235,2.8912,2.2773,0,0.0,true,1,21.9069,Free Play,0,0.3500,,Off,0.0000
8.352,3.1500,2.1924,0,0.0,true,1,22.0229,Free Play,0,0.3500,,Off,0.0000
8.452,3.3710,2.2388,0,0.0,true,1,21.8690,Free Play,0,0.3500,,Off,0.0000
8.552,3.6017,2.3923,0,0.0,false,1,21.4614,Free Play,0,0.3500,,Off,0.0000
8.669,3.8972,2.7009,0,0.0,false,1,20.5973,Free Play,0,0.3500,,Off,0.0000
8.734,0.0,0.0,1,2.29,false,1,,Free Play,0,0.3500,0.182,,0.0000
8.769,4.0714,0.7898,0,0.0,false,1,15.9885,Free Play,0,0.3500,,Off,0.0000
8.869,4.1717,1.2177,0,0.0,false,1,15.6008,Free Play,0,0.3500,,Off,0.0000
8.917,0.0,0.0,1,2.22,false,1,,Free Play,0,0.3500,0.365,,0.0000
8.985,4.1598,-0.4543,0,0.0,false,1,15.0627,Free Play,0,0.3500,,Off,0.0000
9.085,4.1374,0.0053,0,0.0,false,1,15.1447,Free Play,0,0.3500,,Off,0.0000
9.185,4.1605,0.4562,0,0.0,false,1,15.0570,Free Play,0,0.3500,,Off,0.0000
9.286,4.2288,0.9097,0,0.0,false,1,14.7852,Free Play,0,0.3500,,Off,0.0000
9.384,0.0,0.0,1,1.87,false,1,,Free Play,0,0.3500,0.832,,0.0000
9.386,4.3112,-0.4871,0,0.0,false,1,13.7591,Free Play,0,0.3500,,Off,0.0000
9.489,4.2875,0.0267,0,0.0,false,1,13.8539,Free Play,0,0.3500,,Off,0.0000
9.537,0.0,0.0,1,1.87,false,1,,Free Play,0,0.3500,0.985,,0.0000
9.602,4.1658,-1.2786,0,0.0,false,1,15.7261,Free Play,0,0.3500,,Off,0.0000
9.701,0.0,0.0,1,1.89,false,1,,Free Play,0,0.3500,1.149,,0.0000
9.703,4.0286,-2.6918,0,0.0,false,1,19.6300,Free Play,0,0.3500,,Off,0.0000
9.819,3.7457,-2.2074,0,0.0,false,1,20.3198,Free Play,0,0.3500,,Off,0.0000
9.834,0.0,0.0,1,1.92,false,1,,Free Play,0,0.3500,1.282,,0.0000
9.919,3.3483,-3.8193,0,0.0,true,1,26.7048,Free Play,0,0.3500,,Off,0.0000
10.036,2.9129,-3.7027,0,0.0,true,1,26.2195,Free Play,0,0.3500,,Off,0.0000
10.151,2.4790,-3.8270,0,0.0,false,1,24.8674,Free Play,0,0.3500,,Off,0.0000
10.269,2.0111,-4.1527,0,0.0,false,1,22.6133,Free Play,0,0.3500,,Off,0.0000
10.318,0.0,0.0,-1,1.76,false,1,,Free Play,0,0.3500,0.167,,0.0000
10.386,1.6448,-2.8565,0,0.0,false,1,14.6148,Free Play,0,0.3500,,Off,0.0000
