timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.617,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.184,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.451,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.801,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.068,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.351,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.970,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.768,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.285,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
4.802,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.435,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.736,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
6.236,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
6.553,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
7.102,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
7.334,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
7.519,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
7.703,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.036,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.252,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.486,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.703,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.886,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
9.103,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
9.803,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
10.336,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
10.537,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
10.753,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
10.937,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
11.470,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
11.687,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
12.253,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
12.453,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
12.655,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
12.803,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.437,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.820,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.054,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
