timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.0500,-0.0340,0,0.0,true,1,19.5795,Free Play,0,0.3500,,Tutorial,1.0000
0.217,3.0945,-0.0444,0,0.0,true,1,19.6101,Free Play,0,0.3500,,Tutorial,1.0000
0.334,3.1510,-0.1869,0,0.0,true,1,19.6370,Free Play,0,0.3500,,Tutorial,1.0000
0.451,3.1955,0.6378,0,0.0,true,1,19.8091,Free Play,0,0.3500,,Tutorial,-1.0000
0.551,3.2138,0.6950,0,0.0,true,1,19.8359,Free Play,0,0.3500,,Tutorial,-1.0000
0.668,3.2141,-0.7750,0,0.0,true,1,19.8945,Free Play,0,0.3500,,Tutorial,1.0000
0.768,3.1881,-0.7067,0,0.0,true,1,19.8591,Free Play,0,0.3500,,Tutorial,1.0000
0.884,3.1763,0.3556,0,0.0,true,1,19.6773,Free Play,0,0.3500,,Tutorial,-1.0000
0.984,3.1637,0.4015,0,0.0,true,1,19.6982,Free Play,0,0.3500,,Tutorial,-1.0000
1.084,3.1558,0.4414,0,0.0,true,1,19.7164,Free Play,0,0.3500,,Tutorial,-1.0000
1.185,3.1525,0.4776,0,0.0,true,1,19.7335,Free Play,0,0.3500,,Tutorial,-1.0000
1.301,3.1438,-0.4805,0,0.0,true,1,19.7354,Free Play,0,0.3500,,Tutorial,1.0000
1.418,3.1564,0.5583,0,0.0,true,1,19.7748,Free Play,0,0.3500,,Tutorial,-1.0000
1.518,3.1642,0.5954,0,0.0,true,1,19.7948,Free Play,0,0.3500,,Tutorial,-1.0000
1.651,3.1767,-0.3605,0,0.0,true,2,19.6789,Free Play,0,0.3500,,Tutorial,1.0000
1.751,3.1932,-0.3086,0,0.0,true,2,19.6546,Free Play,0,0.3500,,Tutorial,1.0000
1.868,3.2276,0.7608,0,0.0,true,2,19.8731,Free Play,0,0.3500,,Tutorial,-1.0000
1.984,3.2365,0.6549,0,0.0,true,2,19.7904,Free Play,0,0.3500,,Tutorial,-1.0000
2.101,3.2442,0.5111,0,0.0,true,2,19.6991,Free Play,0,0.3500,,Tutorial,-1.0000
2.218,3.2424,-0.3931,0,0.0,true,2,19.6475,Free Play,0,0.3500,,Tutorial,1.0000
