timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.119,3.2867,0.1050,0,0.0,true,1,19.5224,Free Play,0,0.3500,,Off,0.0000
0.235,3.3060,0.2272,0,0.0,true,1,19.5135,Free Play,0,0.3500,,Off,0.0000
0.351,3.3398,0.3605,0,0.0,true,1,19.4928,Free Play,0,0.3500,,Off,0.0000
0.452,3.3828,0.4934,0,0.0,true,1,19.4576,Free Play,0,0.3500,,Off,0.0000
0.567,3.4498,0.6722,0,0.0,true,1,19.3835,Free Play,0,0.3500,,Off,0.0000
0.668,3.5265,0.8585,0,0.0,false,1,19.2709,Free Play,0,0.3500,,Off,0.0000
0.700,0.0,0.0,1,1.00,false,1,,Free Play,0,0.3500,0.032,,0.0000
0.784,3.5413,0.1187,0,0.0,false,1,18.8537,Free Play,0,0.3500,,Off,0.0000
0.901,3.5705,0.3832,0,0.0,false,1,18.8049,Free Play,0,0.3500,,Off,0.0000
1.018,3.6314,0.6652,0,0.0,false,1,18.6879,Free Play,0,0.3500,,Off,0.0000
1.134,0.0,0.0,1,0.88,false,1,,Free Play,0,0.3500,0.466,,0.0000
1.136,3.7124,0.1032,0,0.0,false,1,18.0700,Free Play,0,0.3500,,Off,0.0000
1.251,3.7442,0.4505,0,0.0,false,1,17.9935,Free Play,0,0.3500,,Off,0.0000
1.350,0.0,0.0,1,0.36,false,1,,Free Play,0,0.3500,0.682,,0.0000
1.352,3.7998,0.4123,0,0.0,false,1,17.6555,Free Play,0,0.3500,,Off,0.0000
1.467,3.8696,0.8022,0,0.0,false,1,17.4548,Free Play,0,0.3500,,Off,0.0000
1.533,0.0,0.0,1,0.47,false,1,,Free Play,0,0.3500,0.865,,0.0000
1.568,3.9452,0.7011,0,0.0,false,1,16.8647,Free Play,0,0.3500,,Off,0.0000
1.684,4.0528,1.1552,0,0.0,false,1,16.4887,Free Play,0,0.3500,,Off,0.0000
1.751,0.0,0.0,1,1.06,false,1,,Free Play,0,0.3500,1.083,,0.0000
1.785,4.1369,0.5252,0,0.0,false,1,15.2869,Free Play,0,0.3500,,Off,0.0000
1.901,4.2283,1.0469,0,0.0,false,1,14.9236,Free Play,0,0.3500,,Off,0.0000
1.934,0.0,0.0,1,1.21,false,1,,Free Play,0,0.3500,1.266,,0.0000
2.001,4.2560,0.3146,0,0.0,false,1,14.1831,Free Play,0,0.3500,,Off,0.0000
2.100,0.0,0.0,1,1.19,false,1,,Free Play,0,0.3500,1.432,,0.0000
2.103,4.2922,-0.3881,0,0.0,false,1,13.8868,Free Play,0,0.3500,,Off,0.0000
2.219,4.2803,0.1786,0,0.0,false,1,13.9342,Free Play,0,0.3500,,Off,0.0000
2.267,0.0,0.0,1,1.22,false,1,,Free Play,0,0.3500,1.599,,0.0000
2.334,4.2323,-0.4703,0,0.0,false,1,14.4516,Free Play,0,0.3500,,Off,0.0000
2.435,4.2093,0.0090,0,0.0,false,1,14.5398,Free Play,0,0.3500,,Off,0.0000
2.450,0.0,0.0,1,1.29,false,1,,Free Play,0,0.3500,1.783,,0.0000
2.551,4.0930,-0.7284,0,0.0,false,1,15.7707,Free Play,0,0.3500,,Off,0.0000
2.601,0.0,0.0,1,1.27,false,1,,Free Play,0,0.3500,1.933,,0.0000
2.651,3.9578,-1.5494,0,0.0,false,1,17.7303,Free Play,0,0.3500,,Off,0.0000
2.768,3.8048,-1.0910,0,0.0,false,1,18.1355,Free Play,0,0.3500,,Off,0.0000
2.868,3.7130,-0.7522,0,0.0,false,1,18.3446,Free Play,0,0.3500,,Off,0.0000
2.968,3.6530,-0.4514,0,0.0,false,1,18.4668,Free Play,0,0.3500,,Off,0.0000
3.085,3.6192,-0.1319,0,0.0,false,1,18.5310,Free Play,0,0.3500,,Off,0.0000
3.185,3.6191,0.1293,0,0.0,false,1,18.5311,Free Play,0,0.3500,,Off,0.0000
3.289,3.6468,0.4025,0,0.0,false,1,18.4754,Free Play,0,0.3500,,Off,0.0000
3.384,0.0,0.0,1,1.25,false,1,,Free Play,0,0.3500,2.716,,0.0000
3.402,3.6667,-0.5297,0,0.0,false,1,18.4386,Free Play,0,0.3500,,Off,0.0000
3.503,3.6279,-0.2487,0,0.0,false,1,18.5134,Free Play,0,0.3500,,Off,0.0000
3.619,3.6170,0.0590,0,0.0,false,1,18.5339,Free Play,0,0.3500,,Off,0.0000
3.738,3.6426,0.3705,0,0.0,false,1,18.4830,Free Play,0,0.3500,,Off,0.0000
3.818,0.0,0.0,1,1.23,false,1,,Free Play,0,0.3500,3.150,,0.0000
3.852,3.6405,-0.5414,0,0.0,false,1,18.5710,Free Play,0,0.3500,,Off,0.0000
3.969,3.5958,-0.2290,0,0.0,false,1,18.6517,Free Play,0,0.3500,,Off,0.0000
4.089,3.5864,0.0720,0,0.0,false,1,18.6680,Free Play,0,0.3500,,Off,0.0000
4.151,0.0,0.0,1,1.27,false,1,,Free Play,0,0.3500,3.483,,0.0000
4.201,3.5252,-0.9157,0,0.0,false,1,19.3263,Free Play,0,0.3500,,Off,0.0000
4.302,3.4447,-0.7003,0,0.0,true,1,19.4181,Free Play,0,0.3500,,Off,0.0000
4.403,3.3832,-0.5208,0,0.0,true,1,19.4707,Free Play,0,0.3500,,Off,0.0000
4.519,3.3328,-0.3499,0,0.0,true,1,19.5024,Free Play,0,0.3500,,Off,0.0000
4.619,3.3042,-0.2251,0,0.0,true,1,19.5160,Free Play,0,0.3500,,Off,0.0000
4.735,3.2857,-0.0974,0,0.0,true,1,19.5231,Free Play,0,0.3500,,Off,0.0000
4.836,3.2811,0.0063,0,0.0,true,1,19.5247,Free Play,0,0.3500,,Off,0.0000
4.936,3.2868,0.1072,0,0.0,true,1,19.5225,Free Play,0,0.3500,,Off,0.0000
5.051,3.3061,0.2284,0,0.0,true,1,19.5136,Free Play,0,0.3500,,Off,0.0000
5.152,3.3346,0.3429,0,0.0,true,1,19.4966,Free Play,0,0.3500,,Off,0.0000
5.253,3.3756,0.4727,0,0.0,true,1,19.4644,Free Play,0,0.3500,,Off,0.0000
5.284,0.0,0.0,1,0.46,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.369,3.3938,0.1820,0,0.0,true,1,19.3261,Free Play,0,0.3500,,Off,0.0000
5.469,3.4199,0.3394,0,0.0,true,1,19.3001,Free Play,0,0.3500,,Off,0.0000
5.589,3.4723,0.5441,0,0.0,true,1,19.2364,Free Play,0,0.3500,,Off,0.0000
5.651,0.0,0.0,1,0.49,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.703,3.5146,0.2760,0,0.0,false,1,18.9835,Free Play,0,0.3500,,Off,0.0000
5.807,3.5551,0.5006,0,0.0,false,1,18.9185,Free Play,0,0.3500,,Off,0.0000
5.868,0.0,0.0,1,0.91,false,1,,Free Play,0,0.3500,0.165,,0.0000
5.918,3.5639,-0.1509,0,0.0,false,1,18.7697,Free Play,0,0.3500,,Off,0.0000
6.018,3.5606,0.0849,0,0.0,false,1,18.7749,Free Play,0,0.3500,,Off,0.0000
6.051,0.0,0.0,1,0.91,false,1,,Free Play,0,0.3500,0.348,,0.0000
6.120,3.5048,-0.5837,0,0.0,false,1,19.1502,Free Play,0,0.3500,,Off,0.0000
6.236,3.4510,-0.3448,0,0.0,true,1,19.2135,Free Play,0,0.3500,,Off,0.0000
6.318,0.0,0.0,1,0.88,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.336,3.3955,-1.0344,0,0.0,true,1,19.8404,Free Play,0,0.3500,,Off,0.0000
