timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
1.542,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
1.942,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
2.142,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
2.625,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
2.892,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
3.626,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
4.126,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
5.660,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
6.059,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
6.526,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
7.760,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
8.210,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
8.476,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
9.126,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
9.693,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
10.544,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
11.577,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
12.027,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
12.360,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
