timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.935,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.350,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.250,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.917,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.634,3.1091,0.4822,0,0.0,true,1,19.7311,Free Play,0,0.3500,,Off,0.0000
4.734,3.1581,0.4998,0,0.0,true,1,19.7435,Free Play,0,0.3500,,Off,0.0000
4.834,3.2100,0.5419,0,0.0,true,1,19.7439,Free Play,0,0.3500,,Off,0.0000
4.934,3.2674,0.6101,0,0.0,true,1,19.7286,Free Play,0,0.3500,,Off,0.0000
5.034,3.3331,0.7073,0,0.0,true,1,19.6907,Free Play,0,0.3500,,Off,0.0000
5.151,3.4240,0.8616,0,0.0,true,1,19.6025,Free Play,0,0.3500,,Off,0.0000
5.168,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.268,3.1864,-1.9603,0,0.0,true,1,21.5315,Free Play,0,0.3500,,Off,0.0000
5.368,2.9932,-1.9163,0,0.0,true,1,21.3483,Free Play,0,0.3500,,Off,0.0000
5.468,2.7997,-1.9673,0,0.0,true,1,20.9875,Free Play,0,0.3500,,Off,0.0000
5.573,2.5869,-2.1180,0,0.0,false,1,20.3918,Free Play,0,0.3500,,Off,0.0000
5.617,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.044,,0.0000
5.684,2.5842,0.6077,0,0.0,false,1,18.3198,Free Play,0,0.3500,,Off,0.0000
5.801,2.6392,0.3387,0,0.0,false,1,18.4652,Free Play,0,0.3500,,Off,0.0000
5.918,2.6644,0.0970,0,0.0,false,1,18.5288,Free Play,0,0.3500,,Off,0.0000
6.018,2.6642,-0.1010,0,0.0,false,1,18.5281,Free Play,0,0.3500,,Off,0.0000
6.134,2.6389,-0.3334,0,0.0,false,1,18.4618,Free Play,0,0.3500,,Off,0.0000
6.202,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.628,,0.0000
6.234,2.7435,2.4432,0,0.0,false,1,21.8374,Free Play,0,0.3500,,Off,0.0000
6.351,3.0168,2.2757,0,0.0,true,1,22.1332,Free Play,0,0.3500,,Off,0.0000
6.451,3.2425,2.2561,0,0.0,true,1,22.1152,Free Play,0,0.3500,,Off,0.0000
6.551,3.4719,2.3482,0,0.0,true,1,21.8467,Free Play,0,0.3500,,Off,0.0000
6.668,3.7586,2.5919,0,0.0,false,1,21.1701,Free Play,0,0.3500,,Off,0.0000
6.774,4.0482,2.9290,0,0.0,false,1,20.1465,Free Play,0,0.3500,,Off,0.0000
6.834,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.167,,0.0000
6.884,4.2009,0.4094,0,0.0,false,1,14.6957,Free Play,0,0.3500,,Off,0.0000
6.985,4.2653,0.8752,0,0.0,false,1,14.4339,Free Play,0,0.3500,,Off,0.0000
7.100,4.3979,1.4231,0,0.0,false,1,13.8570,Free Play,0,0.3500,,Off,0.0000
7.201,4.5662,1.9152,0,0.0,false,1,13.0734,Free Play,0,0.3500,,Off,0.0000
