timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.0001,-0.0382,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.218,2.9943,-0.0776,0,0.0,true,1,19.5167,Free Play,0,0.3500,,Off,0.0000
0.335,2.9824,-0.1274,0,0.0,true,1,19.5040,Free Play,0,0.3500,,Off,0.0000
0.450,2.9644,-0.1841,0,0.0,true,1,19.4834,Free Play,0,0.3500,,Off,0.0000
0.551,2.9430,-0.2424,0,0.0,true,1,19.4565,Free Play,0,0.3500,,Off,0.0000
0.652,2.9153,-0.3108,0,0.0,true,1,19.4183,Free Play,0,0.3500,,Off,0.0000
0.768,2.8736,-0.4081,0,0.0,true,1,19.3532,Free Play,0,0.3500,,Off,0.0000
0.885,2.8191,-0.5299,0,0.0,true,1,19.2548,Free Play,0,0.3500,,Off,0.0000
1.001,2.7488,-0.6827,0,0.0,false,1,19.1059,Free Play,0,0.3500,,Off,0.0000
1.118,2.6583,-0.8748,0,0.0,false,1,18.8793,Free Play,0,0.3500,,Off,0.0000
1.221,2.5576,-1.0843,0,0.0,false,1,18.5820,Free Play,0,0.3500,,Off,0.0000
1.283,0.0,0.0,-1,1.07,false,1,,Free Play,0,0.3500,0.282,,0.0000
1.335,2.4903,-0.2998,0,0.0,false,1,17.6570,Free Play,0,0.3500,,Off,0.0000
1.435,2.4467,-0.5720,0,0.0,false,1,17.5090,Free Play,0,0.3500,,Off,0.0000
1.550,0.0,0.0,-1,1.79,false,1,,Free Play,0,0.3500,0.549,,0.0000
1.554,2.3924,0.8677,0,0.0,false,1,17.3697,Free Play,0,0.3500,,Off,0.0000
1.668,2.4712,0.5154,0,0.0,false,1,17.6295,Free Play,0,0.3500,,Off,0.0000
1.767,0.0,0.0,-1,2.03,false,1,,Free Play,0,0.3500,0.765,,0.0000
1.769,2.5434,2.2616,0,0.0,false,1,20.4737,Free Play,0,0.3500,,Off,0.0000
1.885,2.7889,1.9845,0,0.0,false,1,20.9852,Free Play,0,0.3500,,Off,0.0000
1.985,2.9801,1.8510,0,0.0,true,1,21.2054,Free Play,0,0.3500,,Off,0.0000
2.102,3.1923,1.8131,0,0.0,true,1,21.2511,Free Play,0,0.3500,,Off,0.0000
2.221,3.4126,1.9015,0,0.0,true,1,21.0697,Free Play,0,0.3500,,Off,0.0000
2.335,3.6403,2.1050,0,0.0,false,1,20.6408,Free Play,0,0.3500,,Off,0.0000
2.451,3.9016,2.4283,0,0.0,false,1,19.8687,Free Play,0,0.3500,,Off,0.0000
2.483,0.0,0.0,1,1.19,false,1,,Free Play,0,0.3500,0.148,,0.0000
2.552,4.0661,1.6168,0,0.0,false,1,17.0252,Free Play,0,0.3500,,Off,0.0000
2.652,4.2489,2.0382,0,0.0,false,1,16.2732,Free Play,0,0.3500,,Off,0.0000
2.667,0.0,0.0,1,1.52,false,1,,Free Play,0,0.3500,0.332,,0.0000
2.755,4.3272,1.0060,0,0.0,false,1,14.0023,Free Play,0,0.3500,,Off,0.0000
2.850,0.0,0.0,1,1.74,false,1,,Free Play,0,0.3500,0.515,,0.0000
2.869,4.4182,-0.1672,0,0.0,false,1,12.6687,Free Play,0,0.3500,,Off,0.0000
2.972,4.4281,0.3588,0,0.0,false,1,12.6258,Free Play,0,0.3500,,Off,0.0000
3.067,0.0,0.0,1,1.98,false,1,,Free Play,0,0.3500,0.732,,0.0000
3.085,4.4357,-1.0390,0,0.0,false,1,13.0296,Free Play,0,0.3500,,Off,0.0000
3.185,4.3580,-0.5117,0,0.0,false,1,13.3451,Free Play,0,0.3500,,Off,0.0000
3.217,0.0,0.0,1,1.90,false,1,,Free Play,0,0.3500,0.882,,0.0000
3.302,4.1437,-1.8103,0,0.0,false,1,16.7314,Free Play,0,0.3500,,Off,0.0000
3.402,3.9860,-1.3476,0,0.0,false,1,17.2336,Free Play,0,0.3500,,Off,0.0000
3.502,3.8720,-0.9391,0,0.0,false,1,17.5586,Free Play,0,0.3500,,Off,0.0000
3.602,3.7966,-0.5733,0,0.0,false,1,17.7542,Free Play,0,0.3500,,Off,0.0000
3.719,3.7527,-0.1839,0,0.0,false,1,17.8613,Free Play,0,0.3500,,Off,0.0000
3.835,3.7529,0.1856,0,0.0,false,1,17.8606,Free Play,0,0.3500,,Off,0.0000
3.851,0.0,0.0,1,1.68,false,1,,Free Play,0,0.3500,1.516,,0.0000
3.935,3.6202,-1.1736,0,0.0,false,1,19.2064,Free Play,0,0.3500,,Off,0.0000
4.035,3.5161,-0.9151,0,0.0,false,1,19.3586,Free Play,0,0.3500,,Off,0.0000
4.135,3.4354,-0.7039,0,0.0,true,1,19.4473,Free Play,0,0.3500,,Off,0.0000
4.252,3.3654,-0.5050,0,0.0,true,1,19.5029,Free Play,0,0.3500,,Off,0.0000
4.369,3.3162,-0.3439,0,0.0,true,1,19.5300,Free Play,0,0.3500,,Off,0.0000
4.469,3.2877,-0.2272,0,0.0,true,1,19.5413,Free Play,0,0.3500,,Off,0.0000
4.585,3.2683,-0.1080,0,0.0,true,1,19.5472,Free Play,0,0.3500,,Off,0.0000
4.703,3.2621,0.0018,0,0.0,true,1,19.5488,Free Play,0,0.3500,,Off,0.0000
4.819,3.2686,0.1086,0,0.0,true,1,19.5469,Free Play,0,0.3500,,Off,0.0000
4.936,3.2876,0.2199,0,0.0,true,1,19.5398,Free Play,0,0.3500,,Off,0.0000
5.055,3.3212,0.3468,0,0.0,true,1,19.5222,Free Play,0,0.3500,,Off,0.0000
5.084,0.0,0.0,1,0.86,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.169,3.2827,-0.3760,0,0.0,true,1,19.5931,Free Play,0,0.3500,,Off,0.0000
5.269,3.2502,-0.2759,0,0.0,true,1,19.6003,Free Play,0,0.3500,,Off,0.0000
5.385,3.2239,-0.1791,0,0.0,true,1,19.6028,Free Play,0,0.3500,,Off,0.0000
5.486,3.2096,-0.1074,0,0.0,true,1,19.6031,Free Play,0,0.3500,,Off,0.0000
5.586,3.2021,-0.0426,0,0.0,true,2,19.6029,Free Play,0,0.3500,,Off,0.0000
5.702,3.2014,0.0289,0,0.0,true,2,19.6029,Free Play,0,0.3500,,Off,0.0000
5.802,3.2073,0.0903,0,0.0,true,2,19.6029,Free Play,0,0.3500,,Off,0.0000
5.919,3.2222,0.1663,0,0.0,true,2,19.6020,Free Play,0,0.3500,,Off,0.0000
6.036,3.2466,0.2522,0,0.0,true,2,19.5977,Free Play,0,0.3500,,Off,0.0000
6.152,3.2815,0.3520,0,0.0,true,2,19.5861,Free Play,0,0.3500,,Off,0.0000
6.252,3.3217,0.4547,0,0.0,true,2,19.5647,Free Play,0,0.3500,,Off,0.0000
6.317,0.0,0.0,1,0.65,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.369,3.3398,-0.0468,0,0.0,true,2,19.4291,Free Play,0,0.3500,,Off,0.0000
6.469,3.3416,0.0829,0,0.0,true,2,19.4279,Free Play,0,0.3500,,Off,0.0000
6.586,3.3601,0.2364,0,0.0,true,2,19.4146,Free Play,0,0.3500,,Off,0.0000
6.706,3.3988,0.4078,0,0.0,true,2,19.3804,Free Play,0,0.3500,,Off,0.0000
6.767,0.0,0.0,1,0.69,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.819,3.4091,-0.0942,0,0.0,true,2,19.2756,Free Play,0,0.3500,,Off,0.0000
6.936,3.4092,0.0952,0,0.0,true,2,19.2754,Free Play,0,0.3500,,Off,0.0000
7.052,3.4314,0.2869,0,0.0,true,2,19.2522,Free Play,0,0.3500,,Off,0.0000
7.152,3.4687,0.4623,0,0.0,true,3,19.2066,Free Play,0,0.3500,,Off,0.0000
7.187,0.0,0.0,1,0.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
7.253,3.4601,-0.1155,0,0.0,true,3,19.1331,Free Play,0,0.3500,,Off,0.0000
7.370,3.4594,0.1019,0,0.0,true,3,19.1339,Free Play,0,0.3500,,Off,0.0000
7.486,3.4840,0.3215,0,0.0,true,3,19.1022,Free Play,0,0.3500,,Off,0.0000
7.586,3.5260,0.5217,0,0.0,false,3,19.0401,Free Play,0,0.3500,,Off,0.0000
7.601,0.0,0.0,1,0.81,false,3,,Free Play,0,0.3500,0.015,,0.0000
7.686,3.5081,-0.0708,0,0.0,false,3,18.9710,Free Play,0,0.3500,,Off,0.0000
7.802,3.5141,0.1739,0,0.0,false,3,18.9623,Free Play,0,0.3500,,Off,0.0000
7.834,0.0,0.0,1,0.99,false,3,,Free Play,0,0.3500,0.249,,0.0000
7.903,3.4594,-0.6062,0,0.0,true,3,19.3124,Free Play,0,0.3500,,Off,0.0000
8.018,0.0,0.0,1,1.09,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.020,3.3817,-1.4744,0,0.0,true,3,20.4256,Free Play,0,0.3500,,Off,0.0000
8.136,3.2215,-1.3150,0,0.0,true,3,20.4533,Free Play,0,0.3500,,Off,0.0000
8.236,3.0937,-1.2502,0,0.0,true,3,20.3903,Free Play,0,0.3500,,Off,0.0000
8.337,2.9679,-1.2492,0,0.0,true,3,20.2527,Free Play,0,0.3500,,Off,0.0000
8.439,2.8381,-1.3114,0,0.0,true,3,20.0315,Free Play,0,0.3500,,Off,0.0000
8.518,0.0,0.0,-1,0.52,false,3,,Free Play,0,0.3500,0.000,,0.0000
