timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.135,2.9994,-0.0445,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Off,0.0000
0.252,2.9915,-0.0912,0,0.0,true,1,19.5138,Free Play,0,0.3500,,Off,0.0000
0.368,2.9779,-0.1426,0,0.0,true,1,19.4991,Free Play,0,0.3500,,Off,0.0000
0.485,2.9579,-0.2026,0,0.0,true,1,19.4755,Free Play,0,0.3500,,Off,0.0000
0.585,2.9346,-0.2635,0,0.0,true,1,19.4454,Free Play,0,0.3500,,Off,0.0000
0.685,2.9047,-0.3361,0,0.0,true,1,19.4026,Free Play,0,0.3500,,Off,0.0000
0.768,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.802,3.0087,2.5488,0,0.0,true,1,22.7816,Free Play,0,0.3500,,Off,0.0000
0.902,3.2615,2.5265,0,0.0,true,1,22.7412,Free Play,0,0.3500,,Off,0.0000
1.002,3.5182,2.6288,0,0.0,false,1,22.3877,Free Play,0,0.3500,,Off,0.0000
1.124,3.8533,2.9123,0,0.0,false,1,21.4795,Free Play,0,0.3500,,Off,0.0000
1.185,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.183,,0.0000
1.234,4.0009,0.3254,0,0.0,false,1,16.2686,Free Play,0,0.3500,,Off,0.0000
1.335,4.0542,0.7362,0,0.0,false,1,16.0816,Free Play,0,0.3500,,Off,0.0000
1.368,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.366,,0.0000
1.435,3.8996,-1.8232,0,0.0,false,1,18.5960,Free Play,0,0.3500,,Off,0.0000
1.535,3.7364,-1.4461,0,0.0,false,1,18.9809,Free Play,0,0.3500,,Off,0.0000
1.652,3.5894,-1.0916,0,0.0,false,1,19.2484,Free Play,0,0.3500,,Off,0.0000
1.752,3.4928,-0.8467,0,0.0,false,1,19.3797,Free Play,0,0.3500,,Off,0.0000
1.853,3.4181,-0.6458,0,0.0,true,1,19.4558,Free Play,0,0.3500,,Off,0.0000
1.969,3.3546,-0.4569,0,0.0,true,1,19.5028,Free Play,0,0.3500,,Off,0.0000
2.085,3.3106,-0.3014,0,0.0,true,1,19.5257,Free Play,0,0.3500,,Off,0.0000
2.186,3.2862,-0.1873,0,0.0,true,1,19.5351,Free Play,0,0.3500,,Off,0.0000
2.302,3.2714,-0.0684,0,0.0,true,1,19.5398,Free Play,0,0.3500,,Off,0.0000
2.419,3.2700,0.0430,0,0.0,true,1,19.5402,Free Play,0,0.3500,,Off,0.0000
2.519,3.2790,0.1385,0,0.0,true,1,19.5371,Free Play,0,0.3500,,Off,0.0000
2.619,3.2980,0.2396,0,0.0,true,1,19.5290,Free Play,0,0.3500,,Off,0.0000
