timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.827,0.0,0.0,-1,1.66,false,1,,Spatial,0,0.3500,0.000,,0.0000
1.211,0.0,0.0,1,1.66,false,1,,Spatial,0,0.3500,0.000,,0.0000
1.477,0.0,0.0,1,1.66,false,1,,Spatial,0,0.3500,0.000,,0.0000
1.927,0.0,0.0,1,1.66,false,1,,Spatial,0,0.3500,0.000,,0.0000
2.561,0.0,0.0,1,1.66,false,1,,Spatial,0,0.3500,0.000,,0.0000
3.028,0.0,0.0,-1,1.66,false,1,,Spatial,0,0.3500,0.000,,0.0000
3.695,0.0,0.0,-1,1.66,false,1,,Spatial,0,0.3500,0.000,,0.0000
4.078,0.0,0.0,1,1.66,false,1,,Spatial,0,0.3500,0.000,,0.0000
4.528,0.0,0.0,1,1.66,false,2,,Spatial,0,0.3500,0.000,,0.0000
5.011,0.0,0.0,-1,1.66,false,2,,Spatial,0,0.3500,0.000,,0.0000
6.461,0.0,0.0,1,1.66,false,3,,Spatial,0,0.3500,0.000,,0.0000
6.611,2.8937,-0.8234,0,0.0,true,3,19.6593,Spatial,0,0.3500,,Off,0.0000
6.711,0.0,0.0,-1,1.66,false,3,,Spatial,0,0.3500,0.000,,0.0000
6.713,2.8780,1.4484,0,0.0,true,3,20.3302,Spatial,0,0.3500,,Off,0.0000
6.827,3.1062,2.4326,0,0.0,true,3,22.5726,Spatial,0,0.3500,,Off,0.0000
6.944,3.4773,3.8084,0,0.0,false,3,26.3246,Spatial,0,0.3500,,Off,0.0000
7.050,3.9677,5.3446,0,0.0,false,3,30.7408,Spatial,0,0.3500,,Off,0.0000
7.161,4.7013,7.4641,0,0.0,false,3,37.7748,Spatial,0,0.3500,,Off,0.0000
