timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.132,2.9994,-0.0443,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Off,0.0000
0.233,2.9930,-0.0841,0,0.0,true,1,19.5154,Free Play,0,0.3500,,Off,0.0000
0.349,2.9803,-0.1347,0,0.0,true,1,19.5017,Free Play,0,0.3500,,Off,0.0000
0.466,2.9613,-0.1932,0,0.0,true,1,19.4796,Free Play,0,0.3500,,Off,0.0000
0.566,2.9390,-0.2524,0,0.0,true,1,19.4513,Free Play,0,0.3500,,Off,0.0000
0.666,2.9103,-0.3229,0,0.0,true,1,19.4109,Free Play,0,0.3500,,Off,0.0000
0.766,2.8739,-0.4074,0,0.0,true,1,19.3537,Free Play,0,0.3500,,Off,0.0000
0.883,2.8196,-0.5288,0,0.0,true,1,19.2557,Free Play,0,0.3500,,Off,0.0000
0.999,2.7494,-0.6814,0,0.0,false,1,19.1073,Free Play,0,0.3500,,Off,0.0000
1.116,2.6591,-0.8731,0,0.0,false,1,18.8814,Free Play,0,0.3500,,Off,0.0000
1.233,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.233,,0.0000
1.235,2.5994,1.8724,0,0.0,false,1,19.9657,Free Play,0,0.3500,,Off,0.0000
1.350,2.7982,1.6248,0,0.0,true,1,20.3674,Free Play,0,0.3500,,Off,0.0000
1.466,2.9782,1.4801,0,0.0,true,1,20.5848,Free Play,0,0.3500,,Off,0.0000
1.566,3.1238,1.4373,0,0.0,true,1,20.6514,Free Play,0,0.3500,,Off,0.0000
1.683,3.2927,1.4787,0,0.0,true,1,20.6016,Free Play,0,0.3500,,Off,0.0000
1.799,3.4723,1.6178,0,0.0,true,1,20.3970,Free Play,0,0.3500,,Off,0.0000
1.899,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.901,3.5916,-1.1708,0,0.0,false,1,19.3289,Free Play,0,0.3500,,Off,0.0000
2.016,3.4736,-0.8932,0,0.0,true,1,19.4832,Free Play,0,0.3500,,Off,0.0000
2.116,3.3939,-0.7019,0,0.0,true,1,19.5557,Free Play,0,0.3500,,Off,0.0000
2.233,3.3229,-0.5268,0,0.0,true,1,19.5980,Free Play,0,0.3500,,Off,0.0000
2.349,3.2697,-0.3904,0,0.0,true,1,19.6158,Free Play,0,0.3500,,Off,0.0000
2.450,3.2354,-0.2969,0,0.0,true,1,19.6209,Free Play,0,0.3500,,Off,0.0000
2.566,3.2061,-0.2087,0,0.0,true,1,19.6213,Free Play,0,0.3500,,Off,0.0000
2.683,3.1861,-0.1367,0,0.0,true,1,19.6196,Free Play,0,0.3500,,Off,0.0000
2.783,3.1751,-0.0836,0,0.0,true,1,19.6180,Free Play,0,0.3500,,Off,0.0000
2.900,3.1687,-0.0283,0,0.0,true,1,19.6168,Free Play,0,0.3500,,Off,0.0000
