timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,3.0535,-0.0140,0,0.0,true,1,19.5821,Spatial,0,0.3500,,Off,0.0000
0.251,3.0510,-0.0289,0,0.0,true,1,19.5802,Spatial,0,0.3500,,Off,0.0000
0.367,3.0467,-0.0453,0,0.0,true,1,19.5769,Spatial,0,0.3500,,Off,0.0000
0.485,3.0403,-0.0645,0,0.0,true,1,19.5718,Spatial,0,0.3500,,Off,0.0000
0.601,3.0315,-0.0876,0,0.0,true,1,19.5644,Spatial,0,0.3500,,Off,0.0000
0.717,3.0197,-0.1159,0,0.0,true,1,19.5540,Spatial,0,0.3500,,Off,0.0000
0.817,3.0067,-0.1458,0,0.0,true,1,19.5415,Spatial,0,0.3500,,Off,0.0000
0.917,2.9903,-0.1824,0,0.0,true,1,19.5246,Spatial,0,0.3500,,Off,0.0000
1.018,2.9698,-0.2274,0,0.0,true,1,19.5015,Spatial,0,0.3500,,Off,0.0000
1.134,2.9397,-0.2926,0,0.0,true,1,19.4636,Spatial,0,0.3500,,Off,0.0000
1.234,2.9071,-0.3628,0,0.0,true,1,19.4173,Spatial,0,0.3500,,Off,0.0000
1.318,0.0,0.0,-1,3.00,false,1,,Spatial,0,0.3500,0.000,,0.0000
1.334,2.9661,2.5391,0,0.0,true,1,22.6928,Spatial,0,0.3500,,Off,0.0000
1.451,3.2590,2.5005,0,0.0,true,1,22.6788,Spatial,0,0.3500,,Off,0.0000
1.567,3.5558,2.6294,0,0.0,false,1,22.2475,Spatial,0,0.3500,,Off,0.0000
1.684,3.8788,2.9180,0,0.0,false,1,21.3300,Spatial,0,0.3500,,Off,0.0000
1.702,0.0,0.0,1,3.00,false,1,,Spatial,0,0.3500,0.135,,0.0000
1.801,3.8943,0.3464,0,0.0,false,1,17.0298,Spatial,0,0.3500,,Off,0.0000
1.917,3.9597,0.7806,0,0.0,false,1,16.8210,Spatial,0,0.3500,,Off,0.0000
1.936,0.0,0.0,1,3.00,false,1,,Spatial,0,0.3500,0.368,,0.0000
2.018,3.7578,-1.8187,0,0.0,false,1,19.4693,Spatial,0,0.3500,,Off,0.0000
2.118,3.5924,-1.5006,0,0.0,false,1,19.7658,Spatial,0,0.3500,,Off,0.0000
2.235,3.4343,-1.2215,0,0.0,true,1,19.9487,Spatial,0,0.3500,,Off,0.0000
2.351,3.3043,-1.0288,0,0.0,true,1,20.0196,Spatial,0,0.3500,,Off,0.0000
2.451,3.2071,-0.9213,0,0.0,true,1,20.0234,Spatial,0,0.3500,,Off,0.0000
2.551,3.1183,-0.8618,0,0.0,true,1,19.9887,Spatial,0,0.3500,,Off,0.0000
2.668,3.0190,-0.8479,0,0.0,true,1,19.9059,Spatial,0,0.3500,,Off,0.0000
2.768,2.9328,-0.8817,0,0.0,true,1,19.7956,Spatial,0,0.3500,,Off,0.0000
2.884,2.8253,-0.9743,0,0.0,true,1,19.6081,Spatial,0,0.3500,,Off,0.0000
2.919,0.0,0.0,-1,3.00,false,1,,Spatial,0,0.3500,0.000,,0.0000
2.984,2.9707,1.8978,0,0.0,true,1,21.2779,Spatial,0,0.3500,,Off,0.0000
3.085,3.1582,1.8533,0,0.0,true,1,21.3361,Spatial,0,0.3500,,Off,0.0000
3.201,3.3763,1.9187,0,0.0,true,1,21.1917,Spatial,0,0.3500,,Off,0.0000
3.301,3.5756,2.0741,0,0.0,false,1,20.8615,Spatial,0,0.3500,,Off,0.0000
3.336,0.0,0.0,1,3.00,false,1,,Spatial,0,0.3500,0.035,,0.0000
3.418,3.5335,-0.6370,0,0.0,false,1,19.0789,Spatial,0,0.3500,,Off,0.0000
3.518,3.4810,-0.4167,0,0.0,true,1,19.1470,Spatial,0,0.3500,,Off,0.0000
3.618,3.4493,-0.2197,0,0.0,true,1,19.1835,Spatial,0,0.3500,,Off,0.0000
