timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.114,3.0000,-0.0391,0,0.0,true,1,19.5225,Free Play,0,0.3500,,Off,0.0000
0.215,2.9941,-0.0785,0,0.0,true,1,19.5166,Free Play,0,0.3500,,Off,0.0000
0.315,2.9842,-0.1210,0,0.0,true,1,19.5060,Free Play,0,0.3500,,Off,0.0000
0.432,2.9668,-0.1772,0,0.0,true,1,19.4863,Free Play,0,0.3500,,Off,0.0000
0.548,2.9424,-0.2439,0,0.0,true,1,19.4557,Free Play,0,0.3500,,Off,0.0000
0.665,2.9093,-0.3252,0,0.0,true,1,19.4094,Free Play,0,0.3500,,Off,0.0000
0.681,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.781,3.2150,2.6045,0,0.0,true,1,22.9853,Free Play,0,0.3500,,Off,0.0000
0.898,3.5230,2.7099,0,0.0,false,1,22.5871,Free Play,0,0.3500,,Off,0.0000
0.998,3.8046,2.9337,0,0.0,false,1,21.8450,Free Play,0,0.3500,,Off,0.0000
1.098,4.1149,3.2682,0,0.0,false,1,20.6693,Free Play,0,0.3500,,Off,0.0000
1.131,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.233,,0.0000
1.217,4.2279,0.7973,0,0.0,false,1,14.6969,Free Play,0,0.3500,,Off,0.0000
1.331,4.3489,1.3299,0,0.0,false,1,14.1817,Free Play,0,0.3500,,Off,0.0000
1.413,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.515,,0.0000
1.432,4.4121,-1.1662,0,0.0,false,1,13.3922,Free Play,0,0.3500,,Off,0.0000
1.532,4.3218,-0.6438,0,0.0,false,1,13.7526,Free Play,0,0.3500,,Off,0.0000
1.632,4.2825,-0.1438,0,0.0,false,1,13.9087,Free Play,0,0.3500,,Off,0.0000
1.748,4.2989,0.4235,0,0.0,false,1,13.8413,Free Play,0,0.3500,,Off,0.0000
1.831,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.933,,0.0000
1.865,4.2323,-1.9866,0,0.0,false,1,16.3138,Free Play,0,0.3500,,Off,0.0000
1.982,4.0344,-1.4228,0,0.0,false,1,16.9756,Free Play,0,0.3500,,Off,0.0000
2.098,3.8979,-0.9321,0,0.0,false,1,17.3802,Free Play,0,0.3500,,Off,0.0000
2.198,3.8237,-0.5566,0,0.0,false,1,17.5799,Free Play,0,0.3500,,Off,0.0000
2.299,3.7855,-0.2092,0,0.0,false,1,17.6776,Free Play,0,0.3500,,Off,0.0000
2.414,3.7834,0.1720,0,0.0,false,1,17.6826,Free Play,0,0.3500,,Off,0.0000
2.515,3.8177,0.5062,0,0.0,false,1,17.5903,Free Play,0,0.3500,,Off,0.0000
2.615,3.8854,0.8501,0,0.0,false,1,17.3905,Free Play,0,0.3500,,Off,0.0000
2.648,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,1.751,,0.0000
2.732,3.7106,-1.7142,0,0.0,false,1,19.5433,Free Play,0,0.3500,,Off,0.0000
2.849,3.5313,-1.3739,0,0.0,false,1,19.8282,Free Play,0,0.3500,,Off,0.0000
2.965,3.3860,-1.1272,0,0.0,true,1,19.9637,Free Play,0,0.3500,,Off,0.0000
3.082,3.2652,-0.9609,0,0.0,true,1,20.0067,Free Play,0,0.3500,,Off,0.0000
3.198,3.1599,-0.8626,0,0.0,true,1,19.9904,Free Play,0,0.3500,,Off,0.0000
3.298,3.0755,-0.8264,0,0.0,true,1,19.9400,Free Play,0,0.3500,,Off,0.0000
3.399,2.9928,-0.8321,0,0.0,true,1,19.8578,Free Play,0,0.3500,,Off,0.0000
3.517,2.8919,-0.8912,0,0.0,true,1,19.7128,Free Play,0,0.3500,,Off,0.0000
3.620,2.7954,-0.9905,0,0.0,true,1,19.5283,Free Play,0,0.3500,,Off,0.0000
3.665,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.731,2.9227,1.8470,0,0.0,true,1,21.0917,Free Play,0,0.3500,,Off,0.0000
3.832,3.1048,1.7783,0,0.0,true,1,21.1945,Free Play,0,0.3500,,Off,0.0000
3.932,3.2832,1.8002,0,0.0,true,1,21.1421,Free Play,0,0.3500,,Off,0.0000
4.032,3.4682,1.9102,0,0.0,true,1,20.9260,Free Play,0,0.3500,,Off,0.0000
4.149,3.7040,2.1493,0,0.0,false,1,20.4191,Free Play,0,0.3500,,Off,0.0000
4.165,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.016,,0.0000
4.249,3.6339,-0.5537,0,0.0,false,1,18.6082,Free Play,0,0.3500,,Off,0.0000
4.349,3.5920,-0.2872,0,0.0,false,1,18.6828,Free Play,0,0.3500,,Off,0.0000
4.465,3.5755,0.0003,0,0.0,false,1,18.7109,Free Play,0,0.3500,,Off,0.0000
4.565,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.416,,0.0000
4.567,3.5333,-2.7452,0,0.0,false,1,22.6450,Free Play,0,0.3500,,Off,0.0000
4.682,3.2330,-2.5132,0,0.0,true,1,22.7373,Free Play,0,0.3500,,Off,0.0000
4.799,2.9442,-2.4500,0,0.0,true,1,22.4308,Free Play,0,0.3500,,Off,0.0000
4.916,2.6547,-2.5499,0,0.0,false,1,21.7309,Free Play,0,0.3500,,Off,0.0000
5.032,2.3436,-2.7993,0,0.0,false,1,20.5768,Free Play,0,0.3500,,Off,0.0000
5.048,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.133,,0.0000
5.149,2.3446,-0.1813,0,0.0,false,1,16.6826,Free Play,0,0.3500,,Off,0.0000
5.265,2.3022,-0.5572,0,0.0,false,1,16.5172,Free Play,0,0.3500,,Off,0.0000
5.366,2.2286,-0.8997,0,0.0,false,1,16.2127,Free Play,0,0.3500,,Off,0.0000
5.382,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.467,,0.0000
5.482,2.4476,1.6749,0,0.0,false,1,18.7538,Free Play,0,0.3500,,Off,0.0000
5.583,2.6005,1.3861,0,0.0,false,1,19.1794,Free Play,0,0.3500,,Off,0.0000
5.699,2.7465,1.1317,0,0.0,false,1,19.5045,Free Play,0,0.3500,,Off,0.0000
5.816,2.8677,0.9530,0,0.0,true,1,19.7084,Free Play,0,0.3500,,Off,0.0000
5.932,2.9714,0.8413,0,0.0,true,1,19.8321,Free Play,0,0.3500,,Off,0.0000
6.049,3.0659,0.7877,0,0.0,true,1,19.9022,Free Play,0,0.3500,,Off,0.0000
6.165,3.1572,0.7886,0,0.0,true,1,19.9297,Free Play,0,0.3500,,Off,0.0000
6.266,3.2380,0.8318,0,0.0,true,1,19.9203,Free Play,0,0.3500,,Off,0.0000
6.366,3.3252,0.9154,0,0.0,true,1,19.8741,Free Play,0,0.3500,,Off,0.0000
6.483,3.4411,1.0688,0,0.0,true,1,19.7545,Free Play,0,0.3500,,Off,0.0000
