timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.133,3.0535,-0.0140,0,0.0,true,1,19.5821,Timed,0,0.3500,,Off,0.0000
0.249,3.0510,-0.0289,0,0.0,true,1,19.5802,Timed,0,0.3500,,Off,0.0000
0.349,3.0475,-0.0428,0,0.0,true,1,19.5775,Timed,0,0.3500,,Off,0.0000
0.449,3.0424,-0.0587,0,0.0,true,1,19.5735,Timed,0,0.3500,,Off,0.0000
0.549,3.0356,-0.0771,0,0.0,true,1,19.5679,Timed,0,0.3500,,Off,0.0000
0.666,3.0252,-0.1030,0,0.0,true,1,19.5589,Timed,0,0.3500,,Off,0.0000
0.766,3.0136,-0.1302,0,0.0,true,1,19.5482,Timed,0,0.3500,,Off,0.0000
0.866,2.9989,-0.1633,0,0.0,true,1,19.5337,Timed,0,0.3500,,Off,0.0000
0.983,2.9772,-0.2113,0,0.0,true,1,19.5100,Timed,0,0.3500,,Off,0.0000
1.100,2.9491,-0.2723,0,0.0,true,1,19.4760,Timed,0,0.3500,,Off,0.0000
1.216,2.9130,-0.3500,0,0.0,true,1,19.4261,Timed,0,0.3500,,Off,0.0000
1.316,2.8740,-0.4334,0,0.0,true,1,19.3647,Timed,0,0.3500,,Off,0.0000
1.416,2.8257,-0.5359,0,0.0,true,1,19.2782,Timed,0,0.3500,,Off,0.0000
1.533,2.7546,-0.6857,0,0.0,false,1,19.1296,Timed,0,0.3500,,Off,0.0000
1.657,2.6585,-0.8861,0,0.0,false,1,18.8899,Timed,0,0.3500,,Off,0.0000
1.716,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.183,,0.0000
1.766,2.7484,1.8783,0,0.0,false,1,20.6354,Timed,0,0.3500,,Off,0.0000
1.866,2.9281,1.7248,0,0.0,true,1,20.8849,Timed,0,0.3500,,Off,0.0000
1.983,3.1240,1.6555,0,0.0,true,1,20.9888,Timed,0,0.3500,,Off,0.0000
2.083,3.2905,1.6864,0,0.0,true,1,20.9333,Timed,0,0.3500,,Off,0.0000
2.133,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
2.183,3.2639,-1.1929,0,0.0,true,1,20.2583,Timed,0,0.3500,,Off,0.0000
2.300,3.1314,-1.0978,0,0.0,true,1,20.2221,Timed,0,0.3500,,Off,0.0000
2.400,3.0230,-1.0770,0,0.0,true,1,20.1310,Timed,0,0.3500,,Off,0.0000
2.516,2.8957,-1.1203,0,0.0,true,1,19.9525,Timed,0,0.3500,,Off,0.0000
2.616,2.7790,-1.2154,0,0.0,false,1,19.7209,Timed,0,0.3500,,Off,0.0000
2.633,0.0,0.0,-1,3.00,false,1,,Timed,0,0.3500,0.016,,0.0000
2.733,2.9768,1.6308,0,0.0,true,1,20.8168,Timed,0,0.3500,,Off,0.0000
2.833,3.1374,1.5880,0,0.0,true,1,20.8808,Timed,0,0.3500,,Off,0.0000
2.950,3.3247,1.6390,0,0.0,true,1,20.7993,Timed,0,0.3500,,Off,0.0000
3.050,0.0,0.0,1,3.00,false,1,,Timed,0,0.3500,0.000,,0.0000
3.052,3.4422,-1.2199,0,0.0,true,1,19.9241,Timed,0,0.3500,,Off,0.0000
3.167,3.3140,-1.0246,0,0.0,true,1,19.9994,Timed,0,0.3500,,Off,0.0000
