timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,2.6843,-0.7044,0,0.0,false,1,18.8601,Free Play,0,0.3500,,Off,0.0000
0.234,2.5894,-0.9300,0,0.0,false,1,18.5947,Free Play,0,0.3500,,Off,0.0000
0.334,2.4851,-1.1616,0,0.0,false,1,18.2558,Free Play,0,0.3500,,Off,0.0000
0.367,0.0,0.0,-1,1.76,false,1,,Free Play,0,0.3500,0.250,,0.0000
0.434,2.5017,0.3198,0,0.0,false,1,17.7301,Free Play,0,0.3500,,Off,0.0000
0.534,2.5202,0.0523,0,0.0,false,1,17.7875,Free Play,0,0.3500,,Off,0.0000
0.651,2.5087,-0.2499,0,0.0,false,1,17.7511,Free Play,0,0.3500,,Off,0.0000
0.751,2.4704,-0.5151,0,0.0,false,1,17.6245,Free Play,0,0.3500,,Off,0.0000
0.801,0.0,0.0,-1,1.76,false,1,,Free Play,0,0.3500,0.684,,0.0000
0.851,2.5224,0.9578,0,0.0,false,1,18.2572,Free Play,0,0.3500,,Off,0.0000
0.968,2.6161,0.6610,0,0.0,false,1,18.5151,Free Play,0,0.3500,,Off,0.0000
1.084,2.6782,0.4093,0,0.0,false,1,18.6692,Free Play,0,0.3500,,Off,0.0000
1.184,2.7095,0.2179,0,0.0,false,1,18.7420,Free Play,0,0.3500,,Off,0.0000
1.301,2.7228,0.0122,0,0.0,false,1,18.7721,Free Play,0,0.3500,,Off,0.0000
1.318,0.0,0.0,-1,1.76,false,1,,Free Play,0,0.3500,1.200,,0.0000
1.401,2.8913,1.6062,0,0.0,true,1,20.6042,Free Play,0,0.3500,,Off,0.0000
1.501,3.0473,1.5209,0,0.0,true,1,20.7330,Free Play,0,0.3500,,Off,0.0000
1.623,3.2303,1.5207,0,0.0,true,1,20.7377,Free Play,0,0.3500,,Off,0.0000
1.735,0.0,0.0,1,1.76,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.737,3.3759,-0.1330,0,0.0,true,1,19.3607,Free Play,0,0.3500,,Off,0.0000
1.851,3.3704,0.0341,0,0.0,true,1,19.3650,Free Play,0,0.3500,,Off,0.0000
1.951,3.3810,0.1791,0,0.0,true,1,19.3562,Free Play,0,0.3500,,Off,0.0000
1.968,0.0,0.0,1,1.76,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.068,3.2068,-1.4219,0,0.0,true,1,20.6101,Free Play,0,0.3500,,Off,0.0000
2.184,3.0456,-1.3624,0,0.0,true,1,20.5028,Free Play,0,0.3500,,Off,0.0000
2.284,2.9087,-1.3854,0,0.0,true,1,20.3148,Free Play,0,0.3500,,Off,0.0000
2.351,0.0,0.0,-1,1.76,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.384,2.8536,0.2780,0,0.0,true,1,19.2548,Free Play,0,0.3500,,Off,0.0000
2.485,2.8759,0.1684,0,0.0,true,1,19.2899,Free Play,0,0.3500,,Off,0.0000
2.585,2.8877,0.0691,0,0.0,true,1,19.3080,Free Play,0,0.3500,,Off,0.0000
2.701,2.8894,-0.0400,0,0.0,true,1,19.3104,Free Play,0,0.3500,,Off,0.0000
2.818,2.8784,-0.1494,0,0.0,true,1,19.2933,Free Play,0,0.3500,,Off,0.0000
2.918,2.8585,-0.2490,0,0.0,true,2,19.2604,Free Play,0,0.3500,,Off,0.0000
2.967,0.0,0.0,-1,1.76,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.034,2.9678,1.3830,0,0.0,true,2,20.4287,Free Play,0,0.3500,,Off,0.0000
3.134,3.1033,1.3346,0,0.0,true,2,20.5034,Free Play,0,0.3500,,Off,0.0000
3.251,3.2599,1.3632,0,0.0,true,2,20.4805,Free Play,0,0.3500,,Off,0.0000
