timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.133,3.2213,0.1053,0,0.0,true,1,19.5944,Free Play,0,0.3500,,Tutorial,-1.0000
0.235,3.1850,0.1732,0,0.0,true,1,19.6258,Free Play,0,0.3500,,Tutorial,-1.0000
0.350,3.1428,-0.7695,0,0.0,true,1,19.9161,Free Play,0,0.3500,,Tutorial,1.0000
0.451,3.1175,-0.7365,0,0.0,true,1,19.8884,Free Play,0,0.3500,,Tutorial,1.0000
0.551,3.0937,-0.7161,0,0.0,true,1,19.8652,Free Play,0,0.3500,,Tutorial,1.0000
0.667,3.0771,0.2910,0,0.0,true,1,19.6419,Free Play,0,0.3500,,Tutorial,-1.0000
0.768,3.0558,0.2870,0,0.0,true,1,19.6251,Free Play,0,0.3500,,Tutorial,-1.0000
0.884,3.0217,-0.7294,0,0.0,true,1,19.8156,Free Play,0,0.3500,,Tutorial,1.0000
0.984,3.0019,-0.7103,0,0.0,true,1,19.7766,Free Play,0,0.3500,,Tutorial,1.0000
1.085,2.9967,-0.5338,0,0.0,true,1,19.6598,Free Play,0,0.3500,,Tutorial,1.0000
1.202,2.9980,0.4189,0,0.0,true,1,19.6068,Free Play,0,0.3500,,Tutorial,-1.0000
1.301,2.9881,0.3763,0,0.0,true,1,19.5754,Free Play,0,0.3500,,Tutorial,-1.0000
1.418,2.9656,-0.3965,0,0.0,true,1,19.5472,Free Play,0,0.3500,,Tutorial,1.0000
1.518,2.9731,-0.4502,0,0.0,true,1,19.5824,Free Play,0,0.3500,,Tutorial,1.0000
1.700,2.9666,-0.5104,0,0.0,true,2,19.6005,Free Play,0,0.3500,,Tutorial,1.0000
1.801,2.9615,-0.5647,0,0.0,true,2,19.6208,Free Play,0,0.3500,,Tutorial,1.0000
1.902,2.9512,-0.6212,0,0.0,true,2,19.6356,Free Play,0,0.3500,,Tutorial,1.0000
2.018,2.9510,0.4072,0,0.0,true,2,19.5252,Free Play,0,0.3500,,Tutorial,-1.0000
2.118,2.9437,0.4102,0,0.0,true,2,19.5126,Free Play,0,0.3500,,Tutorial,-1.0000
2.235,2.9312,-0.5416,0,0.0,true,2,19.5504,Free Play,0,0.3500,,Tutorial,1.0000
2.335,2.9255,-0.4716,0,0.0,true,2,19.5030,Free Play,0,0.3500,,Tutorial,1.0000
2.450,2.9377,0.4414,0,0.0,true,2,19.5142,Free Play,0,0.3500,,Tutorial,-1.0000
2.501,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
2.566,3.0075,0.3676,0,0.0,true,2,19.5994,Free Play,0,0.3500,,Tutorial,-1.0000
2.667,2.9919,0.3293,0,0.0,true,2,19.5646,Free Play,0,0.3500,,Tutorial,-1.0000
2.768,2.9831,0.4473,0,0.0,true,2,19.5971,Free Play,0,0.3500,,Tutorial,-1.0000
2.868,2.9755,0.3974,0,0.0,true,2,19.5639,Free Play,0,0.3500,,Tutorial,-1.0000
