timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.0000,-0.0384,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.234,2.9929,-0.0845,0,0.0,true,1,19.5153,Free Play,0,0.3500,,Off,0.0000
0.334,2.9823,-0.1276,0,0.0,true,1,19.5040,Free Play,0,0.3500,,Off,0.0000
0.451,2.9641,-0.1850,0,0.0,true,1,19.4830,Free Play,0,0.3500,,Off,0.0000
0.568,2.9388,-0.2531,0,0.0,true,1,19.4509,Free Play,0,0.3500,,Off,0.0000
0.668,2.9100,-0.3236,0,0.0,true,1,19.4104,Free Play,0,0.3500,,Off,0.0000
0.768,2.8734,-0.4085,0,0.0,true,1,19.3529,Free Play,0,0.3500,,Off,0.0000
0.884,2.8191,-0.5300,0,0.0,true,1,19.2547,Free Play,0,0.3500,,Off,0.0000
1.001,2.7484,-0.6834,0,0.0,false,1,19.1051,Free Play,0,0.3500,,Off,0.0000
1.016,0.0,0.0,-1,1.66,false,1,,Free Play,0,0.3500,0.015,,0.0000
1.118,2.8514,0.7973,0,0.0,true,1,19.5276,Free Play,0,0.3500,,Off,0.0000
1.218,2.9254,0.6889,0,0.0,true,1,19.6289,Free Play,0,0.3500,,Off,0.0000
1.334,3.0003,0.6075,0,0.0,true,1,19.7068,Free Play,0,0.3500,,Off,0.0000
1.435,3.0592,0.5713,0,0.0,true,1,19.7499,Free Play,0,0.3500,,Off,0.0000
1.535,3.1158,0.5644,0,0.0,true,1,19.7760,Free Play,0,0.3500,,Off,0.0000
1.651,3.1828,0.5919,0,0.0,true,1,19.7869,Free Play,0,0.3500,,Off,0.0000
1.766,0.0,0.0,1,1.51,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.768,3.2295,-0.8448,0,0.0,true,1,19.9389,Free Play,0,0.3500,,Off,0.0000
1.884,3.1366,-0.7661,0,0.0,true,1,19.9134,Free Play,0,0.3500,,Off,0.0000
1.985,3.0613,-0.7410,0,0.0,true,1,19.8630,Free Play,0,0.3500,,Off,0.0000
2.085,2.9867,-0.7534,0,0.0,true,1,19.7864,Free Play,0,0.3500,,Off,0.0000
2.201,2.8960,-0.8142,0,0.0,true,1,19.6572,Free Play,0,0.3500,,Off,0.0000
2.266,0.0,0.0,-1,0.49,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.302,2.8345,-0.4231,0,0.0,true,1,19.2507,Free Play,0,0.3500,,Off,0.0000
2.418,2.7771,-0.5666,0,0.0,false,1,19.1361,Free Play,0,0.3500,,Off,0.0000
2.534,2.7012,-0.7424,0,0.0,false,1,18.9595,Free Play,0,0.3500,,Off,0.0000
2.635,2.6179,-0.9262,0,0.0,false,1,18.7340,Free Play,0,0.3500,,Off,0.0000
2.754,2.4923,-1.1924,0,0.0,false,1,18.3346,Free Play,0,0.3500,,Off,0.0000
2.868,2.3387,-1.5046,0,0.0,false,1,17.7564,Free Play,0,0.3500,,Off,0.0000
2.985,2.1416,-1.8857,0,0.0,false,1,16.8884,Free Play,0,0.3500,,Off,0.0000
3.050,0.0,0.0,-1,1.82,false,1,,Free Play,0,0.3500,0.632,,0.0000
3.085,2.0252,-0.4527,0,0.0,false,1,14.2184,Free Play,0,0.3500,,Off,0.0000
3.205,1.9412,-0.9498,0,0.0,false,1,13.8120,Free Play,0,0.3500,,Off,0.0000
3.250,0.0,0.0,-1,1.94,false,1,,Free Play,0,0.3500,0.832,,0.0000
3.318,1.9673,0.4888,0,0.0,false,1,13.7181,Free Play,0,0.3500,,Off,0.0000
3.418,1.9943,0.0541,0,0.0,false,1,13.8433,Free Play,0,0.3500,,Off,0.0000
3.534,1.9719,-0.4390,0,0.0,false,1,13.7369,Free Play,0,0.3500,,Off,0.0000
3.550,0.0,0.0,-1,1.94,false,1,,Free Play,0,0.3500,1.132,,0.0000
3.635,2.0999,1.0507,0,0.0,false,1,15.3135,Free Play,0,0.3500,,Off,0.0000
3.751,2.1945,0.5790,0,0.0,false,1,15.7068,Free Play,0,0.3500,,Off,0.0000
3.783,0.0,0.0,-1,2.07,false,1,,Free Play,0,0.3500,1.365,,0.0000
3.852,2.4052,2.2614,0,0.0,false,1,19.6353,Free Play,0,0.3500,,Off,0.0000
3.952,2.6155,1.9564,0,0.0,false,1,20.2070,Free Play,0,0.3500,,Off,0.0000
4.068,2.8282,1.7143,0,0.0,true,1,20.6115,Free Play,0,0.3500,,Off,0.0000
4.168,2.9934,1.5986,0,0.0,true,1,20.7902,Free Play,0,0.3500,,Off,0.0000
4.268,3.1512,1.5640,0,0.0,true,1,20.8426,Free Play,0,0.3500,,Off,0.0000
4.388,3.3409,1.6256,0,0.0,true,1,20.7471,Free Play,0,0.3500,,Off,0.0000
4.450,0.0,0.0,1,1.03,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.502,3.4655,0.7636,0,0.0,true,1,19.4014,Free Play,0,0.3500,,Off,0.0000
4.618,3.5672,0.9919,0,0.0,false,1,19.2367,Free Play,0,0.3500,,Off,0.0000
4.700,0.0,0.0,1,1.86,false,1,,Free Play,0,0.3500,0.082,,0.0000
4.736,3.6057,-0.5777,0,0.0,false,1,18.7492,Free Play,0,0.3500,,Off,0.0000
4.852,3.5560,-0.2862,0,0.0,false,1,18.8306,Free Play,0,0.3500,,Off,0.0000
4.952,3.5391,-0.0545,0,0.0,false,1,18.8568,Free Play,0,0.3500,,Off,0.0000
5.052,3.5449,0.1704,0,0.0,false,1,18.8475,Free Play,0,0.3500,,Off,0.0000
5.169,3.5803,0.4376,0,0.0,false,1,18.7870,Free Play,0,0.3500,,Off,0.0000
5.184,0.0,0.0,1,1.82,false,1,,Free Play,0,0.3500,0.565,,0.0000
5.285,3.4364,-1.1056,0,0.0,true,1,19.8081,Free Play,0,0.3500,,Off,0.0000
5.402,3.3197,-0.9104,0,0.0,true,1,19.8792,Free Play,0,0.3500,,Off,0.0000
5.502,3.2346,-0.7946,0,0.0,true,1,19.8933,Free Play,0,0.3500,,Off,0.0000
5.607,3.1557,-0.7181,0,0.0,true,1,19.8769,Free Play,0,0.3500,,Off,0.0000
5.667,0.0,0.0,-1,1.09,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.719,3.1505,0.4080,0,0.0,true,1,19.7029,Free Play,0,0.3500,,Off,0.0000
5.835,3.2006,0.4543,0,0.0,true,1,19.7061,Free Play,0,0.3500,,Off,0.0000
5.952,3.2579,0.5303,0,0.0,true,1,19.6944,Free Play,0,0.3500,,Off,0.0000
6.055,3.3169,0.6250,0,0.0,true,1,19.6649,Free Play,0,0.3500,,Off,0.0000
6.117,0.0,0.0,1,1.12,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.169,3.3206,-0.3562,0,0.0,true,1,19.5266,Free Play,0,0.3500,,Off,0.0000
6.269,3.2910,-0.2369,0,0.0,true,1,19.5388,Free Play,0,0.3500,,Off,0.0000
6.385,3.2707,-0.1170,0,0.0,true,1,19.5452,Free Play,0,0.3500,,Off,0.0000
6.485,3.2638,-0.0212,0,0.0,true,1,19.5471,Free Play,0,0.3500,,Off,0.0000
6.602,3.2676,0.0864,0,0.0,true,1,19.5460,Free Play,0,0.3500,,Off,0.0000
6.718,3.2838,0.1962,0,0.0,true,1,19.5402,Free Play,0,0.3500,,Off,0.0000
6.851,3.3090,0.3012,0,0.0,true,2,19.5282,Free Play,0,0.3500,,Off,0.0000
6.952,3.3452,0.4183,0,0.0,true,2,19.5049,Free Play,0,0.3500,,Off,0.0000
6.967,0.0,0.0,1,0.79,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.052,3.3142,-0.2451,0,0.0,true,2,19.5043,Free Play,0,0.3500,,Off,0.0000
7.169,3.2935,-0.1104,0,0.0,true,2,19.5131,Free Play,0,0.3500,,Off,0.0000
7.285,3.2879,0.0129,0,0.0,true,2,19.5153,Free Play,0,0.3500,,Off,0.0000
7.386,3.2944,0.1172,0,0.0,true,2,19.5125,Free Play,0,0.3500,,Off,0.0000
7.502,3.3152,0.2433,0,0.0,true,2,19.5020,Free Play,0,0.3500,,Off,0.0000
7.534,0.0,0.0,1,0.76,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.602,3.2826,-0.3942,0,0.0,true,2,19.6004,Free Play,0,0.3500,,Off,0.0000
7.719,3.2435,-0.2796,0,0.0,true,2,19.6082,Free Play,0,0.3500,,Off,0.0000
7.835,3.2167,-0.1872,0,0.0,true,2,19.6099,Free Play,0,0.3500,,Off,0.0000
7.936,3.2013,-0.1187,0,0.0,true,2,19.6096,Free Play,0,0.3500,,Off,0.0000
8.052,3.1916,-0.0485,0,0.0,true,2,19.6089,Free Play,0,0.3500,,Off,0.0000
8.169,3.1898,0.0168,0,0.0,true,2,19.6088,Free Play,0,0.3500,,Off,0.0000
8.269,3.1942,0.0724,0,0.0,true,2,19.6090,Free Play,0,0.3500,,Off,0.0000
8.418,3.2044,0.1306,0,0.0,true,3,19.6092,Free Play,0,0.3500,,Off,0.0000
8.519,3.2208,0.1946,0,0.0,true,3,19.6082,Free Play,0,0.3500,,Off,0.0000
8.584,0.0,0.0,1,0.61,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.619,3.2132,-0.3418,0,0.0,true,3,19.6533,Free Play,0,0.3500,,Off,0.0000
8.736,3.1780,-0.2671,0,0.0,true,3,19.6492,Free Play,0,0.3500,,Off,0.0000
8.836,3.1538,-0.2188,0,0.0,true,3,19.6432,Free Play,0,0.3500,,Off,0.0000
8.952,3.1308,-0.1775,0,0.0,true,3,19.6352,Free Play,0,0.3500,,Off,0.0000
9.053,3.1144,-0.1523,0,0.0,true,3,19.6280,Free Play,0,0.3500,,Off,0.0000
9.153,3.1000,-0.1353,0,0.0,true,3,19.6207,Free Play,0,0.3500,,Off,0.0000
9.269,3.0850,-0.1244,0,0.0,true,3,19.6120,Free Play,0,0.3500,,Off,0.0000
9.369,3.0727,-0.1219,0,0.0,true,3,19.6042,Free Play,0,0.3500,,Off,0.0000
9.469,3.0604,-0.1256,0,0.0,true,3,19.5955,Free Play,0,0.3500,,Off,0.0000
9.586,3.0451,-0.1376,0,0.0,true,3,19.5838,Free Play,0,0.3500,,Off,0.0000
9.702,3.0279,-0.1586,0,0.0,true,3,19.5693,Free Play,0,0.3500,,Off,0.0000
9.819,3.0077,-0.1898,0,0.0,true,3,19.5503,Free Play,0,0.3500,,Off,0.0000
9.834,0.0,0.0,-1,1.05,false,3,,Free Play,0,0.3500,0.000,,0.0000
9.968,3.1056,0.8266,0,0.0,true,4,19.9553,Free Play,0,0.3500,,Off,0.0000
10.069,3.1896,0.8445,0,0.0,true,4,19.9653,Free Play,0,0.3500,,Off,0.0000
10.169,3.2769,0.9042,0,0.0,true,4,19.9391,Free Play,0,0.3500,,Off,0.0000
10.269,3.3721,1.0071,0,0.0,true,4,19.8677,Free Play,0,0.3500,,Off,0.0000
10.301,0.0,0.0,1,0.91,false,4,,Free Play,0,0.3500,0.000,,0.0000
10.369,3.4040,0.2436,0,0.0,true,4,19.3137,Free Play,0,0.3500,,Off,0.0000
10.486,3.4432,0.4333,0,0.0,true,4,19.2709,Free Play,0,0.3500,,Off,0.0000
10.586,3.4955,0.6149,0,0.0,false,4,19.2010,Free Play,0,0.3500,,Off,0.0000
10.618,0.0,0.0,1,0.81,false,4,,Free Play,0,0.3500,0.032,,0.0000
10.689,3.4998,0.0171,0,0.0,false,4,18.9973,Free Play,0,0.3500,,Off,0.0000
10.803,3.5152,0.2529,0,0.0,false,4,18.9752,Free Play,0,0.3500,,Off,0.0000
10.919,3.5591,0.5042,0,0.0,false,4,18.9043,Free Play,0,0.3500,,Off,0.0000
11.034,0.0,0.0,1,0.66,false,4,,Free Play,0,0.3500,0.449,,0.0000
11.036,3.6228,0.1194,0,0.0,false,4,18.5133,Free Play,0,0.3500,,Off,0.0000
11.153,3.6543,0.4256,0,0.0,false,4,18.4490,Free Play,0,0.3500,,Off,0.0000
11.269,3.7226,0.7505,0,0.0,false,4,18.2919,Free Play,0,0.3500,,Off,0.0000
11.318,0.0,0.0,1,1.82,false,4,,Free Play,0,0.3500,0.732,,0.0000
11.369,3.6923,-0.7520,0,0.0,false,4,18.4525,Free Play,0,0.3500,,Off,0.0000
11.485,3.6250,-0.4170,0,0.0,false,4,18.5829,Free Play,0,0.3500,,Off,0.0000
11.587,3.5963,-0.1508,0,0.0,false,4,18.6344,Free Play,0,0.3500,,Off,0.0000
11.703,3.5958,0.1401,0,0.0,false,4,18.6352,Free Play,0,0.3500,,Off,0.0000
