timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.0000,-0.0383,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.218,2.9943,-0.0777,0,0.0,true,1,19.5167,Free Play,0,0.3500,,Off,0.0000
0.335,2.9823,-0.1276,0,0.0,true,1,19.5040,Free Play,0,0.3500,,Off,0.0000
0.435,2.9672,-0.1761,0,0.0,true,1,19.4867,Free Play,0,0.3500,,Off,0.0000
0.551,2.9429,-0.2425,0,0.0,true,1,19.4564,Free Play,0,0.3500,,Off,0.0000
0.668,2.9101,-0.3234,0,0.0,true,1,19.4106,Free Play,0,0.3500,,Off,0.0000
0.768,2.8736,-0.4081,0,0.0,true,1,19.3531,Free Play,0,0.3500,,Off,0.0000
0.868,2.8278,-0.5108,0,0.0,true,1,19.2715,Free Play,0,0.3500,,Off,0.0000
0.968,2.7707,-0.6356,0,0.0,false,1,19.1548,Free Play,0,0.3500,,Off,0.0000
1.002,0.0,0.0,-1,1.91,false,1,,Free Play,0,0.3500,0.034,,0.0000
1.085,2.8771,1.0985,0,0.0,true,1,19.8822,Free Play,0,0.3500,,Off,0.0000
1.185,2.9819,1.0039,0,0.0,true,1,19.9991,Free Play,0,0.3500,,Off,0.0000
1.285,3.0798,0.9606,0,0.0,true,1,20.0627,Free Play,0,0.3500,,Off,0.0000
1.401,3.1915,0.9713,0,0.0,true,1,20.0795,Free Play,0,0.3500,,Off,0.0000
1.506,3.2952,1.0356,0,0.0,true,1,20.0407,Free Play,0,0.3500,,Off,0.0000
1.585,0.0,0.0,1,1.91,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.618,3.3243,-0.7335,0,0.0,true,1,19.7258,Free Play,0,0.3500,,Off,0.0000
1.718,3.2570,-0.6145,0,0.0,true,1,19.7436,Free Play,0,0.3500,,Off,0.0000
1.835,3.1915,-0.5173,0,0.0,true,1,19.7416,Free Play,0,0.3500,,Off,0.0000
1.935,3.1426,-0.4636,0,0.0,true,1,19.7274,Free Play,0,0.3500,,Off,0.0000
2.035,3.0978,-0.4340,0,0.0,true,1,19.7048,Free Play,0,0.3500,,Off,0.0000
2.152,3.0479,-0.4274,0,0.0,true,1,19.6684,Free Play,0,0.3500,,Off,0.0000
2.268,2.9970,-0.4499,0,0.0,true,1,19.6188,Free Play,0,0.3500,,Off,0.0000
2.385,0.0,0.0,-1,1.91,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.387,2.9769,1.3987,0,0.0,true,1,20.4654,Free Play,0,0.3500,,Off,0.0000
2.501,3.1328,1.3542,0,0.0,true,1,20.5365,Free Play,0,0.3500,,Off,0.0000
2.602,3.2700,1.3882,0,0.0,true,2,20.5028,Free Play,0,0.3500,,Off,0.0000
2.702,3.4137,1.4903,0,0.0,true,2,20.3695,Free Play,0,0.3500,,Off,0.0000
2.802,3.5708,1.6616,0,0.0,false,2,20.1105,Free Play,0,0.3500,,Off,0.0000
2.835,0.0,0.0,1,1.91,false,2,,Free Play,0,0.3500,0.033,,0.0000
2.918,3.5926,0.0385,0,0.0,false,2,18.6399,Free Play,0,0.3500,,Off,0.0000
3.018,3.6091,0.2900,0,0.0,false,2,18.6092,Free Play,0,0.3500,,Off,0.0000
3.119,3.6512,0.5488,0,0.0,false,2,18.5240,Free Play,0,0.3500,,Off,0.0000
3.235,3.7334,0.8719,0,0.0,false,2,18.3315,Free Play,0,0.3500,,Off,0.0000
3.303,0.0,0.0,1,1.91,false,2,,Free Play,0,0.3500,0.501,,0.0000
3.336,3.7404,-0.7144,0,0.0,false,2,18.1684,Free Play,0,0.3500,,Off,0.0000
3.452,3.6787,-0.3542,0,0.0,false,2,18.3015,Free Play,0,0.3500,,Off,0.0000
3.552,3.6577,-0.0675,0,0.0,false,2,18.3445,Free Play,0,0.3500,,Off,0.0000
3.669,3.6688,0.2568,0,0.0,false,2,18.3211,Free Play,0,0.3500,,Off,0.0000
3.786,0.0,0.0,1,1.91,false,2,,Free Play,0,0.3500,0.984,,0.0000
3.788,3.6821,-1.3050,0,0.0,false,2,19.0733,Free Play,0,0.3500,,Off,0.0000
3.902,3.5525,-0.9840,0,0.0,false,2,19.2875,Free Play,0,0.3500,,Off,0.0000
4.018,3.4537,-0.7228,0,0.0,true,2,19.4074,Free Play,0,0.3500,,Off,0.0000
4.135,3.3820,-0.5137,0,0.0,true,2,19.4698,Free Play,0,0.3500,,Off,0.0000
4.235,3.3382,-0.3654,0,0.0,true,2,19.4978,Free Play,0,0.3500,,Off,0.0000
4.335,3.3081,-0.2381,0,0.0,true,2,19.5126,Free Play,0,0.3500,,Off,0.0000
4.436,3.2900,-0.1248,0,0.0,true,2,19.5199,Free Play,0,0.3500,,Off,0.0000
4.552,3.2826,-0.0033,0,0.0,true,2,19.5226,Free Play,0,0.3500,,Off,0.0000
4.669,3.2892,0.1153,0,0.0,true,2,19.5200,Free Play,0,0.3500,,Off,0.0000
4.785,3.3097,0.2387,0,0.0,true,2,19.5102,Free Play,0,0.3500,,Off,0.0000
4.901,3.3452,0.3749,0,0.0,true,2,19.4877,Free Play,0,0.3500,,Off,0.0000
5.006,3.3916,0.5155,0,0.0,true,2,19.4480,Free Play,0,0.3500,,Off,0.0000
5.035,0.0,0.0,1,1.91,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.118,3.2685,-1.2216,0,0.0,true,2,20.2873,Free Play,0,0.3500,,Off,0.0000
5.235,3.1327,-1.1241,0,0.0,true,2,20.2514,Free Play,0,0.3500,,Off,0.0000
5.335,3.0217,-1.1028,0,0.0,true,2,20.1576,Free Play,0,0.3500,,Off,0.0000
5.439,2.9067,-1.1382,0,0.0,true,2,19.9983,Free Play,0,0.3500,,Off,0.0000
5.469,0.0,0.0,-1,1.91,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.552,2.9628,0.6712,0,0.0,true,3,19.6889,Free Play,0,0.3500,,Off,0.0000
5.652,3.0272,0.6167,0,0.0,true,3,19.7460,Free Play,0,0.3500,,Off,0.0000
5.769,3.0975,0.5932,0,0.0,true,3,19.7864,Free Play,0,0.3500,,Off,0.0000
5.886,3.1672,0.6104,0,0.0,true,3,19.8031,Free Play,0,0.3500,,Off,0.0000
5.986,3.2305,0.6576,0,0.0,true,3,19.7975,Free Play,0,0.3500,,Off,0.0000
6.087,3.3001,0.7369,0,0.0,true,3,19.7684,Free Play,0,0.3500,,Off,0.0000
6.202,0.0,0.0,1,1.91,false,3,,Free Play,0,0.3500,0.000,,0.0000
