timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.132,3.2879,0.1160,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Off,0.0000
0.233,3.3049,0.2219,0,0.0,true,1,19.5141,Free Play,0,0.3500,,Off,0.0000
0.333,3.3327,0.3357,0,0.0,true,1,19.4977,Free Play,0,0.3500,,Off,0.0000
0.450,3.3804,0.4864,0,0.0,true,1,19.4599,Free Play,0,0.3500,,Off,0.0000
0.567,3.4473,0.6658,0,0.0,true,1,19.3867,Free Play,0,0.3500,,Off,0.0000
0.667,3.5231,0.8506,0,0.0,false,1,19.2765,Free Play,0,0.3500,,Off,0.0000
0.700,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.033,,0.0000
0.784,3.4599,-0.6633,0,0.0,true,1,19.3471,Free Play,0,0.3500,,Off,0.0000
0.900,3.3954,-0.4501,0,0.0,true,1,19.4071,Free Play,0,0.3500,,Off,0.0000
1.017,3.3536,-0.2715,0,0.0,true,1,19.4372,Free Play,0,0.3500,,Off,0.0000
1.117,3.3333,-0.1357,0,0.0,true,1,19.4495,Free Play,0,0.3500,,Off,0.0000
1.233,3.3261,0.0101,0,0.0,true,1,19.4536,Free Play,0,0.3500,,Off,0.0000
1.333,3.3332,0.1335,0,0.0,true,1,19.4493,Free Play,0,0.3500,,Off,0.0000
1.451,3.3576,0.2835,0,0.0,true,1,19.4322,Free Play,0,0.3500,,Off,0.0000
1.567,3.4001,0.4479,0,0.0,true,1,19.3945,Free Play,0,0.3500,,Off,0.0000
1.683,3.4627,0.6367,0,0.0,true,1,19.3214,Free Play,0,0.3500,,Off,0.0000
1.716,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.784,3.3884,-0.9402,0,0.0,true,1,19.7648,Free Play,0,0.3500,,Off,0.0000
1.900,3.2892,-0.7704,0,0.0,true,1,19.8100,Free Play,0,0.3500,,Off,0.0000
2.000,3.2175,-0.6691,0,0.0,true,1,19.8156,Free Play,0,0.3500,,Off,0.0000
2.117,3.1441,-0.5953,0,0.0,true,1,19.7972,Free Play,0,0.3500,,Off,0.0000
2.234,3.0770,-0.5635,0,0.0,true,1,19.7583,Free Play,0,0.3500,,Off,0.0000
2.349,3.0204,-0.5673,0,0.0,true,2,19.7089,Free Play,0,0.3500,,Off,0.0000
2.450,2.9618,-0.5995,0,0.0,true,2,19.6415,Free Play,0,0.3500,,Off,0.0000
2.550,2.8990,-0.6602,0,0.0,true,2,19.5507,Free Play,0,0.3500,,Off,0.0000
2.656,2.8247,-0.7574,0,0.0,true,2,19.4183,Free Play,0,0.3500,,Off,0.0000
2.700,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
2.767,2.8798,0.8673,0,0.0,true,2,19.6619,Free Play,0,0.3500,,Off,0.0000
2.867,2.9616,0.7730,0,0.0,true,2,19.7603,Free Play,0,0.3500,,Off,0.0000
2.967,3.0360,0.7185,0,0.0,true,2,19.8234,Free Play,0,0.3500,,Off,0.0000
3.084,3.1183,0.7011,0,0.0,true,2,19.8631,Free Play,0,0.3500,,Off,0.0000
3.200,3.2012,0.7315,0,0.0,true,2,19.8701,Free Play,0,0.3500,,Off,0.0000
3.317,3.2908,0.8108,0,0.0,true,2,19.8397,Free Play,0,0.3500,,Off,0.0000
3.367,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.417,3.2593,-0.8443,0,0.0,true,2,19.9086,Free Play,0,0.3500,,Off,0.0000
3.534,3.1671,-0.7481,0,0.0,true,2,19.8967,Free Play,0,0.3500,,Off,0.0000
3.634,3.0945,-0.7077,0,0.0,true,2,19.8596,Free Play,0,0.3500,,Off,0.0000
3.751,3.0120,-0.7062,0,0.0,true,2,19.7870,Free Play,0,0.3500,,Off,0.0000
3.916,2.9279,-0.7518,0,0.0,true,3,19.6795,Free Play,0,0.3500,,Off,0.0000
4.017,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
4.019,2.8791,0.9303,0,0.0,true,3,19.7168,Free Play,0,0.3500,,Off,0.0000
4.134,2.9791,0.8261,0,0.0,true,3,19.8319,Free Play,0,0.3500,,Off,0.0000
4.234,3.0592,0.7805,0,0.0,true,3,19.8913,Free Play,0,0.3500,,Off,0.0000
4.351,3.1495,0.7773,0,0.0,true,3,19.9218,Free Play,0,0.3500,,Off,0.0000
4.467,3.2425,0.8268,0,0.0,true,3,19.9119,Free Play,0,0.3500,,Off,0.0000
4.584,3.3444,0.9307,0,0.0,true,3,19.8521,Free Play,0,0.3500,,Off,0.0000
4.684,3.4440,1.0668,0,0.0,true,3,19.7440,Free Play,0,0.3500,,Off,0.0000
4.701,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
4.784,3.3828,-0.5244,0,0.0,true,3,19.4735,Free Play,0,0.3500,,Off,0.0000
4.901,3.3319,-0.3534,0,0.0,true,3,19.5053,Free Play,0,0.3500,,Off,0.0000
5.018,3.2992,-0.2098,0,0.0,true,3,19.5204,Free Play,0,0.3500,,Off,0.0000
5.134,3.2823,-0.0840,0,0.0,true,3,19.5266,Free Play,0,0.3500,,Off,0.0000
5.234,3.2789,0.0171,0,0.0,true,3,19.5278,Free Play,0,0.3500,,Off,0.0000
5.334,3.2856,0.1170,0,0.0,true,3,19.5252,Free Play,0,0.3500,,Off,0.0000
5.516,3.3062,0.2383,0,0.0,true,4,19.5157,Free Play,0,0.3500,,Off,0.0000
5.617,3.3361,0.3540,0,0.0,true,4,19.4977,Free Play,0,0.3500,,Off,0.0000
5.734,0.0,0.0,1,1.77,false,4,,Free Play,0,0.3500,0.000,,0.0000
5.736,3.3533,-1.2531,0,0.0,true,4,20.1861,Free Play,0,0.3500,,Off,0.0000
5.851,3.2192,-1.1088,0,0.0,true,4,20.2052,Free Play,0,0.3500,,Off,0.0000
5.951,3.1119,-1.0442,0,0.0,true,4,20.1608,Free Play,0,0.3500,,Off,0.0000
6.051,3.0079,-1.0329,0,0.0,true,4,20.0659,Free Play,0,0.3500,,Off,0.0000
6.168,2.8856,-1.0842,0,0.0,true,4,19.8880,Free Play,0,0.3500,,Off,0.0000
6.268,0.0,0.0,-1,1.77,false,4,,Free Play,0,0.3500,0.000,,0.0000
6.270,2.8045,0.5769,0,0.0,true,4,19.2344,Free Play,0,0.3500,,Off,0.0000
6.384,2.8617,0.4282,0,0.0,true,4,19.3299,Free Play,0,0.3500,,Off,0.0000
6.501,2.9044,0.3076,0,0.0,true,4,19.3927,Free Play,0,0.3500,,Off,0.0000
6.601,2.9308,0.2229,0,0.0,true,4,19.4277,Free Play,0,0.3500,,Off,0.0000
6.701,2.9494,0.1506,0,0.0,true,4,19.4508,Free Play,0,0.3500,,Off,0.0000
6.818,2.9626,0.0773,0,0.0,true,4,19.4663,Free Play,0,0.3500,,Off,0.0000
6.934,2.9677,0.0110,0,0.0,true,4,19.4721,Free Play,0,0.3500,,Off,0.0000
7.083,2.9661,-0.0441,0,0.0,true,5,19.4702,Free Play,0,0.3500,,Off,0.0000
7.184,2.9588,-0.1007,0,0.0,true,5,19.4616,Free Play,0,0.3500,,Off,0.0000
7.300,2.9431,-0.1707,0,0.0,true,5,19.4420,Free Play,0,0.3500,,Off,0.0000
7.401,2.9225,-0.2393,0,0.0,true,5,19.4141,Free Play,0,0.3500,,Off,0.0000
7.518,2.8893,-0.3321,0,0.0,true,5,19.3645,Free Play,0,0.3500,,Off,0.0000
7.635,2.8442,-0.4442,0,0.0,true,5,19.2881,Free Play,0,0.3500,,Off,0.0000
7.751,2.7846,-0.5827,0,0.0,false,5,19.1712,Free Play,0,0.3500,,Off,0.0000
7.851,0.0,0.0,-1,1.77,false,5,,Free Play,0,0.3500,0.100,,0.0000
7.853,2.7509,1.0330,0,0.0,false,5,19.4142,Free Play,0,0.3500,,Off,0.0000
7.968,2.8589,0.8585,0,0.0,true,5,19.5991,Free Play,0,0.3500,,Off,0.0000
8.084,2.9516,0.7406,0,0.0,true,5,19.7177,Free Play,0,0.3500,,Off,0.0000
8.201,3.0336,0.6746,0,0.0,true,5,19.7904,Free Play,0,0.3500,,Off,0.0000
8.301,3.1000,0.6554,0,0.0,true,5,19.8263,Free Play,0,0.3500,,Off,0.0000
