timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.2864,0.1018,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.234,3.3052,0.2233,0,0.0,true,1,19.5140,Free Play,0,0.3500,,Off,0.0000
0.334,3.3331,0.3371,0,0.0,true,1,19.4975,Free Play,0,0.3500,,Off,0.0000
0.434,3.3732,0.4654,0,0.0,true,1,19.4664,Free Play,0,0.3500,,Off,0.0000
0.551,3.4375,0.6409,0,0.0,true,1,19.3989,Free Play,0,0.3500,,Off,0.0000
0.668,3.5243,0.8533,0,0.0,false,1,19.2745,Free Play,0,0.3500,,Off,0.0000
0.784,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.117,,0.0000
0.787,3.5838,-1.8708,0,0.0,false,1,20.4264,Free Play,0,0.3500,,Off,0.0000
0.901,3.3865,-1.6047,0,0.0,true,1,20.6147,Free Play,0,0.3500,,Off,0.0000
1.001,3.2339,-1.4594,0,0.0,true,1,20.6431,Free Play,0,0.3500,,Off,0.0000
1.101,3.0918,-1.3891,0,0.0,true,1,20.5726,Free Play,0,0.3500,,Off,0.0000
1.218,2.9303,-1.3960,0,0.0,true,1,20.3763,Free Play,0,0.3500,,Off,0.0000
1.335,2.7615,-1.4958,0,0.0,false,1,20.0388,Free Play,0,0.3500,,Off,0.0000
1.451,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.116,,0.0000
1.454,2.6311,1.3001,0,0.0,false,1,19.2142,Free Play,0,0.3500,,Off,0.0000
1.568,2.7653,1.0653,0,0.0,false,1,19.5009,Free Play,0,0.3500,,Off,0.0000
1.684,2.8791,0.8967,0,0.0,true,1,19.6860,Free Play,0,0.3500,,Off,0.0000
1.784,2.9637,0.8022,0,0.0,true,1,19.7870,Free Play,0,0.3500,,Off,0.0000
1.885,3.0410,0.7489,0,0.0,true,1,19.8509,Free Play,0,0.3500,,Off,0.0000
2.001,3.1271,0.7349,0,0.0,true,1,19.8890,Free Play,0,0.3500,,Off,0.0000
2.101,3.2017,0.7627,0,0.0,true,1,19.8931,Free Play,0,0.3500,,Off,0.0000
2.218,3.2946,0.8422,0,0.0,true,1,19.8600,Free Play,0,0.3500,,Off,0.0000
2.318,3.3841,0.9536,0,0.0,true,1,19.7877,Free Play,0,0.3500,,Off,0.0000
2.401,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.418,3.3866,-1.8789,0,0.0,true,1,21.0921,Free Play,0,0.3500,,Off,0.0000
2.534,3.1784,-1.7199,0,0.0,true,1,21.0924,Free Play,0,0.3500,,Off,0.0000
2.651,2.9806,-1.6801,0,0.0,true,1,20.9044,Free Play,0,0.3500,,Off,0.0000
2.768,2.7816,-1.7533,0,0.0,false,1,20.5282,Free Play,0,0.3500,,Off,0.0000
2.868,2.5987,-1.9036,0,0.0,false,1,20.0215,Free Play,0,0.3500,,Off,0.0000
2.901,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.133,,0.0000
2.984,2.6616,0.8260,0,0.0,false,1,18.8525,Free Play,0,0.3500,,Off,0.0000
3.084,2.7340,0.6287,0,0.0,false,1,19.0140,Free Play,0,0.3500,,Off,0.0000
3.185,2.7885,0.4637,0,0.0,false,1,19.1223,Free Play,0,0.3500,,Off,0.0000
3.285,2.8277,0.3238,0,0.0,true,1,19.1932,Free Play,0,0.3500,,Off,0.0000
3.401,2.8571,0.1833,0,0.0,true,1,19.2425,Free Play,0,0.3500,,Off,0.0000
3.518,2.8711,0.0579,0,0.0,true,1,19.2649,Free Play,0,0.3500,,Off,0.0000
3.635,2.8708,-0.0614,0,0.0,true,1,19.2645,Free Play,0,0.3500,,Off,0.0000
3.751,2.8568,-0.1809,0,0.0,true,1,19.2412,Free Play,0,0.3500,,Off,0.0000
3.868,2.8283,-0.3099,0,0.0,true,1,19.1905,Free Play,0,0.3500,,Off,0.0000
3.985,2.7838,-0.4561,0,0.0,false,1,19.1026,Free Play,0,0.3500,,Off,0.0000
4.101,2.7212,-0.6268,0,0.0,false,1,18.9621,Free Play,0,0.3500,,Off,0.0000
4.134,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.150,,0.0000
4.201,2.9019,2.1969,0,0.0,true,1,21.7526,Free Play,0,0.3500,,Off,0.0000
4.301,3.1171,2.1197,0,0.0,true,1,21.8636,Free Play,0,0.3500,,Off,0.0000
4.418,3.3658,2.1645,0,0.0,true,1,21.7170,Free Play,0,0.3500,,Off,0.0000
4.523,3.5983,2.3235,0,0.0,false,1,21.3141,Free Play,0,0.3500,,Off,0.0000
4.635,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.111,,0.0000
4.637,3.8262,-0.3664,0,0.0,false,1,17.4766,Free Play,0,0.3500,,Off,0.0000
4.751,3.8071,0.0298,0,0.0,false,1,17.5268,Free Play,0,0.3500,,Off,0.0000
4.874,3.8357,0.4420,0,0.0,false,1,17.4481,Free Play,0,0.3500,,Off,0.0000
4.969,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.446,,0.0000
4.985,3.8062,-2.1495,0,0.0,false,1,19.8421,Free Play,0,0.3500,,Off,0.0000
5.085,3.6088,-1.8113,0,0.0,false,1,20.2092,Free Play,0,0.3500,,Off,0.0000
5.185,3.4408,-1.5602,0,0.0,true,1,20.4012,Free Play,0,0.3500,,Off,0.0000
5.302,3.2709,-1.3664,0,0.0,true,1,20.4717,Free Play,0,0.3500,,Off,0.0000
5.418,3.1183,-1.2690,0,0.0,true,1,20.4225,Free Play,0,0.3500,,Off,0.0000
5.519,2.9922,-1.2556,0,0.0,true,1,20.2990,Free Play,0,0.3500,,Off,0.0000
5.635,2.8430,-1.3183,0,0.0,true,1,20.0548,Free Play,0,0.3500,,Off,0.0000
5.752,2.6815,-1.4647,0,0.0,false,1,19.6724,Free Play,0,0.3500,,Off,0.0000
5.856,2.5194,-1.6666,0,0.0,false,1,19.1706,Free Play,0,0.3500,,Off,0.0000
5.918,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.166,,0.0000
5.968,2.5152,1.0226,0,0.0,false,1,18.2806,Free Play,0,0.3500,,Off,0.0000
6.069,2.6047,0.7601,0,0.0,false,1,18.5283,Free Play,0,0.3500,,Off,0.0000
6.185,2.6777,0.5038,0,0.0,false,1,18.7103,Free Play,0,0.3500,,Off,0.0000
6.302,2.7233,0.2833,0,0.0,false,1,18.8143,Free Play,0,0.3500,,Off,0.0000
6.419,2.7446,0.0851,0,0.0,false,1,18.8608,Free Play,0,0.3500,,Off,0.0000
6.541,2.7430,-0.1109,0,0.0,false,1,18.8572,Free Play,0,0.3500,,Off,0.0000
6.585,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.833,,0.0000
6.652,2.9695,2.7061,0,0.0,true,1,23.1366,Free Play,0,0.3500,,Off,0.0000
6.752,3.2371,2.6651,0,0.0,true,1,23.1266,Free Play,0,0.3500,,Off,0.0000
6.852,3.5084,2.7569,0,0.0,false,1,22.7676,Free Play,0,0.3500,,Off,0.0000
6.974,3.8583,3.0357,0,0.0,false,1,21.8142,Free Play,0,0.3500,,Off,0.0000
7.085,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.233,,0.0000
7.088,4.1705,0.4533,0,0.0,false,1,14.9726,Free Play,0,0.3500,,Off,0.0000
7.202,4.2519,0.9746,0,0.0,false,1,14.6447,Free Play,0,0.3500,,Off,0.0000
7.302,4.3727,1.4443,0,0.0,false,1,14.1218,Free Play,0,0.3500,,Off,0.0000
7.369,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.517,,0.0000
7.402,4.3921,-1.0450,0,0.0,false,1,13.4448,Free Play,0,0.3500,,Off,0.0000
7.519,4.3056,-0.4437,0,0.0,false,1,13.7901,Free Play,0,0.3500,,Off,0.0000
7.636,4.2876,0.1341,0,0.0,false,1,13.8617,Free Play,0,0.3500,,Off,0.0000
7.670,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.818,,0.0000
7.752,4.0375,-2.2784,0,0.0,false,1,18.5350,Free Play,0,0.3500,,Off,0.0000
7.852,3.8317,-1.8502,0,0.0,false,1,19.0870,Free Play,0,0.3500,,Off,0.0000
7.969,3.6402,-1.4504,0,0.0,false,1,19.4773,Free Play,0,0.3500,,Off,0.0000
8.069,3.5090,-1.1836,0,0.0,false,1,19.6658,Free Play,0,0.3500,,Off,0.0000
8.186,3.3852,-0.9476,0,0.0,true,1,19.7793,Free Play,0,0.3500,,Off,0.0000
8.302,3.2857,-0.7806,0,0.0,true,1,19.8230,Free Play,0,0.3500,,Off,0.0000
8.402,3.2125,-0.6807,0,0.0,true,1,19.8270,Free Play,0,0.3500,,Off,0.0000
8.503,3.1476,-0.6171,0,0.0,true,1,19.8102,Free Play,0,0.3500,,Off,0.0000
8.619,3.0782,-0.5836,0,0.0,true,1,19.7706,Free Play,0,0.3500,,Off,0.0000
