timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
2.900,0.0,0.0,-1,2.53,false,2,,Free Play,0,0.3500,0.000,,0.0000
4.218,0.0,0.0,-1,2.38,false,2,,Free Play,0,0.3500,0.000,,0.0000
4.934,0.0,0.0,-1,2.52,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.567,0.0,0.0,-1,2.37,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.968,0.0,0.0,-1,2.43,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.168,0.0,0.0,-1,2.27,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.885,0.0,0.0,-1,2.45,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.118,0.0,0.0,-1,2.54,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.368,0.0,0.0,-1,2.50,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.668,0.0,0.0,1,2.46,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.435,0.0,0.0,1,2.05,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.101,0.0,0.0,1,1.88,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.468,0.0,0.0,-1,2.21,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.751,0.0,0.0,-1,2.36,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.318,0.0,0.0,1,2.05,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.652,0.0,0.0,-1,2.34,false,2,,Free Play,0,0.3500,0.000,,0.0000
11.368,0.0,0.0,1,2.10,false,2,,Free Play,0,0.3500,0.000,,0.0000
11.552,0.0,0.0,1,1.91,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.154,0.0,0.0,-1,2.68,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.335,0.0,0.0,-1,2.74,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.552,0.0,0.0,-1,2.52,false,2,,Free Play,0,0.3500,0.000,,0.0000
