timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.115,2.9998,-0.0411,0,0.0,true,1,19.5223,Free Play,0,0.3500,,Off,0.0000
0.217,2.9936,-0.0811,0,0.0,true,1,19.5160,Free Play,0,0.3500,,Off,0.0000
0.333,2.9812,-0.1314,0,0.0,true,1,19.5028,Free Play,0,0.3500,,Off,0.0000
0.450,2.9626,-0.1894,0,0.0,true,1,19.4812,Free Play,0,0.3500,,Off,0.0000
0.566,2.9367,-0.2583,0,0.0,true,1,19.4482,Free Play,0,0.3500,,Off,0.0000
0.666,2.9074,-0.3299,0,0.0,true,1,19.4065,Free Play,0,0.3500,,Off,0.0000
0.767,2.8701,-0.4162,0,0.0,true,1,19.3472,Free Play,0,0.3500,,Off,0.0000
0.883,2.8147,-0.5396,0,0.0,true,1,19.2462,Free Play,0,0.3500,,Off,0.0000
0.983,2.7544,-0.6707,0,0.0,false,1,19.1186,Free Play,0,0.3500,,Off,0.0000
1.066,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.083,,0.0000
1.100,2.8153,2.1276,0,0.0,true,1,21.3657,Free Play,0,0.3500,,Off,0.0000
1.215,3.0510,1.9985,0,0.0,true,1,21.5768,Free Play,0,0.3500,,Off,0.0000
1.316,3.2530,1.9953,0,0.0,true,1,21.5498,Free Play,0,0.3500,,Off,0.0000
1.417,3.4570,2.0917,0,0.0,true,1,21.3236,Free Play,0,0.3500,,Off,0.0000
1.533,3.7113,2.3237,0,0.0,false,1,20.7701,Free Play,0,0.3500,,Off,0.0000
1.550,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.017,,0.0000
1.633,3.6586,-0.3738,0,0.0,false,1,18.4078,Free Play,0,0.3500,,Off,0.0000
1.750,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.217,,0.0000
1.752,3.5784,-3.0375,0,0.0,false,1,23.3123,Free Play,0,0.3500,,Off,0.0000
1.867,3.2455,-2.7831,0,0.0,true,1,23.4399,Free Play,0,0.3500,,Off,0.0000
1.967,2.9712,-2.7137,0,0.0,true,1,23.1599,Free Play,0,0.3500,,Off,0.0000
2.084,2.6516,-2.8010,0,0.0,false,1,22.3887,Free Play,0,0.3500,,Off,0.0000
2.200,2.3128,-3.0511,0,0.0,false,1,21.0937,Free Play,0,0.3500,,Off,0.0000
2.217,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.133,,0.0000
2.300,2.2907,-0.3888,0,0.0,false,1,16.3537,Free Play,0,0.3500,,Off,0.0000
2.422,2.2188,-0.8050,0,0.0,false,1,16.0549,Free Play,0,0.3500,,Off,0.0000
2.483,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.400,,0.0000
2.534,2.3049,1.7652,0,0.0,false,1,17.9396,Free Play,0,0.3500,,Off,0.0000
2.634,2.4642,1.4206,0,0.0,false,1,18.4629,Free Play,0,0.3500,,Off,0.0000
2.751,2.6102,1.0977,0,0.0,false,1,18.8699,Free Play,0,0.3500,,Off,0.0000
2.867,2.7226,0.8470,0,0.0,false,1,19.1299,Free Play,0,0.3500,,Off,0.0000
2.967,2.7986,0.6773,0,0.0,true,1,19.2781,Free Play,0,0.3500,,Off,0.0000
3.083,2.8682,0.5238,0,0.0,true,1,19.3930,Free Play,0,0.3500,,Off,0.0000
3.184,2.9154,0.4224,0,0.0,true,1,19.4593,Free Play,0,0.3500,,Off,0.0000
3.284,2.9535,0.3436,0,0.0,true,1,19.5061,Free Play,0,0.3500,,Off,0.0000
3.384,2.9847,0.2831,0,0.0,true,1,19.5396,Free Play,0,0.3500,,Off,0.0000
3.485,3.0107,0.2376,0,0.0,true,1,19.5643,Free Play,0,0.3500,,Off,0.0000
3.585,3.0328,0.2049,0,0.0,true,1,19.5830,Free Play,0,0.3500,,Off,0.0000
3.700,3.0550,0.1804,0,0.0,true,1,19.5995,Free Play,0,0.3500,,Off,0.0000
3.800,3.0725,0.1694,0,0.0,true,1,19.6109,Free Play,0,0.3500,,Off,0.0000
3.901,3.0893,0.1671,0,0.0,true,1,19.6205,Free Play,0,0.3500,,Off,0.0000
4.017,3.1091,0.1750,0,0.0,true,1,19.6301,Free Play,0,0.3500,,Off,0.0000
4.134,3.1305,0.1945,0,0.0,true,1,19.6383,Free Play,0,0.3500,,Off,0.0000
4.250,3.1549,0.2267,0,0.0,true,1,19.6448,Free Play,0,0.3500,,Off,0.0000
4.351,3.1796,0.2660,0,0.0,true,1,19.6483,Free Play,0,0.3500,,Off,0.0000
4.451,3.2087,0.3177,0,0.0,true,1,19.6484,Free Play,0,0.3500,,Off,0.0000
4.649,3.2502,0.3969,0,0.0,true,2,19.6410,Free Play,0,0.3500,,Off,0.0000
4.750,3.2946,0.4854,0,0.0,true,2,19.6232,Free Play,0,0.3500,,Off,0.0000
4.850,3.3485,0.5953,0,0.0,true,2,19.5880,Free Play,0,0.3500,,Off,0.0000
4.950,3.4146,0.7320,0,0.0,true,2,19.5245,Free Play,0,0.3500,,Off,0.0000
5.067,3.5112,0.9325,0,0.0,false,2,19.3923,Free Play,0,0.3500,,Off,0.0000
5.119,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.052,,0.0000
5.167,3.4150,-1.8434,0,0.0,true,2,20.9548,Free Play,0,0.3500,,Off,0.0000
5.284,3.2114,-1.6676,0,0.0,true,2,20.9865,Free Play,0,0.3500,,Off,0.0000
5.401,3.0215,-1.6079,0,0.0,true,2,20.8420,Free Play,0,0.3500,,Off,0.0000
5.501,2.8595,-1.6439,0,0.0,true,2,20.5834,Free Play,0,0.3500,,Off,0.0000
5.601,2.6898,-1.7578,0,0.0,false,2,20.1804,Free Play,0,0.3500,,Off,0.0000
5.717,2.4728,-1.9861,0,0.0,false,2,19.4790,Free Play,0,0.3500,,Off,0.0000
5.768,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.167,,0.0000
5.834,2.4715,0.6728,0,0.0,false,2,17.7251,Free Play,0,0.3500,,Off,0.0000
5.951,2.5309,0.3491,0,0.0,false,2,17.9077,Free Play,0,0.3500,,Off,0.0000
6.067,2.5542,0.0532,0,0.0,false,2,17.9769,Free Play,0,0.3500,,Off,0.0000
6.184,2.5437,-0.2326,0,0.0,false,2,17.9452,Free Play,0,0.3500,,Off,0.0000
6.284,2.5079,-0.4831,0,0.0,false,2,17.8322,Free Play,0,0.3500,,Off,0.0000
6.384,2.4464,-0.7482,0,0.0,false,2,17.6231,Free Play,0,0.3500,,Off,0.0000
6.501,2.3398,-1.0865,0,0.0,false,2,17.2224,Free Play,0,0.3500,,Off,0.0000
6.517,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.916,,0.0000
6.618,2.5401,1.5347,0,0.0,false,2,19.0757,Free Play,0,0.3500,,Off,0.0000
6.718,2.6807,1.2850,0,0.0,false,2,19.4219,Free Play,0,0.3500,,Off,0.0000
6.818,2.7994,1.0976,0,0.0,true,2,19.6537,Free Play,0,0.3500,,Off,0.0000
6.935,2.9181,0.9484,0,0.0,true,2,19.8258,Free Play,0,0.3500,,Off,0.0000
7.051,3.0230,0.8654,0,0.0,true,2,19.9256,Free Play,0,0.3500,,Off,0.0000
7.168,3.1223,0.8421,0,0.0,true,2,19.9728,Free Play,0,0.3500,,Off,0.0000
7.284,3.2219,0.8764,0,0.0,true,2,19.9724,Free Play,0,0.3500,,Off,0.0000
7.384,3.3130,0.9521,0,0.0,true,2,19.9295,Free Play,0,0.3500,,Off,0.0000
7.484,3.4139,1.0730,0,0.0,true,2,19.8342,Free Play,0,0.3500,,Off,0.0000
7.584,3.5293,1.2429,0,0.0,false,2,19.6643,Free Play,0,0.3500,,Off,0.0000
7.651,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.067,,0.0000
7.684,3.5121,-1.5205,0,0.0,false,2,20.1104,Free Play,0,0.3500,,Off,0.0000
7.785,3.3708,-1.3138,0,0.0,true,2,20.2264,Free Play,0,0.3500,,Off,0.0000
7.901,3.2275,-1.1578,0,0.0,true,2,20.2540,Free Play,0,0.3500,,Off,0.0000
8.001,3.1155,-1.0892,0,0.0,true,2,20.2098,Free Play,0,0.3500,,Off,0.0000
8.118,2.9899,-1.0793,0,0.0,true,2,20.0898,Free Play,0,0.3500,,Off,0.0000
8.234,2.8612,-1.1416,0,0.0,true,2,19.8884,Free Play,0,0.3500,,Off,0.0000
8.334,2.7418,-1.2529,0,0.0,false,2,19.6313,Free Play,0,0.3500,,Off,0.0000
8.418,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.084,,0.0000
8.452,2.7355,1.5328,0,0.0,false,2,19.9971,Free Play,0,0.3500,,Off,0.0000
8.568,2.9023,1.3527,0,0.0,true,2,20.2553,Free Play,0,0.3500,,Off,0.0000
8.685,3.0542,1.2645,0,0.0,true,2,20.3820,Free Play,0,0.3500,,Off,0.0000
8.801,3.2005,1.2635,0,0.0,true,2,20.4012,Free Play,0,0.3500,,Off,0.0000
8.901,3.3298,1.3305,0,0.0,true,2,20.3319,Free Play,0,0.3500,,Off,0.0000
9.018,3.4935,1.4893,0,0.0,false,2,20.1278,Free Play,0,0.3500,,Off,0.0000
9.118,3.6527,1.6980,0,0.0,false,2,19.8078,Free Play,0,0.3500,,Off,0.0000
9.235,3.8694,2.0290,0,0.0,false,2,19.1927,Free Play,0,0.3500,,Off,0.0000
9.251,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.233,,0.0000
9.352,3.7813,-0.5496,0,0.0,false,2,17.8313,Free Play,0,0.3500,,Off,0.0000
9.468,3.7398,-0.1680,0,0.0,false,2,17.9305,Free Play,0,0.3500,,Off,0.0000
9.585,3.7415,0.1961,0,0.0,false,2,17.9262,Free Play,0,0.3500,,Off,0.0000
9.685,3.7768,0.5098,0,0.0,false,2,17.8367,Free Play,0,0.3500,,Off,0.0000
9.768,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.750,,0.0000
9.785,3.7436,-2.1489,0,0.0,false,2,20.2044,Free Play,0,0.3500,,Off,0.0000
9.901,3.5148,-1.7952,0,0.0,false,2,20.5559,Free Play,0,0.3500,,Off,0.0000
10.018,3.3201,-1.5620,0,0.0,true,2,20.6841,Free Play,0,0.3500,,Off,0.0000
10.135,3.1460,-1.4379,0,0.0,true,2,20.6537,Free Play,0,0.3500,,Off,0.0000
10.251,2.9808,-1.4139,0,0.0,true,2,20.4930,Free Play,0,0.3500,,Off,0.0000
10.356,2.8311,-1.4726,0,0.0,true,2,20.2352,Free Play,0,0.3500,,Off,0.0000
10.401,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
10.468,2.9071,1.3790,0,0.0,true,2,20.3023,Free Play,0,0.3500,,Off,0.0000
10.585,3.0618,1.2939,0,0.0,true,2,20.4260,Free Play,0,0.3500,,Off,0.0000
10.685,3.1916,1.2922,0,0.0,true,2,20.4426,Free Play,0,0.3500,,Off,0.0000
10.801,3.3443,1.3701,0,0.0,true,2,20.3578,Free Play,0,0.3500,,Off,0.0000
10.902,3.4889,1.5092,0,0.0,true,2,20.1733,Free Play,0,0.3500,,Off,0.0000
11.018,3.6782,1.7560,0,0.0,false,2,19.7827,Free Play,0,0.3500,,Off,0.0000
11.068,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.050,,0.0000
11.118,3.6682,-0.9427,0,0.0,false,2,18.7352,Free Play,0,0.3500,,Off,0.0000
11.236,3.5775,-0.6187,0,0.0,false,2,18.8939,Free Play,0,0.3500,,Off,0.0000
11.352,3.5220,-0.3410,0,0.0,false,2,18.9768,Free Play,0,0.3500,,Off,0.0000
11.452,3.4988,-0.1252,0,0.0,false,2,19.0085,Free Play,0,0.3500,,Off,0.0000
11.568,3.4982,0.1141,0,0.0,false,2,19.0092,Free Play,0,0.3500,,Off,0.0000
11.668,3.5199,0.3204,0,0.0,false,2,18.9776,Free Play,0,0.3500,,Off,0.0000
11.768,3.5627,0.5374,0,0.0,false,2,18.9074,Free Play,0,0.3500,,Off,0.0000
11.885,3.6415,0.8168,0,0.0,false,2,18.7533,Free Play,0,0.3500,,Off,0.0000
11.904,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.886,,0.0000
12.001,3.4074,-1.8856,0,0.0,true,2,21.0533,Free Play,0,0.3500,,Off,0.0000
12.102,3.2257,-1.7304,0,0.0,true,2,21.0825,Free Play,0,0.3500,,Off,0.0000
12.202,3.0565,-1.6657,0,0.0,true,2,20.9717,Free Play,0,0.3500,,Off,0.0000
12.318,2.8614,-1.6958,0,0.0,true,2,20.6753,Free Play,0,0.3500,,Off,0.0000
12.418,2.6868,-1.8087,0,0.0,false,2,20.2586,Free Play,0,0.3500,,Off,0.0000
12.524,2.4882,-2.0102,0,0.0,false,2,19.6199,Free Play,0,0.3500,,Off,0.0000
12.584,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.166,,0.0000
12.635,2.4450,0.6658,0,0.0,false,2,17.5560,Free Play,0,0.3500,,Off,0.0000
12.736,2.4970,0.3751,0,0.0,false,2,17.7220,Free Play,0,0.3500,,Off,0.0000
12.852,2.5223,0.0641,0,0.0,false,2,17.8004,Free Play,0,0.3500,,Off,0.0000
12.969,2.5121,-0.2382,0,0.0,false,2,17.7682,Free Play,0,0.3500,,Off,0.0000
13.085,2.4666,-0.5454,0,0.0,false,2,17.6178,Free Play,0,0.3500,,Off,0.0000
13.186,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.767,,0.0000
13.188,2.4544,2.1560,0,0.0,false,2,19.7173,Free Play,0,0.3500,,Off,0.0000
13.302,2.6807,1.8387,0,0.0,false,2,20.2869,Free Play,0,0.3500,,Off,0.0000
13.419,2.8821,1.6305,0,0.0,true,2,20.6209,Free Play,0,0.3500,,Off,0.0000
13.536,3.0658,1.5336,0,0.0,true,2,20.7679,Free Play,0,0.3500,,Off,0.0000
13.652,3.2441,1.5424,0,0.0,true,2,20.7579,Free Play,0,0.3500,,Off,0.0000
13.769,3.4295,1.6544,0,0.0,true,2,20.5846,Free Play,0,0.3500,,Off,0.0000
13.869,3.6033,1.8335,0,0.0,false,2,20.2736,Free Play,0,0.3500,,Off,0.0000
13.885,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.017,,0.0000
13.969,3.4996,-0.9159,0,0.0,false,2,19.4174,Free Play,0,0.3500,,Off,0.0000
14.086,3.4068,-0.6826,0,0.0,true,2,19.5100,Free Play,0,0.3500,,Off,0.0000
14.202,3.3383,-0.4997,0,0.0,true,2,19.5557,Free Play,0,0.3500,,Off,0.0000
14.319,3.2888,-0.3541,0,0.0,true,2,19.5766,Free Play,0,0.3500,,Off,0.0000
14.435,3.2546,-0.2355,0,0.0,true,2,19.5851,Free Play,0,0.3500,,Off,0.0000
14.552,3.2331,-0.1355,0,0.0,true,2,19.5881,Free Play,0,0.3500,,Off,0.0000
14.669,3.2226,-0.0469,0,0.0,true,2,19.5890,Free Play,0,0.3500,,Off,0.0000
14.786,3.2220,0.0366,0,0.0,true,2,19.5890,Free Play,0,0.3500,,Off,0.0000
14.902,3.2311,0.1204,0,0.0,true,2,19.5880,Free Play,0,0.3500,,Off,0.0000
15.019,3.2503,0.2104,0,0.0,true,2,19.5842,Free Play,0,0.3500,,Off,0.0000
15.119,3.2756,0.2971,0,0.0,true,2,19.5762,Free Play,0,0.3500,,Off,0.0000
15.236,3.3171,0.4153,0,0.0,true,2,19.5555,Free Play,0,0.3500,,Off,0.0000
15.352,3.3735,0.5577,0,0.0,true,2,19.5129,Free Play,0,0.3500,,Off,0.0000
15.469,3.4484,0.7336,0,0.0,true,2,19.4311,Free Play,0,0.3500,,Off,0.0000
15.569,0.0,0.0,1,3.00,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.602,3.3752,-2.0639,0,0.0,true,3,21.4834,Free Play,0,0.3500,,Off,0.0000
15.719,3.1444,-1.9132,0,0.0,true,3,21.4501,Free Play,0,0.3500,,Off,0.0000
15.836,2.9230,-1.8952,0,0.0,true,3,21.1824,Free Play,0,0.3500,,Off,0.0000
15.952,2.6991,-2.0009,0,0.0,false,3,20.6769,Free Play,0,0.3500,,Off,0.0000
16.052,2.4884,-2.1893,0,0.0,false,3,19.9969,Free Play,0,0.3500,,Off,0.0000
16.169,2.2153,-2.5109,0,0.0,false,3,18.8565,Free Play,0,0.3500,,Off,0.0000
16.219,0.0,0.0,-1,3.00,false,3,,Free Play,0,0.3500,0.267,,0.0000
16.269,2.1448,0.1135,0,0.0,false,3,15.1431,Free Play,0,0.3500,,Off,0.0000
16.386,2.1313,-0.3424,0,0.0,false,3,15.0837,Free Play,0,0.3500,,Off,0.0000
16.503,2.0652,-0.7959,0,0.0,false,3,14.7820,Free Play,0,0.3500,,Off,0.0000
16.619,1.9452,-1.2659,0,0.0,false,3,14.1992,Free Play,0,0.3500,,Off,0.0000
16.636,0.0,0.0,-1,3.00,false,3,,Free Play,0,0.3500,0.684,,0.0000
16.736,2.1163,1.2136,0,0.0,false,3,15.6366,Free Play,0,0.3500,,Off,0.0000
16.836,2.2174,0.8093,0,0.0,false,3,16.0480,Free Play,0,0.3500,,Off,0.0000
16.953,2.2864,0.3788,0,0.0,false,3,16.3178,Free Play,0,0.3500,,Off,0.0000
17.069,2.3069,-0.0246,0,0.0,false,3,16.3965,Free Play,0,0.3500,,Off,0.0000
17.170,2.2873,-0.3654,0,0.0,false,3,16.3191,Free Play,0,0.3500,,Off,0.0000
17.287,0.0,0.0,-1,3.00,false,3,,Free Play,0,0.3500,1.335,,0.0000
17.289,2.2795,2.2118,0,0.0,false,3,18.6410,Free Play,0,0.3500,,Off,0.0000
