timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.118,3.2866,0.1042,0,0.0,true,1,19.5225,Free Play,0,0.3500,,Off,0.0000
0.234,3.3057,0.2259,0,0.0,true,1,19.5137,Free Play,0,0.3500,,Off,0.0000
0.335,3.3339,0.3399,0,0.0,true,1,19.4969,Free Play,0,0.3500,,Off,0.0000
0.418,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.435,3.3163,-1.2935,0,0.0,true,1,20.3072,Free Play,0,0.3500,,Off,0.0000
0.535,3.1928,-1.1812,0,0.0,true,1,20.3048,Free Play,0,0.3500,,Off,0.0000
0.635,3.0776,-1.1302,0,0.0,true,1,20.2386,Free Play,0,0.3500,,Off,0.0000
0.752,2.9457,-1.1427,0,0.0,true,1,20.0852,Free Play,0,0.3500,,Off,0.0000
0.868,2.8080,-1.2307,0,0.0,true,1,19.8365,Free Play,0,0.3500,,Off,0.0000
0.918,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.985,2.8028,0.3726,0,0.0,true,1,19.1317,Free Play,0,0.3500,,Off,0.0000
1.102,2.8371,0.2184,0,0.0,true,1,19.1925,Free Play,0,0.3500,,Off,0.0000
1.218,2.8545,0.0821,0,0.0,true,1,19.2218,Free Play,0,0.3500,,Off,0.0000
1.318,2.8572,-0.0279,0,0.0,true,1,19.2263,Free Play,0,0.3500,,Off,0.0000
1.436,2.8464,-0.1560,0,0.0,true,1,19.2079,Free Play,0,0.3500,,Off,0.0000
1.552,2.8207,-0.2898,0,0.0,true,1,19.1611,Free Play,0,0.3500,,Off,0.0000
1.652,2.7854,-0.4173,0,0.0,false,1,19.0912,Free Play,0,0.3500,,Off,0.0000
1.701,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.049,,0.0000
1.768,2.8727,1.1807,0,0.0,true,1,19.9646,Free Play,0,0.3500,,Off,0.0000
1.868,2.9856,1.0843,0,0.0,true,1,20.0888,Free Play,0,0.3500,,Off,0.0000
1.986,3.1095,1.0416,0,0.0,true,1,20.1574,Free Play,0,0.3500,,Off,0.0000
2.103,3.2327,1.0709,0,0.0,true,1,20.1528,Free Play,0,0.3500,,Off,0.0000
2.169,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.218,3.2441,-0.5942,0,0.0,true,1,19.7450,Free Play,0,0.3500,,Off,0.0000
2.318,3.1889,-0.5146,0,0.0,true,1,19.7414,Free Play,0,0.3500,,Off,0.0000
2.418,3.1403,-0.4621,0,0.0,true,1,19.7268,Free Play,0,0.3500,,Off,0.0000
2.535,3.0885,-0.4312,0,0.0,true,1,19.6991,Free Play,0,0.3500,,Off,0.0000
2.635,3.0457,-0.4285,0,0.0,true,1,19.6667,Free Play,0,0.3500,,Off,0.0000
2.735,3.0020,-0.4471,0,0.0,true,1,19.6246,Free Play,0,0.3500,,Off,0.0000
2.836,2.9554,-0.4874,0,0.0,true,1,19.5693,Free Play,0,0.3500,,Off,0.0000
2.941,2.9013,-0.5541,0,0.0,true,1,19.4916,Free Play,0,0.3500,,Off,0.0000
2.985,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.052,2.9809,1.1126,0,0.0,true,1,20.1125,Free Play,0,0.3500,,Off,0.0000
3.169,3.1074,1.0674,0,0.0,true,1,20.1839,Free Play,0,0.3500,,Off,0.0000
3.301,3.2328,1.0954,0,0.0,true,2,20.1792,Free Play,0,0.3500,,Off,0.0000
3.407,3.3518,1.1829,0,0.0,true,2,20.1037,Free Play,0,0.3500,,Off,0.0000
3.502,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.518,3.4347,-0.4160,0,0.0,true,2,19.2882,Free Play,0,0.3500,,Off,0.0000
3.620,3.4016,-0.2398,0,0.0,true,2,19.3189,Free Play,0,0.3500,,Off,0.0000
3.736,3.3846,-0.0565,0,0.0,true,2,19.3334,Free Play,0,0.3500,,Off,0.0000
3.852,3.3883,0.1192,0,0.0,true,2,19.3302,Free Play,0,0.3500,,Off,0.0000
3.969,3.4127,0.2999,0,0.0,true,2,19.3068,Free Play,0,0.3500,,Off,0.0000
4.087,3.4595,0.4979,0,0.0,true,2,19.2524,Free Play,0,0.3500,,Off,0.0000
4.103,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
4.202,3.3258,-1.0661,0,0.0,true,2,20.0223,Free Play,0,0.3500,,Off,0.0000
4.302,3.2254,-0.9481,0,0.0,true,2,20.0350,Free Play,0,0.3500,,Off,0.0000
4.403,3.1338,-0.8793,0,0.0,true,2,20.0063,Free Play,0,0.3500,,Off,0.0000
4.519,3.0335,-0.8565,0,0.0,true,2,19.9295,Free Play,0,0.3500,,Off,0.0000
4.635,2.9323,-0.8916,0,0.0,true,2,19.8034,Free Play,0,0.3500,,Off,0.0000
4.736,2.8395,-0.9680,0,0.0,true,2,19.6443,Free Play,0,0.3500,,Off,0.0000
4.891,2.7309,-1.0969,0,0.0,false,3,19.4060,Free Play,0,0.3500,,Off,0.0000
4.986,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.095,,0.0000
5.002,2.6565,0.4697,0,0.0,false,3,18.5984,Free Play,0,0.3500,,Off,0.0000
5.119,2.6975,0.2375,0,0.0,false,3,18.6965,Free Play,0,0.3500,,Off,0.0000
5.219,2.7120,0.0547,0,0.0,false,3,18.7302,Free Play,0,0.3500,,Off,0.0000
5.319,2.7086,-0.1223,0,0.0,false,3,18.7222,Free Play,0,0.3500,,Off,0.0000
5.436,2.6823,-0.3310,0,0.0,false,3,18.6582,Free Play,0,0.3500,,Off,0.0000
5.552,2.6307,-0.5557,0,0.0,false,3,18.5218,Free Play,0,0.3500,,Off,0.0000
5.602,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.711,,0.0000
5.669,2.6985,0.9583,0,0.0,false,3,19.1320,Free Play,0,0.3500,,Off,0.0000
5.786,2.7977,0.7525,0,0.0,true,3,19.3287,Free Play,0,0.3500,,Off,0.0000
5.886,2.8660,0.6180,0,0.0,true,3,19.4409,Free Play,0,0.3500,,Off,0.0000
5.986,2.9225,0.5160,0,0.0,true,3,19.5186,Free Play,0,0.3500,,Off,0.0000
6.102,2.9774,0.4309,0,0.0,true,3,19.5808,Free Play,0,0.3500,,Off,0.0000
6.219,3.0242,0.3765,0,0.0,true,3,19.6234,Free Play,0,0.3500,,Off,0.0000
6.336,3.0663,0.3488,0,0.0,true,3,19.6530,Free Play,0,0.3500,,Off,0.0000
6.453,3.1065,0.3452,0,0.0,true,3,19.6736,Free Play,0,0.3500,,Off,0.0000
6.569,3.1477,0.3650,0,0.0,true,3,19.6864,Free Play,0,0.3500,,Off,0.0000
6.686,3.1926,0.4092,0,0.0,true,3,19.6909,Free Play,0,0.3500,,Off,0.0000
6.803,3.2443,0.4800,0,0.0,true,3,19.6835,Free Play,0,0.3500,,Off,0.0000
6.870,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
6.918,3.1879,-1.1844,0,0.0,true,3,20.3108,Free Play,0,0.3500,,Off,0.0000
7.019,3.0712,-1.1356,0,0.0,true,3,20.2405,Free Play,0,0.3500,,Off,0.0000
7.137,2.9371,-1.1524,0,0.0,true,3,20.0796,Free Play,0,0.3500,,Off,0.0000
7.236,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
7.238,2.8489,0.5352,0,0.0,true,3,19.3459,Free Play,0,0.3500,,Off,0.0000
