timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.868,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.303,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.868,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.051,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.101,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.568,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.052,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.551,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.019,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.252,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.985,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.352,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.819,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.604,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.253,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.904,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.086,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.753,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.003,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.820,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.853,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
12.336,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
13.104,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
13.820,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.254,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
14.938,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
15.404,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
15.954,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
16.237,3.2142,-0.6717,0,0.0,true,1,19.8198,Free Play,0,0.3500,,Off,0.0000
16.354,3.1405,-0.5999,0,0.0,true,1,19.7999,Free Play,0,0.3500,,Off,0.0000
16.438,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
16.471,3.2220,2.4185,0,0.0,true,1,22.5130,Free Play,0,0.3500,,Off,0.0000
16.571,3.4675,2.5016,0,0.0,true,1,22.2324,Free Play,0,0.3500,,Off,0.0000
16.688,3.7722,2.7441,0,0.0,false,1,21.4985,Free Play,0,0.3500,,Off,0.0000
16.804,4.1131,3.1289,0,0.0,false,1,20.2379,Free Play,0,0.3500,,Off,0.0000
16.854,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.166,,0.0000
16.921,4.2570,0.6526,0,0.0,false,1,14.3373,Free Play,0,0.3500,,Off,0.0000
17.038,4.3654,1.2069,0,0.0,false,1,13.8740,Free Play,0,0.3500,,Off,0.0000
17.070,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.383,,0.0000
17.154,4.2414,-1.1916,0,0.0,false,1,14.9710,Free Play,0,0.3500,,Off,0.0000
17.256,4.1456,-0.6972,0,0.0,false,1,15.3205,Free Play,0,0.3500,,Off,0.0000
17.371,4.0958,-0.1729,0,0.0,false,1,15.4978,Free Play,0,0.3500,,Off,0.0000
17.472,4.1007,0.2700,0,0.0,false,1,15.4797,Free Play,0,0.3500,,Off,0.0000
17.588,4.1615,0.7795,0,0.0,false,1,15.2488,Free Play,0,0.3500,,Off,0.0000
17.704,4.2832,1.3081,0,0.0,false,1,14.7480,Free Play,0,0.3500,,Off,0.0000
17.804,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,1.117,,0.0000
17.807,4.3844,-1.1984,0,0.0,false,1,13.6886,Free Play,0,0.3500,,Off,0.0000
17.921,4.2815,-0.6096,0,0.0,false,1,14.0933,Free Play,0,0.3500,,Off,0.0000
18.021,4.2452,-0.1170,0,0.0,false,1,14.2353,Free Play,0,0.3500,,Off,0.0000
18.138,4.2641,0.4401,0,0.0,false,1,14.1589,Free Play,0,0.3500,,Off,0.0000
18.188,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,1.501,,0.0000
18.255,4.0984,-1.9761,0,0.0,false,1,17.4143,Free Play,0,0.3500,,Off,0.0000
18.371,3.8991,-1.4604,0,0.0,false,1,18.0036,Free Play,0,0.3500,,Off,0.0000
18.471,3.7721,-1.0834,0,0.0,false,1,18.3208,Free Play,0,0.3500,,Off,0.0000
18.588,3.6683,-0.7090,0,0.0,false,1,18.5416,Free Play,0,0.3500,,Off,0.0000
18.688,3.6117,-0.4275,0,0.0,false,1,18.6473,Free Play,0,0.3500,,Off,0.0000
18.804,3.5794,-0.1296,0,0.0,false,1,18.7031,Free Play,0,0.3500,,Off,0.0000
18.922,3.5810,0.1556,0,0.0,false,1,18.7002,Free Play,0,0.3500,,Off,0.0000
19.043,3.6172,0.4501,0,0.0,false,1,18.6324,Free Play,0,0.3500,,Off,0.0000
19.154,3.6841,0.7447,0,0.0,false,1,18.4890,Free Play,0,0.3500,,Off,0.0000
19.188,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,2.500,,0.0000
19.271,3.4916,-1.9188,0,0.0,true,1,20.8662,Free Play,0,0.3500,,Off,0.0000
19.388,3.2816,-1.6999,0,0.0,true,1,20.9688,Free Play,0,0.3500,,Off,0.0000
19.504,3.0904,-1.5997,0,0.0,true,1,20.8867,Free Play,0,0.3500,,Off,0.0000
19.621,2.9040,-1.6097,0,0.0,true,1,20.6400,Free Play,0,0.3500,,Off,0.0000
19.738,2.7106,-1.7251,0,0.0,false,1,20.2106,Free Play,0,0.3500,,Off,0.0000
19.755,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.017,,0.0000
19.838,2.8291,1.1013,0,0.0,true,1,19.7512,Free Play,0,0.3500,,Off,0.0000
19.955,2.9492,0.9688,0,0.0,true,1,19.9082,Free Play,0,0.3500,,Off,0.0000
20.072,3.0582,0.9036,0,0.0,true,1,19.9941,Free Play,0,0.3500,,Off,0.0000
20.188,3.1622,0.9010,0,0.0,true,1,20.0238,Free Play,0,0.3500,,Off,0.0000
20.304,3.2702,0.9593,0,0.0,true,1,19.9991,Free Play,0,0.3500,,Off,0.0000
20.421,3.3886,1.0806,0,0.0,true,1,19.9061,Free Play,0,0.3500,,Off,0.0000
20.521,3.5044,1.2388,0,0.0,false,1,19.7489,Free Play,0,0.3500,,Off,0.0000
20.538,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.016,,0.0000
20.625,3.9544,4.4665,0,0.0,false,1,26.5291,Free Play,0,0.3500,,Off,0.0000
20.738,4.4813,4.8895,0,0.0,false,1,24.0106,Free Play,0,0.3500,,Off,0.0000
20.754,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.233,,0.0000
20.838,4.6949,2.3788,0,0.0,false,1,12.8108,Free Play,0,0.3500,,Off,0.0000
