timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.644,0.0,0.0,1,3.00,false,1,,Jiggle,0,0.3500,0.000,,0.0000
1.093,0.0,0.0,-1,3.00,false,1,,Jiggle,0,0.3500,0.000,,0.0000
1.527,0.0,0.0,1,3.00,false,1,,Jiggle,0,0.3500,0.000,,0.0000
1.644,3.6783,-0.3364,0,0.0,false,1,18.2973,Jiggle,0,0.3500,,Off,0.0000
1.761,3.6986,0.8378,0,0.0,false,1,18.4878,Jiggle,0,0.3500,,Off,0.0000
1.794,0.0,0.0,1,3.00,false,1,,Jiggle,0,0.3500,0.150,,0.0000
1.879,3.4529,-2.8625,0,0.0,true,1,23.2456,Jiggle,0,0.3500,,Off,0.0000
1.994,3.1288,-2.5997,0,0.0,true,1,22.9983,Jiggle,0,0.3500,,Off,0.0000
2.095,2.8841,-2.7439,0,0.0,true,1,23.0611,Jiggle,0,0.3500,,Off,0.0000
2.211,2.5472,-3.4955,0,0.0,false,1,24.0470,Jiggle,0,0.3500,,Off,0.0000
2.328,2.1689,-3.2529,0,0.0,false,1,20.6243,Jiggle,0,0.3500,,Off,0.0000
2.360,0.0,0.0,-1,3.00,false,1,,Jiggle,0,0.3500,0.149,,0.0000
2.444,2.0347,-1.0471,0,0.0,false,1,14.7475,Jiggle,0,0.3500,,Off,0.0000
2.544,0.0,0.0,-1,3.00,false,1,,Jiggle,0,0.3500,0.333,,0.0000
2.546,2.0274,2.4656,0,0.0,false,1,17.1745,Jiggle,0,0.3500,,Off,0.0000
2.665,2.3104,2.3188,0,0.0,false,1,19.1106,Jiggle,0,0.3500,,Off,0.0000
2.744,0.0,0.0,-1,3.00,false,1,,Jiggle,0,0.3500,0.534,,0.0000
2.778,2.7113,4.7672,0,0.0,false,1,30.0888,Jiggle,0,0.3500,,Off,0.0000
2.878,3.1530,4.3741,0,0.0,true,1,29.1858,Jiggle,0,0.3500,,Off,0.0000
2.994,3.5837,3.5957,0,0.0,false,1,25.1411,Jiggle,0,0.3500,,Off,0.0000
3.095,3.9881,4.4284,0,0.0,false,1,26.1157,Jiggle,0,0.3500,,Off,0.0000
3.111,0.0,0.0,1,3.00,false,1,,Jiggle,0,0.3500,0.117,,0.0000
3.211,4.2574,2.7093,0,0.0,false,1,17.7912,Jiggle,0,0.3500,,Off,0.0000
3.311,0.0,0.0,1,3.00,false,1,,Jiggle,0,0.3500,0.317,,0.0000
3.314,4.4699,-0.1328,0,0.0,false,1,12.1746,Jiggle,0,0.3500,,Off,0.0000
3.428,4.5034,0.6096,0,0.0,false,1,12.0312,Jiggle,0,0.3500,,Off,0.0000
3.546,0.0,0.0,1,3.00,false,1,,Jiggle,0,0.3500,0.552,,0.0000
3.548,4.5254,-2.1729,0,0.0,false,1,13.9947,Jiggle,0,0.3500,,Off,0.0000
3.661,4.2971,-1.8683,0,0.0,false,1,15.5129,Jiggle,0,0.3500,,Off,0.0000
3.783,4.0854,-1.5734,0,0.0,false,1,16.8037,Jiggle,0,0.3500,,Off,0.0000
3.794,0.0,0.0,1,3.00,false,1,,Jiggle,0,0.3500,0.799,,0.0000
3.894,3.6010,-3.9764,0,0.0,false,1,26.5086,Jiggle,0,0.3500,,Off,0.0000
3.994,3.1934,-3.8860,0,0.0,true,1,27.1574,Jiggle,0,0.3500,,Off,0.0000
4.095,2.8345,-3.8149,0,0.0,true,1,26.4376,Jiggle,0,0.3500,,Off,0.0000
4.216,2.3407,-4.2520,0,0.0,false,1,25.6782,Jiggle,0,0.3500,,Off,0.0000
4.261,0.0,0.0,-1,3.00,false,1,,Jiggle,0,0.3500,0.045,,0.0000
4.328,2.1254,-0.8772,0,0.0,false,1,15.3606,Jiggle,0,0.3500,,Off,0.0000
4.428,2.0037,-1.1592,0,0.0,false,1,14.5969,Jiggle,0,0.3500,,Off,0.0000
4.461,0.0,0.0,-1,3.00,false,1,,Jiggle,0,0.3500,0.246,,0.0000
4.544,2.0836,0.3578,0,0.0,false,1,14.6870,Jiggle,0,0.3500,,Off,0.0000
