timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.618,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.118,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.518,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.751,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.403,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.601,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.268,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.768,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.202,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.418,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.652,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.886,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.218,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.685,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.902,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.303,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.520,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.703,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.887,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.385,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.569,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.019,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.586,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.803,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.303,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.586,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.320,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.267,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
11.586,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.253,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.603,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
13.120,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
13.520,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.070,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.303,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
14.504,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.054,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.487,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
15.937,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
16.220,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
16.420,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
16.838,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
17.055,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
