timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.182,2.9995,-0.0431,0,0.0,true,1,19.5221,Free Play,0,0.3500,,Off,0.0000
0.298,2.9919,-0.0892,0,0.0,true,1,19.5143,Free Play,0,0.3500,,Off,0.0000
0.415,2.9786,-0.1405,0,0.0,true,1,19.4998,Free Play,0,0.3500,,Off,0.0000
0.517,2.9617,-0.1918,0,0.0,true,1,19.4802,Free Play,0,0.3500,,Off,0.0000
0.617,2.9396,-0.2509,0,0.0,true,1,19.4521,Free Play,0,0.3500,,Off,0.0000
0.734,2.9057,-0.3337,0,0.0,true,1,19.4041,Free Play,0,0.3500,,Off,0.0000
0.784,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.848,3.1061,2.5651,0,0.0,true,1,22.9038,Free Play,0,0.3500,,Off,0.0000
0.950,3.3672,2.5929,0,0.0,true,1,22.7330,Free Play,0,0.3500,,Off,0.0000
1.050,3.6336,2.7461,0,0.0,false,1,22.2271,Free Play,0,0.3500,,Off,0.0000
1.167,3.9713,3.0709,0,0.0,false,1,21.1477,Free Play,0,0.3500,,Off,0.0000
1.184,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.134,,0.0000
1.267,3.9984,0.4707,0,0.0,false,1,16.3450,Free Play,0,0.3500,,Off,0.0000
1.367,4.0658,0.8780,0,0.0,false,1,16.1060,Free Play,0,0.3500,,Off,0.0000
1.400,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.349,,0.0000
1.484,3.9010,-1.6098,0,0.0,false,1,18.2201,Free Play,0,0.3500,,Off,0.0000
1.601,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.550,,0.0000
1.603,3.6801,-4.1594,0,0.0,false,1,26.8819,Free Play,0,0.3500,,Off,0.0000
1.717,3.2234,-3.8602,0,0.0,true,1,27.0376,Free Play,0,0.3500,,Off,0.0000
1.834,2.7775,-3.8161,0,0.0,false,1,26.2581,Free Play,0,0.3500,,Off,0.0000
1.938,2.3780,-3.9770,0,0.0,false,1,24.8047,Free Play,0,0.3500,,Off,0.0000
2.051,1.9080,-4.3218,0,0.0,false,1,22.3942,Free Play,0,0.3500,,Off,0.0000
2.084,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.250,,0.0000
2.152,1.7028,-1.7475,0,0.0,false,1,12.6279,Free Play,0,0.3500,,Off,0.0000
