timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.769,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.952,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.452,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.651,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.852,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.288,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.469,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.668,0.0,0.0,1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.585,0.0,0.0,-1,1.77,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.419,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.018,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
5.554,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
6.135,0.0,0.0,1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
7.585,0.0,0.0,-1,1.77,false,2,,Free Play,0,0.3500,0.000,,0.0000
8.053,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.303,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.535,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
8.887,0.0,0.0,1,1.77,false,3,,Free Play,0,0.3500,0.000,,0.0000
9.203,2.2581,-3.1819,0,0.0,false,3,21.0963,Free Play,0,0.3500,,Off,0.0000
9.269,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.067,,0.0000
9.303,2.0101,-1.7619,0,0.0,false,3,15.5341,Free Play,0,0.3500,,Off,0.0000
9.420,1.7763,-2.2357,0,0.0,false,3,14.3110,Free Play,0,0.3500,,Off,0.0000
9.487,0.0,0.0,-1,1.77,false,3,,Free Play,0,0.3500,0.284,,0.0000
9.541,1.6014,-0.9986,0,0.0,false,3,10.6089,Free Play,0,0.3500,,Off,0.0000
