timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.867,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.250,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.468,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.900,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.200,3.2737,1.1361,0,0.0,true,1,20.1798,Free Play,0,0.3500,,Off,0.0000
2.306,3.3981,1.2451,0,0.0,true,1,20.0741,Free Play,0,0.3500,,Off,0.0000
2.368,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.417,3.3481,-1.5607,0,0.0,true,1,20.6295,Free Play,0,0.3500,,Off,0.0000
2.517,3.1988,-1.4341,0,0.0,true,1,20.6323,Free Play,0,0.3500,,Off,0.0000
2.619,3.0568,-1.3811,0,0.0,true,1,20.5385,Free Play,0,0.3500,,Off,0.0000
2.737,2.8926,-1.4092,0,0.0,true,1,20.3104,Free Play,0,0.3500,,Off,0.0000
2.817,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.850,2.8724,1.4635,0,0.0,true,1,20.3376,Free Play,0,0.3500,,Off,0.0000
2.950,3.0143,1.3680,0,0.0,true,1,20.4763,Free Play,0,0.3500,,Off,0.0000
3.051,3.1494,1.3426,0,0.0,true,1,20.5210,Free Play,0,0.3500,,Off,0.0000
3.183,3.2860,1.3850,0,0.0,true,2,20.4769,Free Play,0,0.3500,,Off,0.0000
3.284,3.4311,1.4961,0,0.0,true,2,20.3310,Free Play,0,0.3500,,Off,0.0000
3.317,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.384,3.3392,-1.3237,0,0.0,true,2,20.3052,Free Play,0,0.3500,,Off,0.0000
3.501,3.1939,-1.1863,0,0.0,true,2,20.3102,Free Play,0,0.3500,,Off,0.0000
3.617,3.0595,-1.1317,0,0.0,true,2,20.2274,Free Play,0,0.3500,,Off,0.0000
3.734,2.9268,-1.1547,0,0.0,true,2,20.0613,Free Play,0,0.3500,,Off,0.0000
3.818,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
3.834,2.9108,1.7532,0,0.0,true,2,20.8966,Free Play,0,0.3500,,Off,0.0000
3.951,3.1099,1.6741,0,0.0,true,2,21.0163,Free Play,0,0.3500,,Off,0.0000
4.067,3.3061,1.7099,0,0.0,true,2,20.9495,Free Play,0,0.3500,,Off,0.0000
4.184,3.5133,1.8589,0,0.0,false,2,20.6777,Free Play,0,0.3500,,Off,0.0000
4.252,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.068,,0.0000
4.301,3.5447,-0.8690,0,0.0,false,2,19.2112,Free Play,0,0.3500,,Off,0.0000
4.401,3.4694,-0.6445,0,0.0,true,2,19.3054,Free Play,0,0.3500,,Off,0.0000
4.517,3.4073,-0.4259,0,0.0,true,2,19.3663,Free Play,0,0.3500,,Off,0.0000
4.618,3.3729,-0.2649,0,0.0,true,2,19.3937,Free Play,0,0.3500,,Off,0.0000
