timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.135,3.0482,-0.3128,0,0.0,true,1,19.6262,Jiggle,0,0.3500,,Helper,0.0500
0.251,3.0109,-0.3976,0,0.0,true,1,19.6153,Jiggle,0,0.3500,,Helper,0.0500
0.368,3.0375,0.2146,0,0.0,true,1,19.5900,Jiggle,0,0.3500,,Helper,0.0500
0.468,3.0432,-0.0598,0,0.0,true,1,19.5744,Jiggle,0,0.3500,,Helper,0.0500
0.585,3.0658,0.3869,0,0.0,true,1,19.6666,Jiggle,0,0.3500,,Helper,-0.0500
0.685,3.0838,-0.2725,0,0.0,true,1,19.6407,Jiggle,0,0.3500,,Helper,0.0500
0.785,3.0472,-0.3332,0,0.0,true,1,19.6319,Jiggle,0,0.3500,,Helper,0.0500
0.885,3.0259,-0.1216,0,0.0,true,1,19.5618,Jiggle,0,0.3500,,Helper,0.0500
1.002,3.0523,0.1732,0,0.0,true,1,19.5959,Jiggle,0,0.3500,,Helper,0.0500
1.102,3.0903,0.4097,0,0.0,true,1,19.6910,Jiggle,0,0.3500,,Helper,-0.0500
1.218,3.1034,-0.0405,0,0.0,true,1,19.6137,Jiggle,0,0.3500,,Helper,0.0500
1.335,3.1084,-0.2339,0,0.0,true,1,19.6420,Jiggle,0,0.3500,,Helper,0.0500
1.435,3.1253,0.3067,0,0.0,true,1,19.6657,Jiggle,0,0.3500,,Helper,-0.0500
1.586,3.2028,0.5863,0,0.0,true,2,19.7735,Jiggle,0,0.3500,,Helper,-0.0500
1.702,3.2000,0.1453,0,0.0,true,2,19.6138,Jiggle,0,0.3500,,Helper,-0.0500
1.818,3.2509,0.5512,0,0.0,true,2,19.7134,Jiggle,0,0.3500,,Helper,-0.0500
1.918,3.2775,0.1374,0,0.0,true,2,19.5390,Jiggle,0,0.3500,,Helper,-0.0500
2.018,3.2976,-0.1770,0,0.0,true,2,19.5166,Jiggle,0,0.3500,,Helper,-0.0500
2.135,3.2740,-0.4189,0,0.0,true,2,19.6219,Jiggle,0,0.3500,,Helper,0.0500
2.252,3.2834,-0.1049,0,0.0,true,2,19.5270,Jiggle,0,0.3500,,Helper,-0.0500
2.368,3.2394,-0.6859,0,0.0,true,2,19.8083,Jiggle,0,0.3500,,Helper,0.0500
2.469,3.1933,-0.5801,0,0.0,true,2,19.7752,Jiggle,0,0.3500,,Helper,0.0500
2.586,3.1599,-0.0937,0,0.0,true,2,19.6227,Jiggle,0,0.3500,,Helper,0.0500
2.704,3.1929,0.3787,0,0.0,true,2,19.6788,Jiggle,0,0.3500,,Helper,-0.0500
2.818,3.1378,-0.3175,0,0.0,true,2,19.6703,Jiggle,0,0.3500,,Helper,0.0500
2.935,3.1643,0.7482,0,0.0,true,2,19.8974,Jiggle,0,0.3500,,Helper,-0.0500
3.035,3.2080,0.2624,0,0.0,true,2,19.6328,Jiggle,0,0.3500,,Helper,-0.0500
3.152,3.1972,-0.4755,0,0.0,true,2,19.7179,Jiggle,0,0.3500,,Helper,0.0500
3.268,3.1487,-0.0090,0,0.0,true,2,19.6198,Jiggle,0,0.3500,,Helper,-0.0123
3.369,3.1588,-0.0267,0,0.0,true,2,19.6189,Jiggle,0,0.3500,,Helper,-0.0221
3.469,3.1531,-0.1676,0,0.0,true,2,19.6334,Jiggle,0,0.3500,,Helper,0.0500
3.585,3.1355,-0.0655,0,0.0,true,2,19.6220,Jiggle,0,0.3500,,Helper,0.0500
3.736,3.0868,-0.4837,0,0.0,true,3,19.7223,Jiggle,0,0.3500,,Helper,0.0500
3.853,2.9996,-0.2358,0,0.0,true,3,19.5491,Jiggle,0,0.3500,,Helper,0.0500
3.969,2.9406,-1.4272,0,0.0,true,3,20.4410,Jiggle,0,0.3500,,Helper,0.0500
4.085,2.8072,-2.0884,0,0.0,true,3,21.2574,Jiggle,0,0.3500,,Helper,0.5000
4.202,2.6043,-1.4171,0,0.0,false,3,19.2417,Jiggle,0,0.3500,,Helper,0.5000
4.302,2.6053,1.5365,0,0.0,false,3,19.4230,Jiggle,0,0.3500,,Helper,-0.5000
4.402,2.7533,1.7242,0,0.0,false,3,20.3762,Jiggle,0,0.3500,,Helper,-0.0500
4.519,2.8007,-0.0981,0,0.0,true,3,19.0604,Jiggle,0,0.3500,,Helper,0.0500
4.636,2.7740,0.0941,0,0.0,false,3,18.9690,Jiggle,0,0.3500,,Helper,0.0500
4.752,2.7156,-0.3202,0,0.0,false,3,18.7944,Jiggle,0,0.3500,,Helper,0.0500
4.869,2.7060,0.5241,0,0.0,false,3,18.8414,Jiggle,0,0.3500,,Helper,0.0500
4.969,2.7866,1.2553,0,0.0,false,3,19.7962,Jiggle,0,0.3500,,Helper,-0.0500
5.070,2.8202,-0.1407,0,0.0,true,3,19.1276,Jiggle,0,0.3500,,Helper,0.0500
5.186,2.8185,-0.2615,0,0.0,true,3,19.1465,Jiggle,0,0.3500,,Helper,0.0500
5.286,2.7589,-0.6786,0,0.0,false,3,19.1406,Jiggle,0,0.3500,,Helper,0.0500
5.402,2.6416,0.0428,0,0.0,false,3,18.4200,Jiggle,0,0.3500,,Helper,0.0500
5.518,2.6913,0.9070,0,0.0,false,3,19.0536,Jiggle,0,0.3500,,Helper,0.0500
5.551,0.0,0.0,1,2.51,false,3,,Jiggle,0,0.3500,0.265,,0.0000
5.619,2.5707,-1.8094,0,0.0,false,3,19.7015,Jiggle,0,0.3500,,Helper,0.5000
5.719,2.4742,-0.3458,0,0.0,false,3,17.5751,Jiggle,0,0.3500,,Helper,0.5000
5.837,2.5816,0.8894,0,0.0,false,3,18.5169,Jiggle,0,0.3500,,Helper,0.5000
5.952,2.7622,1.5335,0,0.0,false,3,20.0981,Jiggle,0,0.3500,,Helper,-0.0500
6.069,2.9569,1.3374,0,0.0,true,3,20.3475,Jiggle,0,0.3500,,Helper,-0.0500
6.169,2.9985,0.8467,0,0.0,true,3,19.8781,Jiggle,0,0.3500,,Helper,-0.0500
6.286,3.1483,1.6789,0,0.0,true,3,21.0292,Jiggle,0,0.3500,,Helper,-0.0500
6.402,3.3275,2.2327,0,0.0,true,3,21.9435,Jiggle,0,0.3500,,Helper,-0.5000
6.417,0.0,0.0,1,2.27,false,3,,Jiggle,0,0.3500,0.000,,0.0000
6.502,3.2981,-0.3327,0,0.0,true,3,19.5554,Jiggle,0,0.3500,,Helper,-0.0498
6.619,3.2246,-0.5323,0,0.0,true,3,19.7279,Jiggle,0,0.3500,,Helper,0.0500
6.719,3.2264,1.0304,0,0.0,true,3,20.1157,Jiggle,0,0.3500,,Helper,-0.0500
6.835,3.4122,1.4218,0,0.0,true,3,20.2738,Jiggle,0,0.3500,,Helper,-0.0500
6.935,3.5399,1.1171,0,0.0,false,3,19.4760,Jiggle,0,0.3500,,Helper,-0.0500
7.035,3.6437,0.5891,0,0.0,false,3,18.5829,Jiggle,0,0.3500,,Helper,-0.5000
7.152,3.6319,-1.1128,0,0.0,false,3,19.0835,Jiggle,0,0.3500,,Helper,-0.0479
7.268,3.4757,-0.5929,0,0.0,true,3,19.2532,Jiggle,0,0.3500,,Helper,-0.0500
7.368,3.5202,1.0664,0,0.0,false,3,19.4938,Jiggle,0,0.3500,,Helper,-0.0500
7.469,3.6207,1.1000,0,0.0,false,3,19.1205,Jiggle,0,0.3500,,Helper,-0.0500
7.585,3.5896,-2.2243,0,0.0,false,3,21.1257,Jiggle,0,0.3500,,Helper,0.5000
7.686,3.4035,-1.5614,0,0.0,true,3,20.5046,Jiggle,0,0.3500,,Helper,0.0500
7.786,3.3368,-0.2906,0,0.0,true,3,19.4760,Jiggle,0,0.3500,,Helper,-0.0500
7.887,3.2033,-0.3355,0,0.0,true,3,19.6576,Jiggle,0,0.3500,,Helper,0.0500
8.003,3.1954,0.3569,0,0.0,true,3,19.6695,Jiggle,0,0.3500,,Helper,-0.0500
8.119,3.1425,-0.5886,0,0.0,true,3,19.7932,Jiggle,0,0.3500,,Helper,0.0500
8.220,3.0356,-1.1431,0,0.0,true,3,20.2183,Jiggle,0,0.3500,,Helper,0.0500
8.337,2.9884,-0.4649,0,0.0,true,3,19.6132,Jiggle,0,0.3500,,Helper,0.0500
8.453,2.9421,0.0899,0,0.0,true,3,19.4296,Jiggle,0,0.3500,,Helper,0.0500
8.553,2.9595,0.1484,0,0.0,true,3,19.4689,Jiggle,0,0.3500,,Helper,0.0500
8.653,2.9514,0.2938,0,0.0,true,3,19.4862,Jiggle,0,0.3500,,Helper,0.0500
8.770,2.9433,0.1031,0,0.0,true,3,19.4330,Jiggle,0,0.3500,,Helper,0.0500
