timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.133,3.2879,0.1159,0,0.0,true,1,19.5220,Free Play,0,0.3500,,Off,0.0000
0.234,3.3049,0.2218,0,0.0,true,1,19.5141,Free Play,0,0.3500,,Off,0.0000
0.351,3.3384,0.3556,0,0.0,true,1,19.4938,Free Play,0,0.3500,,Off,0.0000
0.468,3.3887,0.5099,0,0.0,true,1,19.4521,Free Play,0,0.3500,,Off,0.0000
0.568,3.4473,0.6659,0,0.0,true,1,19.3867,Free Play,0,0.3500,,Off,0.0000
0.668,3.5230,0.8503,0,0.0,false,1,19.2766,Free Play,0,0.3500,,Off,0.0000
0.784,3.6366,1.1101,0,0.0,false,1,19.0587,Free Play,0,0.3500,,Off,0.0000
0.901,3.7844,1.4309,0,0.0,false,1,18.6857,Free Play,0,0.3500,,Off,0.0000
1.018,3.9733,1.8207,0,0.0,false,1,18.0754,Free Play,0,0.3500,,Off,0.0000
1.135,4.2121,2.2839,0,0.0,false,1,17.1239,Free Play,0,0.3500,,Off,0.0000
1.235,4.4629,2.7324,0,0.0,false,1,15.9648,Free Play,0,0.3500,,Off,0.0000
