timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.768,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.585,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.651,2.2764,0.4694,0,0.0,false,1,16.2817,Free Play,0,0.3500,,Off,0.0000
1.752,2.3057,0.1174,0,0.0,false,1,16.3946,Free Play,0,0.3500,,Off,0.0000
1.868,2.2964,-0.2772,0,0.0,false,1,16.3579,Free Play,0,0.3500,,Off,0.0000
1.985,2.2407,-0.6771,0,0.0,false,1,16.1307,Free Play,0,0.3500,,Off,0.0000
2.101,2.1377,-1.0952,0,0.0,false,1,15.6779,Free Play,0,0.3500,,Off,0.0000
2.118,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.467,,0.0000
2.202,2.3080,1.5040,0,0.0,false,1,17.5351,Free Play,0,0.3500,,Off,0.0000
2.302,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.650,,0.0000
2.304,2.5017,4.1438,0,0.0,false,1,26.2645,Free Play,0,0.3500,,Off,0.0000
2.419,2.9558,3.8630,0,0.0,true,1,26.9125,Free Play,0,0.3500,,Off,0.0000
2.536,3.4053,3.8329,0,0.0,true,1,26.6265,Free Play,0,0.3500,,Off,0.0000
2.651,3.8589,4.0481,0,0.0,false,1,25.3961,Free Play,0,0.3500,,Off,0.0000
2.752,4.2819,4.3951,0,0.0,false,1,23.5624,Free Play,0,0.3500,,Off,0.0000
2.801,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.150,,0.0000
2.868,4.5743,1.9382,0,0.0,false,1,13.0381,Free Play,0,0.3500,,Off,0.0000
