timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.112,3.2869,0.1075,0,0.0,true,1,19.5223,Free Play,0,0.3500,,Off,0.0000
0.214,3.3033,0.2138,0,0.0,true,1,19.5149,Free Play,0,0.3500,,Off,0.0000
0.331,3.3358,0.3465,0,0.0,true,1,19.4957,Free Play,0,0.3500,,Off,0.0000
0.447,3.3843,0.4977,0,0.0,true,1,19.4562,Free Play,0,0.3500,,Off,0.0000
0.564,3.4534,0.6812,0,0.0,true,1,19.3790,Free Play,0,0.3500,,Off,0.0000
0.597,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
0.679,3.2491,-2.1117,0,0.0,true,1,21.7930,Free Play,0,0.3500,,Off,0.0000
0.780,3.0413,-2.0371,0,0.0,true,1,21.6455,Free Play,0,0.3500,,Off,0.0000
0.881,2.8346,-2.0661,0,0.0,true,1,21.2956,Free Play,0,0.3500,,Off,0.0000
0.985,2.6147,-2.1986,0,0.0,false,1,20.7062,Free Play,0,0.3500,,Off,0.0000
1.048,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.063,,0.0000
1.097,2.5517,0.5314,0,0.0,false,1,18.1034,Free Play,0,0.3500,,Off,0.0000
1.202,2.5933,0.2775,0,0.0,false,1,18.2205,Free Play,0,0.3500,,Off,0.0000
1.247,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.262,,0.0000
1.314,2.8586,3.0160,0,0.0,true,1,23.7777,Free Play,0,0.3500,,Off,0.0000
1.414,3.1553,2.9213,0,0.0,true,1,23.8861,Free Play,0,0.3500,,Off,0.0000
1.531,3.4981,2.9958,0,0.0,false,1,23.4904,Free Play,0,0.3500,,Off,0.0000
1.631,3.8074,3.2088,0,0.0,false,1,22.6729,Free Play,0,0.3500,,Off,0.0000
1.665,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.134,,0.0000
1.731,3.8946,0.5565,0,0.0,false,1,17.1224,Free Play,0,0.3500,,Off,0.0000
1.851,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.320,,0.0000
1.852,3.9237,-1.9811,0,0.0,false,1,18.7318,Free Play,0,0.3500,,Off,0.0000
1.965,3.7257,-1.5522,0,0.0,false,1,19.1981,Free Play,0,0.3500,,Off,0.0000
2.081,3.5659,-1.2033,0,0.0,false,1,19.4742,Free Play,0,0.3500,,Off,0.0000
2.198,3.4419,-0.9367,0,0.0,true,1,19.6196,Free Play,0,0.3500,,Off,0.0000
2.314,3.3449,-0.7362,0,0.0,true,1,19.6890,Free Play,0,0.3500,,Off,0.0000
2.415,3.2779,-0.6072,0,0.0,true,1,19.7133,Free Play,0,0.3500,,Off,0.0000
2.515,3.2223,-0.5108,0,0.0,true,1,19.7186,Free Play,0,0.3500,,Off,0.0000
2.615,3.1748,-0.4417,0,0.0,true,1,19.7121,Free Play,0,0.3500,,Off,0.0000
2.731,3.1266,-0.3904,0,0.0,true,1,19.6951,Free Play,0,0.3500,,Off,0.0000
2.831,3.0888,-0.3685,0,0.0,true,1,19.6742,Free Play,0,0.3500,,Off,0.0000
2.933,3.0517,-0.3654,0,0.0,true,1,19.6472,Free Play,0,0.3500,,Off,0.0000
3.048,3.0088,-0.3846,0,0.0,true,1,19.6075,Free Play,0,0.3500,,Off,0.0000
3.164,2.9616,-0.4291,0,0.0,true,1,19.5536,Free Play,0,0.3500,,Off,0.0000
3.265,2.9158,-0.4892,0,0.0,true,1,19.4907,Free Play,0,0.3500,,Off,0.0000
3.365,2.8629,-0.5719,0,0.0,true,1,19.4051,Free Play,0,0.3500,,Off,0.0000
3.398,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.482,3.0887,2.3117,0,0.0,true,1,22.2782,Free Play,0,0.3500,,Off,0.0000
3.598,3.3587,2.3419,0,0.0,true,1,22.1320,Free Play,0,0.3500,,Off,0.0000
3.715,3.6405,2.5247,0,0.0,false,1,21.6115,Free Play,0,0.3500,,Off,0.0000
3.766,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.051,,0.0000
3.815,3.7065,-0.1897,0,0.0,false,1,18.1139,Free Play,0,0.3500,,Off,0.0000
3.915,3.7025,0.1090,0,0.0,false,1,18.1226,Free Play,0,0.3500,,Off,0.0000
4.020,3.7299,0.4183,0,0.0,false,1,18.0582,Free Play,0,0.3500,,Off,0.0000
