timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.117,3.2863,0.1018,0,0.0,true,1,19.5226,Free Play,0,0.3500,,Off,0.0000
0.218,3.3017,0.2058,0,0.0,true,1,19.5157,Free Play,0,0.3500,,Off,0.0000
0.318,3.3278,0.3178,0,0.0,true,1,19.5009,Free Play,0,0.3500,,Off,0.0000
0.434,3.3733,0.4657,0,0.0,true,1,19.4663,Free Play,0,0.3500,,Off,0.0000
0.534,3.4271,0.6138,0,0.0,true,1,19.4113,Free Play,0,0.3500,,Off,0.0000
0.635,3.4974,0.7893,0,0.0,false,1,19.3171,Free Play,0,0.3500,,Off,0.0000
0.752,3.6034,1.0358,0,0.0,false,1,19.1287,Free Play,0,0.3500,,Off,0.0000
0.868,3.7412,1.3386,0,0.0,false,1,18.8049,Free Play,0,0.3500,,Off,0.0000
0.900,0.0,0.0,1,0.91,false,1,,Free Play,0,0.3500,0.265,,0.0000
0.984,3.8268,0.7950,0,0.0,false,1,17.7217,Free Play,0,0.3500,,Off,0.0000
1.085,3.9235,1.1420,0,0.0,false,1,17.4228,Free Play,0,0.3500,,Off,0.0000
1.185,4.0576,1.5252,0,0.0,false,1,16.9470,Free Play,0,0.3500,,Off,0.0000
1.302,0.0,0.0,1,1.74,false,1,,Free Play,0,0.3500,0.667,,0.0000
1.304,4.2340,0.2927,0,0.0,false,1,14.3691,Free Play,0,0.3500,,Off,0.0000
1.418,4.2977,0.8297,0,0.0,false,1,14.1067,Free Play,0,0.3500,,Off,0.0000
1.483,0.0,0.0,1,1.94,false,1,,Free Play,0,0.3500,0.848,,0.0000
1.534,4.2991,-0.5362,0,0.0,false,1,13.8941,Free Play,0,0.3500,,Off,0.0000
1.637,4.2701,-0.0237,0,0.0,false,1,14.0087,Free Play,0,0.3500,,Off,0.0000
1.716,0.0,0.0,1,2.08,false,1,,Free Play,0,0.3500,1.081,,0.0000
1.752,4.1952,-1.5393,0,0.0,false,1,15.8453,Free Play,0,0.3500,,Off,0.0000
1.852,4.0652,-1.0629,0,0.0,false,1,16.2896,Free Play,0,0.3500,,Off,0.0000
1.968,0.0,0.0,1,2.16,false,1,,Free Play,0,0.3500,1.333,,0.0000
1.970,3.9303,-2.7080,0,0.0,false,1,20.3907,Free Play,0,0.3500,,Off,0.0000
2.085,3.6454,-2.2710,0,0.0,false,1,20.9798,Free Play,0,0.3500,,Off,0.0000
2.201,3.4013,-1.9721,0,0.0,true,1,21.2356,Free Play,0,0.3500,,Off,0.0000
2.301,3.2108,-1.8204,0,0.0,true,1,21.2534,Free Play,0,0.3500,,Off,0.0000
2.402,3.0321,-1.7635,0,0.0,true,1,21.1162,Free Play,0,0.3500,,Off,0.0000
2.500,0.0,0.0,-1,1.90,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.502,2.8868,0.0970,0,0.0,true,1,19.3079,Free Play,0,0.3500,,Off,0.0000
2.618,2.8917,-0.0121,0,0.0,true,1,19.3153,Free Play,0,0.3500,,Off,0.0000
2.717,0.0,0.0,-1,2.09,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.718,2.9215,1.9760,0,0.0,true,1,21.3357,Free Play,0,0.3500,,Off,0.0000
2.835,3.1457,1.9055,0,0.0,true,1,21.4355,Free Play,0,0.3500,,Off,0.0000
2.935,3.3382,1.9486,0,0.0,true,1,21.3296,Free Play,0,0.3500,,Off,0.0000
3.055,3.5824,2.1253,0,0.0,false,1,20.9406,Free Play,0,0.3500,,Off,0.0000
3.150,0.0,0.0,1,1.44,false,1,,Free Play,0,0.3500,0.095,,0.0000
3.168,3.7892,0.9799,0,0.0,false,1,18.1141,Free Play,0,0.3500,,Off,0.0000
3.272,3.9076,1.3231,0,0.0,false,1,17.7553,Free Play,0,0.3500,,Off,0.0000
3.350,0.0,0.0,1,1.85,false,1,,Free Play,0,0.3500,0.295,,0.0000
3.385,3.9891,-0.0921,0,0.0,false,1,16.3069,Free Play,0,0.3500,,Off,0.0000
3.501,4.0058,0.3790,0,0.0,false,1,16.2509,Free Play,0,0.3500,,Off,0.0000
3.602,4.0647,0.7917,0,0.0,false,1,16.0425,Free Play,0,0.3500,,Off,0.0000
3.650,0.0,0.0,1,1.88,false,1,,Free Play,0,0.3500,0.595,,0.0000
3.718,4.0303,-0.5736,0,0.0,false,1,16.1591,Free Play,0,0.3500,,Off,0.0000
3.819,3.9941,-0.1516,0,0.0,false,1,16.2773,Free Play,0,0.3500,,Off,0.0000
3.935,4.0042,0.3236,0,0.0,false,1,16.2433,Free Play,0,0.3500,,Off,0.0000
3.983,0.0,0.0,1,2.02,false,1,,Free Play,0,0.3500,0.928,,0.0000
4.052,3.9028,-1.2034,0,0.0,false,1,17.6363,Free Play,0,0.3500,,Off,0.0000
4.152,3.8016,-0.8254,0,0.0,false,1,17.9004,Free Play,0,0.3500,,Off,0.0000
4.269,3.7284,-0.4339,0,0.0,false,1,18.0729,Free Play,0,0.3500,,Off,0.0000
4.385,3.6989,-0.0777,0,0.0,false,1,18.1386,Free Play,0,0.3500,,Off,0.0000
4.485,3.7060,0.2182,0,0.0,false,1,18.1225,Free Play,0,0.3500,,Off,0.0000
4.602,3.7516,0.5675,0,0.0,false,1,18.0117,Free Play,0,0.3500,,Off,0.0000
4.651,0.0,0.0,1,2.09,false,1,,Free Play,0,0.3500,1.595,,0.0000
4.702,3.6860,-1.1972,0,0.0,false,1,18.9186,Free Play,0,0.3500,,Off,0.0000
4.802,3.5810,-0.9092,0,0.0,false,1,19.1014,Free Play,0,0.3500,,Off,0.0000
4.918,3.4918,-0.6320,0,0.0,false,1,19.2242,Free Play,0,0.3500,,Off,0.0000
5.018,3.4389,-0.4314,0,0.0,true,1,19.2828,Free Play,0,0.3500,,Off,0.0000
5.119,3.4046,-0.2550,0,0.0,true,1,19.3152,Free Play,0,0.3500,,Off,0.0000
5.235,3.3859,-0.0694,0,0.0,true,1,19.3312,Free Play,0,0.3500,,Off,0.0000
5.335,3.3865,0.0825,0,0.0,true,1,19.3306,Free Play,0,0.3500,,Off,0.0000
5.452,3.4065,0.2615,0,0.0,true,1,19.3119,Free Play,0,0.3500,,Off,0.0000
5.552,3.4408,0.4251,0,0.0,true,1,19.2744,Free Play,0,0.3500,,Off,0.0000
5.567,0.0,0.0,1,0.58,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.669,3.4351,0.0538,0,0.0,true,1,19.2019,Free Play,0,0.3500,,Off,0.0000
5.786,3.4534,0.2604,0,0.0,true,1,19.1808,Free Play,0,0.3500,,Off,0.0000
5.902,3.4962,0.4779,0,0.0,false,1,19.1237,Free Play,0,0.3500,,Off,0.0000
6.019,3.5658,0.7208,0,0.0,false,1,19.0104,Free Play,0,0.3500,,Off,0.0000
6.067,0.0,0.0,1,0.79,false,1,,Free Play,0,0.3500,0.165,,0.0000
6.119,3.5971,0.1732,0,0.0,false,1,18.6347,Free Play,0,0.3500,,Off,0.0000
6.235,3.6343,0.4675,0,0.0,false,1,18.5622,Free Play,0,0.3500,,Off,0.0000
6.284,0.0,0.0,1,0.85,false,1,,Free Play,0,0.3500,0.382,,0.0000
6.336,3.6377,-0.1143,0,0.0,false,1,18.4437,Free Play,0,0.3500,,Off,0.0000
6.452,3.6427,0.1993,0,0.0,false,1,18.4336,Free Play,0,0.3500,,Off,0.0000
6.517,0.0,0.0,1,0.91,false,1,,Free Play,0,0.3500,0.615,,0.0000
6.552,3.6297,-0.4381,0,0.0,false,1,18.5704,Free Play,0,0.3500,,Off,0.0000
6.652,3.5993,-0.1734,0,0.0,false,1,18.6254,Free Play,0,0.3500,,Off,0.0000
6.703,0.0,0.0,1,0.91,false,1,,Free Play,0,0.3500,0.801,,0.0000
6.769,3.5201,-0.7925,0,0.0,false,1,19.2395,Free Play,0,0.3500,,Off,0.0000
6.885,3.4427,-0.5479,0,0.0,true,1,19.3287,Free Play,0,0.3500,,Off,0.0000
6.985,3.3970,-0.3703,0,0.0,true,1,19.3704,Free Play,0,0.3500,,Off,0.0000
7.086,3.3677,-0.2134,0,0.0,true,1,19.3930,Free Play,0,0.3500,,Off,0.0000
7.205,3.3525,-0.0453,0,0.0,true,1,19.4036,Free Play,0,0.3500,,Off,0.0000
7.284,0.0,0.0,1,0.75,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.319,3.3188,-0.6390,0,0.0,true,1,19.6706,Free Play,0,0.3500,,Off,0.0000
7.435,3.2528,-0.5070,0,0.0,true,1,19.6879,Free Play,0,0.3500,,Off,0.0000
7.536,3.2060,-0.4217,0,0.0,true,1,19.6885,Free Play,0,0.3500,,Off,0.0000
7.652,3.1613,-0.3521,0,0.0,true,1,19.6801,Free Play,0,0.3500,,Off,0.0000
7.754,3.1276,-0.3120,0,0.0,true,1,19.6677,Free Play,0,0.3500,,Off,0.0000
7.834,0.0,0.0,-1,0.57,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.855,3.1179,0.2815,0,0.0,true,1,19.6569,Free Play,0,0.3500,,Off,0.0000
7.969,3.1515,0.3068,0,0.0,true,1,19.6666,Free Play,0,0.3500,,Off,0.0000
8.086,3.1897,0.3524,0,0.0,true,1,19.6707,Free Play,0,0.3500,,Off,0.0000
8.205,3.2358,0.4229,0,0.0,true,1,19.6659,Free Play,0,0.3500,,Off,0.0000
8.284,0.0,0.0,1,0.80,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.365,3.2494,-0.2808,0,0.0,true,2,19.6025,Free Play,0,0.3500,,Off,0.0000
8.453,3.2228,-0.1859,0,0.0,true,2,19.6049,Free Play,0,0.3500,,Off,0.0000
8.570,3.2060,-0.1036,0,0.0,true,2,19.6050,Free Play,0,0.3500,,Off,0.0000
8.687,3.1983,-0.0303,0,0.0,true,2,19.6047,Free Play,0,0.3500,,Off,0.0000
8.802,3.1987,0.0386,0,0.0,true,2,19.6047,Free Play,0,0.3500,,Off,0.0000
8.919,3.2074,0.1091,0,0.0,true,2,19.6048,Free Play,0,0.3500,,Off,0.0000
9.035,3.2243,0.1848,0,0.0,true,2,19.6035,Free Play,0,0.3500,,Off,0.0000
9.068,0.0,0.0,1,0.70,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.136,3.1911,-0.4384,0,0.0,true,2,19.7041,Free Play,0,0.3500,,Off,0.0000
9.236,3.1500,-0.3845,0,0.0,true,2,19.6936,Free Play,0,0.3500,,Off,0.0000
9.353,3.1076,-0.3469,0,0.0,true,2,19.6745,Free Play,0,0.3500,,Off,0.0000
9.469,3.0682,-0.3339,0,0.0,true,2,19.6493,Free Play,0,0.3500,,Off,0.0000
9.572,3.0336,-0.3412,0,0.0,true,2,19.6211,Free Play,0,0.3500,,Off,0.0000
9.618,0.0,0.0,-1,0.42,false,2,,Free Play,0,0.3500,0.000,,0.0000
9.686,3.0279,0.0464,0,0.0,true,2,19.5577,Free Play,0,0.3500,,Off,0.0000
9.787,3.0313,0.0211,0,0.0,true,2,19.5606,Free Play,0,0.3500,,Off,0.0000
9.969,3.0320,-0.0100,0,0.0,true,3,19.5612,Free Play,0,0.3500,,Off,0.0000
10.069,3.0298,-0.0335,0,0.0,true,3,19.5593,Free Play,0,0.3500,,Off,0.0000
10.186,3.0242,-0.0623,0,0.0,true,3,19.5545,Free Play,0,0.3500,,Off,0.0000
10.286,3.0166,-0.0899,0,0.0,true,3,19.5475,Free Play,0,0.3500,,Off,0.0000
10.403,3.0041,-0.1268,0,0.0,true,3,19.5354,Free Play,0,0.3500,,Off,0.0000
10.506,2.9890,-0.1659,0,0.0,true,3,19.5198,Free Play,0,0.3500,,Off,0.0000
10.584,0.0,0.0,-1,0.30,false,3,,Free Play,0,0.3500,0.000,,0.0000
10.619,2.9820,0.0781,0,0.0,true,3,19.4984,Free Play,0,0.3500,,Off,0.0000
10.736,2.9879,0.0228,0,0.0,true,3,19.5046,Free Play,0,0.3500,,Off,0.0000
10.836,2.9879,-0.0223,0,0.0,true,3,19.5046,Free Play,0,0.3500,,Off,0.0000
10.936,2.9834,-0.0676,0,0.0,true,3,19.4998,Free Play,0,0.3500,,Off,0.0000
11.056,2.9720,-0.1248,0,0.0,true,3,19.4871,Free Play,0,0.3500,,Off,0.0000
11.169,2.9543,-0.1864,0,0.0,true,3,19.4659,Free Play,0,0.3500,,Off,0.0000
11.268,0.0,0.0,-1,0.31,false,3,,Free Play,0,0.3500,0.000,,0.0000
11.270,2.9379,0.0633,0,0.0,true,3,19.4193,Free Play,0,0.3500,,Off,0.0000
11.386,2.9406,-0.0171,0,0.0,true,3,19.4226,Free Play,0,0.3500,,Off,0.0000
11.552,2.9339,-0.0972,0,0.0,true,4,19.4140,Free Play,0,0.3500,,Off,0.0000
11.653,2.9205,-0.1700,0,0.0,true,4,19.3956,Free Play,0,0.3500,,Off,0.0000
11.769,2.8954,-0.2630,0,0.0,true,4,19.3587,Free Play,0,0.3500,,Off,0.0000
11.787,0.0,0.0,-1,0.37,false,4,,Free Play,0,0.3500,0.000,,0.0000
11.870,2.9013,0.0143,0,0.0,true,4,19.3382,Free Play,0,0.3500,,Off,0.0000
11.986,2.8970,-0.0878,0,0.0,true,4,19.3318,Free Play,0,0.3500,,Off,0.0000
12.086,2.8837,-0.1779,0,0.0,true,4,19.3115,Free Play,0,0.3500,,Off,0.0000
12.203,2.8566,-0.2914,0,0.0,true,4,19.2667,Free Play,0,0.3500,,Off,0.0000
12.284,0.0,0.0,-1,0.82,false,4,,Free Play,0,0.3500,0.000,,0.0000
12.303,2.8483,0.4110,0,0.0,true,4,19.2856,Free Play,0,0.3500,,Off,0.0000
12.403,2.8838,0.2992,0,0.0,true,4,19.3406,Free Play,0,0.3500,,Off,0.0000
12.518,0.0,0.0,-1,0.92,false,4,,Free Play,0,0.3500,0.000,,0.0000
12.521,2.9285,1.1110,0,0.0,true,4,20.0153,Free Play,0,0.3500,,Off,0.0000
12.637,3.0524,1.0357,0,0.0,true,4,20.1173,Free Play,0,0.3500,,Off,0.0000
12.753,3.1720,1.0312,0,0.0,true,4,20.1472,Free Play,0,0.3500,,Off,0.0000
12.870,3.2955,1.0966,0,0.0,true,4,20.1053,Free Play,0,0.3500,,Off,0.0000
12.974,3.4148,1.2147,0,0.0,true,4,19.9938,Free Play,0,0.3500,,Off,0.0000
13.052,0.0,0.0,1,0.51,false,4,,Free Play,0,0.3500,0.000,,0.0000
13.087,3.5372,0.9061,0,0.0,false,4,19.2727,Free Play,0,0.3500,,Off,0.0000
13.190,3.6422,1.1399,0,0.0,false,4,19.0659,Free Play,0,0.3500,,Off,0.0000
13.252,0.0,0.0,1,0.80,false,4,,Free Play,0,0.3500,0.165,,0.0000
13.304,3.7362,0.6574,0,0.0,false,4,18.1526,Free Play,0,0.3500,,Off,0.0000
13.421,3.8350,1.0272,0,0.0,false,4,17.8823,Free Play,0,0.3500,,Off,0.0000
13.452,0.0,0.0,1,0.87,false,4,,Free Play,0,0.3500,0.365,,0.0000
13.537,3.8894,0.5653,0,0.0,false,4,17.1623,Free Play,0,0.3500,,Off,0.0000
13.635,0.0,0.0,1,1.03,false,4,,Free Play,0,0.3500,0.548,,0.0000
13.637,3.9470,-0.0877,0,0.0,false,4,16.6107,Free Play,0,0.3500,,Off,0.0000
