timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.134,3.0535,-0.0141,0,0.0,true,1,19.5821,Timed,0,0.3500,,Off,0.0000
0.251,3.0510,-0.0289,0,0.0,true,1,19.5802,Timed,0,0.3500,,Off,0.0000
0.367,3.0467,-0.0454,0,0.0,true,1,19.5769,Timed,0,0.3500,,Off,0.0000
0.484,3.0403,-0.0645,0,0.0,true,1,19.5718,Timed,0,0.3500,,Off,0.0000
0.584,3.0329,-0.0840,0,0.0,true,1,19.5657,Timed,0,0.3500,,Off,0.0000
0.684,3.0234,-0.1073,0,0.0,true,1,19.5573,Timed,0,0.3500,,Off,0.0000
0.801,3.0090,-0.1407,0,0.0,true,1,19.5437,Timed,0,0.3500,,Off,0.0000
0.917,2.9902,-0.1826,0,0.0,true,1,19.5245,Timed,0,0.3500,,Off,0.0000
1.018,2.9698,-0.2275,0,0.0,true,1,19.5014,Timed,0,0.3500,,Off,0.0000
1.118,2.9443,-0.2827,0,0.0,true,1,19.4697,Timed,0,0.3500,,Off,0.0000
1.151,0.0,0.0,-1,1.76,false,1,,Timed,0,0.3500,0.000,,0.0000
1.235,3.0829,1.4051,0,0.0,true,1,20.5902,Timed,0,0.3500,,Off,0.0000
1.351,3.2467,1.4224,0,0.0,true,1,20.5774,Timed,0,0.3500,,Off,0.0000
1.451,3.3929,1.5129,0,0.0,true,1,20.4561,Timed,0,0.3500,,Off,0.0000
1.551,0.0,0.0,1,1.76,false,1,,Timed,0,0.3500,0.000,,0.0000
1.553,3.5225,-0.0778,0,0.0,false,1,18.9198,Timed,0,0.3500,,Off,0.0000
1.668,3.5280,0.1719,0,0.0,false,1,18.9115,Timed,0,0.3500,,Off,0.0000
1.768,3.5561,0.3921,0,0.0,false,1,18.8660,Timed,0,0.3500,,Off,0.0000
1.785,0.0,0.0,1,1.76,false,1,,Timed,0,0.3500,0.232,,0.0000
1.885,3.4122,-1.1075,0,0.0,true,1,19.8761,Timed,0,0.3500,,Off,0.0000
2.001,3.2945,-0.9258,0,0.0,true,1,19.9341,Timed,0,0.3500,,Off,0.0000
2.101,3.2073,-0.8227,0,0.0,true,1,19.9372,Timed,0,0.3500,,Off,0.0000
2.218,3.1159,-0.7565,0,0.0,true,1,19.9029,Timed,0,0.3500,,Off,0.0000
2.318,3.0412,-0.7417,0,0.0,true,1,19.8457,Timed,0,0.3500,,Off,0.0000
2.434,2.9535,-0.7712,0,0.0,true,1,19.7444,Timed,0,0.3500,,Off,0.0000
2.535,2.8734,-0.8368,0,0.0,true,1,19.6193,Timed,0,0.3500,,Off,0.0000
2.635,2.7845,-0.9414,0,0.0,false,1,19.4445,Timed,0,0.3500,,Off,0.0000
2.651,0.0,0.0,-1,1.76,false,1,,Timed,0,0.3500,0.016,,0.0000
2.751,2.8700,0.6589,0,0.0,true,1,19.4776,Timed,0,0.3500,,Off,0.0000
2.851,2.9307,0.5590,0,0.0,true,1,19.5589,Timed,0,0.3500,,Off,0.0000
2.951,2.9828,0.4883,0,0.0,true,1,19.6158,Timed,0,0.3500,,Off,0.0000
3.051,3.0292,0.4430,0,0.0,true,1,19.6562,Timed,0,0.3500,,Off,0.0000
3.118,0.0,0.0,1,1.76,false,1,,Timed,0,0.3500,0.000,,0.0000
3.152,2.9840,-1.3331,0,0.0,true,1,20.3870,Timed,0,0.3500,,Off,0.0000
3.268,2.8257,-1.4010,0,0.0,true,1,20.1161,Timed,0,0.3500,,Off,0.0000
3.368,2.6794,-1.5300,0,0.0,false,1,19.7609,Timed,0,0.3500,,Off,0.0000
