timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.869,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.335,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.552,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.919,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.435,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.602,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.785,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.635,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.919,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.319,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.670,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
5.935,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.285,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.819,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.136,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.502,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.502,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.636,3.3148,-1.2657,0,0.0,true,1,20.2742,Free Play,0,0.3500,,Off,0.0000
8.736,3.1941,-1.1540,0,0.0,true,1,20.2724,Free Play,0,0.3500,,Off,0.0000
8.853,3.0631,-1.0990,0,0.0,true,1,20.1938,Free Play,0,0.3500,,Off,0.0000
8.970,2.9343,-1.1196,0,0.0,true,1,20.0368,Free Play,0,0.3500,,Off,0.0000
9.086,2.7996,-1.2132,0,0.0,true,1,19.7879,Free Play,0,0.3500,,Off,0.0000
9.186,2.6709,-1.3544,0,0.0,false,1,19.4703,Free Play,0,0.3500,,Off,0.0000
9.292,2.5188,-1.5626,0,0.0,false,1,18.9991,Free Play,0,0.3500,,Off,0.0000
9.386,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.199,,0.0000
9.403,2.4284,1.1303,0,0.0,false,1,17.8676,Free Play,0,0.3500,,Off,0.0000
9.503,2.5263,0.8340,0,0.0,false,1,18.1685,Free Play,0,0.3500,,Off,0.0000
9.619,2.6058,0.5382,0,0.0,false,1,18.3902,Free Play,0,0.3500,,Off,0.0000
9.719,2.6483,0.3153,0,0.0,false,1,18.5003,Free Play,0,0.3500,,Off,0.0000
9.836,2.6711,0.0779,0,0.0,false,1,18.5571,Free Play,0,0.3500,,Off,0.0000
9.936,2.6691,-0.1174,0,0.0,false,1,18.5520,Free Play,0,0.3500,,Off,0.0000
9.953,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.766,,0.0000
10.053,2.9911,2.6779,0,0.0,true,1,23.0947,Free Play,0,0.3500,,Off,0.0000
10.153,3.2566,2.6475,0,0.0,true,1,23.0599,Free Play,0,0.3500,,Off,0.0000
10.269,3.5711,2.7768,0,0.0,false,1,22.5845,Free Play,0,0.3500,,Off,0.0000
10.370,3.8622,3.0230,0,0.0,false,1,21.7504,Free Play,0,0.3500,,Off,0.0000
