timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.985,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.318,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.156,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.685,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
3.786,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.086,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.552,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
4.985,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.086,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.419,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
6.885,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.269,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
7.303,3.4160,-0.6545,0,0.0,true,1,19.4672,Free Play,0,0.3500,,Off,0.0000
7.403,3.3588,-0.4899,0,0.0,true,1,19.5095,Free Play,0,0.3500,,Off,0.0000
7.519,3.3113,-0.3329,0,0.0,true,1,19.5345,Free Play,0,0.3500,,Off,0.0000
7.636,3.2803,-0.2010,0,0.0,true,1,19.5460,Free Play,0,0.3500,,Off,0.0000
7.753,3.2637,-0.0856,0,0.0,true,1,19.5506,Free Play,0,0.3500,,Off,0.0000
7.869,3.2600,0.0211,0,0.0,true,1,19.5516,Free Play,0,0.3500,,Off,0.0000
7.969,3.2666,0.1117,0,0.0,true,1,19.5497,Free Play,0,0.3500,,Off,0.0000
8.069,3.2825,0.2060,0,0.0,true,1,19.5440,Free Play,0,0.3500,,Off,0.0000
8.176,3.3099,0.3147,0,0.0,true,1,19.5309,Free Play,0,0.3500,,Off,0.0000
8.236,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
8.286,3.1540,-2.5482,0,0.0,true,1,22.8660,Free Play,0,0.3500,,Off,0.0000
8.386,2.9010,-2.5232,0,0.0,true,1,22.5207,Free Play,0,0.3500,,Off,0.0000
8.503,2.6003,-2.6480,0,0.0,false,1,21.7232,Free Play,0,0.3500,,Off,0.0000
8.602,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.099,,0.0000
8.605,2.3755,0.1113,0,0.0,false,1,16.8855,Free Play,0,0.3500,,Off,0.0000
8.719,2.3675,-0.2501,0,0.0,false,1,16.8559,Free Play,0,0.3500,,Off,0.0000
8.825,2.3237,-0.5842,0,0.0,false,1,16.6883,Free Play,0,0.3500,,Off,0.0000
8.939,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.436,,0.0000
8.940,2.2953,2.0209,0,0.0,false,1,18.3539,Free Play,0,0.3500,,Off,0.0000
9.054,2.5019,1.6322,0,0.0,false,1,19.0122,Free Play,0,0.3500,,Off,0.0000
9.169,2.6727,1.3306,0,0.0,false,1,19.4463,Free Play,0,0.3500,,Off,0.0000
9.270,2.7957,1.1398,0,0.0,true,1,19.6886,Free Play,0,0.3500,,Off,0.0000
9.387,2.9195,0.9886,0,0.0,true,1,19.8678,Free Play,0,0.3500,,Off,0.0000
9.503,3.0292,0.9068,0,0.0,true,1,19.9692,Free Play,0,0.3500,,Off,0.0000
9.603,3.1185,0.8865,0,0.0,true,1,20.0104,Free Play,0,0.3500,,Off,0.0000
9.720,3.2236,0.9193,0,0.0,true,1,20.0096,Free Play,0,0.3500,,Off,0.0000
9.824,3.3225,0.9996,0,0.0,true,1,19.9595,Free Play,0,0.3500,,Off,0.0000
9.886,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
9.936,3.2436,-1.8480,0,0.0,true,1,21.2764,Free Play,0,0.3500,,Off,0.0000
10.036,3.0628,-1.7748,0,0.0,true,1,21.1645,Free Play,0,0.3500,,Off,0.0000
10.156,2.8507,-1.8042,0,0.0,true,1,20.8354,Free Play,0,0.3500,,Off,0.0000
10.253,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
10.270,2.7374,1.0419,0,0.0,false,1,19.3725,Free Play,0,0.3500,,Off,0.0000
10.386,2.8477,0.8578,0,0.0,true,1,19.5672,Free Play,0,0.3500,,Off,0.0000
10.486,2.9276,0.7479,0,0.0,true,1,19.6760,Free Play,0,0.3500,,Off,0.0000
10.603,3.0099,0.6680,0,0.0,true,1,19.7582,Free Play,0,0.3500,,Off,0.0000
10.719,3.0852,0.6350,0,0.0,true,1,19.8060,Free Play,0,0.3500,,Off,0.0000
10.820,3.1489,0.6414,0,0.0,true,1,19.8254,Free Play,0,0.3500,,Off,0.0000
10.920,3.2148,0.6797,0,0.0,true,1,19.8247,Free Play,0,0.3500,,Off,0.0000
11.036,3.2986,0.7660,0,0.0,true,1,19.7928,Free Play,0,0.3500,,Off,0.0000
11.152,3.3947,0.9006,0,0.0,true,1,19.7130,Free Play,0,0.3500,,Off,0.0000
11.202,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.253,3.2952,-1.9299,0,0.0,true,1,21.3668,Free Play,0,0.3500,,Off,0.0000
11.354,3.1075,-1.8314,0,0.0,true,1,21.2913,Free Play,0,0.3500,,Off,0.0000
11.457,2.9192,-1.8273,0,0.0,true,1,21.0481,Free Play,0,0.3500,,Off,0.0000
11.520,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
11.569,2.9066,1.0615,0,0.0,true,1,19.9138,Free Play,0,0.3500,,Off,0.0000
11.670,3.0091,0.9809,0,0.0,true,1,20.0150,Free Play,0,0.3500,,Off,0.0000
11.770,3.1054,0.9510,0,0.0,true,1,20.0657,Free Play,0,0.3500,,Off,0.0000
11.902,3.2012,0.9691,0,0.0,true,2,20.0721,Free Play,0,0.3500,,Off,0.0000
12.003,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
12.005,3.2494,-1.9539,0,0.0,true,2,21.4718,Free Play,0,0.3500,,Off,0.0000
12.119,3.0317,-1.8754,0,0.0,true,2,21.3194,Free Play,0,0.3500,,Off,0.0000
12.220,2.8411,-1.9084,0,0.0,true,2,21.0015,Free Play,0,0.3500,,Off,0.0000
12.321,2.6435,-2.0325,0,0.0,false,2,20.4933,Free Play,0,0.3500,,Off,0.0000
12.336,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.015,,0.0000
12.437,2.7413,0.7340,0,0.0,false,2,19.1139,Free Play,0,0.3500,,Off,0.0000
12.537,2.8064,0.5731,0,0.0,true,2,19.2382,Free Play,0,0.3500,,Off,0.0000
12.653,2.8641,0.4228,0,0.0,true,2,19.3342,Free Play,0,0.3500,,Off,0.0000
12.753,2.9011,0.3190,0,0.0,true,2,19.3885,Free Play,0,0.3500,,Off,0.0000
12.870,2.9324,0.2196,0,0.0,true,2,19.4302,Free Play,0,0.3500,,Off,0.0000
12.987,2.9530,0.1373,0,0.0,true,2,19.4555,Free Play,0,0.3500,,Off,0.0000
13.103,2.9648,0.0659,0,0.0,true,2,19.4692,Free Play,0,0.3500,,Off,0.0000
13.203,2.9685,0.0097,0,0.0,true,2,19.4735,Free Play,0,0.3500,,Off,0.0000
