timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.801,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.350,2.8127,-1.3891,0,0.0,true,1,20.0591,Free Play,0,0.3500,,Off,0.0000
1.451,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
1.453,2.7218,1.4613,0,0.0,false,1,19.8359,Free Play,0,0.3500,,Off,0.0000
1.566,2.8757,1.2769,0,0.0,true,1,20.0905,Free Play,0,0.3500,,Off,0.0000
1.666,2.9986,1.1823,0,0.0,true,1,20.2188,Free Play,0,0.3500,,Off,0.0000
1.766,3.1146,1.1482,0,0.0,true,1,20.2756,Free Play,0,0.3500,,Off,0.0000
1.867,3.2304,1.1719,0,0.0,true,1,20.2680,Free Play,0,0.3500,,Off,0.0000
1.967,3.3517,1.2537,0,0.0,true,1,20.1901,Free Play,0,0.3500,,Off,0.0000
2.068,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.070,3.4270,-1.5916,0,0.0,true,1,20.4898,Free Play,0,0.3500,,Off,0.0000
2.183,3.2575,-1.4098,0,0.0,true,1,20.5480,Free Play,0,0.3500,,Off,0.0000
2.284,3.1208,-1.3275,0,0.0,true,1,20.4990,Free Play,0,0.3500,,Off,0.0000
2.400,2.9681,-1.3168,0,0.0,true,1,20.3398,Free Play,0,0.3500,,Off,0.0000
2.501,0.0,0.0,-1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.503,2.8893,1.6103,0,0.0,true,1,20.6059,Free Play,0,0.3500,,Off,0.0000
2.617,3.0660,1.5184,0,0.0,true,1,20.7448,Free Play,0,0.3500,,Off,0.0000
2.733,3.2427,1.5271,0,0.0,true,1,20.7360,Free Play,0,0.3500,,Off,0.0000
2.850,3.4268,1.6386,0,0.0,true,1,20.5663,Free Play,0,0.3500,,Off,0.0000
2.968,0.0,0.0,1,3.00,false,1,,Free Play,0,0.3500,0.000,,0.0000
2.969,3.5732,-1.1325,0,0.0,false,1,19.3617,Free Play,0,0.3500,,Off,0.0000
3.084,3.4594,-0.8654,0,0.0,true,1,19.5031,Free Play,0,0.3500,,Off,0.0000
3.184,3.3824,-0.6813,0,0.0,true,1,19.5689,Free Play,0,0.3500,,Off,0.0000
3.300,3.3132,-0.5121,0,0.0,true,1,19.6070,Free Play,0,0.3500,,Off,0.0000
3.417,3.2614,-0.3811,0,0.0,true,1,19.6222,Free Play,0,0.3500,,Off,0.0000
3.534,3.2232,-0.2787,0,0.0,true,1,19.6262,Free Play,0,0.3500,,Off,0.0000
3.650,3.1956,-0.1974,0,0.0,true,1,19.6252,Free Play,0,0.3500,,Off,0.0000
3.767,3.1766,-0.1313,0,0.0,true,1,19.6226,Free Play,0,0.3500,,Off,0.0000
3.883,3.1646,-0.0759,0,0.0,true,1,19.6203,Free Play,0,0.3500,,Off,0.0000
3.984,3.1591,-0.0332,0,0.0,true,1,19.6190,Free Play,0,0.3500,,Off,0.0000
4.100,3.1580,0.0131,0,0.0,true,1,19.6188,Free Play,0,0.3500,,Off,0.0000
4.216,3.1622,0.0595,0,0.0,true,1,19.6197,Free Play,0,0.3500,,Off,0.0000
4.333,3.1720,0.1089,0,0.0,true,1,19.6214,Free Play,0,0.3500,,Off,0.0000
4.449,3.1878,0.1642,0,0.0,true,1,19.6230,Free Play,0,0.3500,,Off,0.0000
4.586,3.2070,0.2196,0,0.0,true,2,19.6232,Free Play,0,0.3500,,Off,0.0000
4.682,3.2369,0.2967,0,0.0,true,2,19.6195,Free Play,0,0.3500,,Off,0.0000
4.783,3.2707,0.3775,0,0.0,true,2,19.6096,Free Play,0,0.3500,,Off,0.0000
4.817,0.0,0.0,1,3.00,false,2,,Free Play,0,0.3500,0.000,,0.0000
4.883,3.0629,-2.5267,0,0.0,true,2,22.7818,Free Play,0,0.3500,,Off,0.0000
4.999,2.7687,-2.5610,0,0.0,false,2,22.2252,Free Play,0,0.3500,,Off,0.0000
5.100,2.5049,-2.7184,0,0.0,false,2,21.3931,Free Play,0,0.3500,,Off,0.0000
5.200,2.2185,-2.9829,0,0.0,false,2,20.1780,Free Play,0,0.3500,,Off,0.0000
5.251,0.0,0.0,-1,3.00,false,2,,Free Play,0,0.3500,0.252,,0.0000
5.316,2.0961,-0.4157,0,0.0,false,2,14.8158,Free Play,0,0.3500,,Off,0.0000
5.417,2.0341,-0.8163,0,0.0,false,2,14.5276,Free Play,0,0.3500,,Off,0.0000
5.534,1.9112,-1.2940,0,0.0,false,2,13.9223,Free Play,0,0.3500,,Off,0.0000
