timestamp,angle,angleVelocity,pushDirection,pushMagnitude,isBalanced,level,energy,gameMode,score,balanceThreshold,reactionTime,aiMode,aiForce
0.304,2.9993,-0.0451,0,0.0,true,1,19.5219,Free Play,0,0.3500,,Off,0.0000
0.412,2.9921,-0.0883,0,0.0,true,1,19.5145,Free Play,0,0.3500,,Off,0.0000
0.528,2.9789,-0.1395,0,0.0,true,1,19.5002,Free Play,0,0.3500,,Off,0.0000
0.629,2.9624,-0.1898,0,0.0,true,1,19.4810,Free Play,0,0.3500,,Off,0.0000
0.745,2.9364,-0.2590,0,0.0,true,1,19.4478,Free Play,0,0.3500,,Off,0.0000
0.846,2.9070,-0.3308,0,0.0,true,1,19.4059,Free Play,0,0.3500,,Off,0.0000
0.946,2.8697,-0.4171,0,0.0,true,1,19.3466,Free Play,0,0.3500,,Off,0.0000
1.062,2.8141,-0.5409,0,0.0,true,1,19.2450,Free Play,0,0.3500,,Off,0.0000
1.163,2.7534,-0.6728,0,0.0,false,1,19.1164,Free Play,0,0.3500,,Off,0.0000
1.279,2.6646,-0.8616,0,0.0,false,1,18.8962,Free Play,0,0.3500,,Off,0.0000
1.379,2.5687,-1.0614,0,0.0,false,1,18.6170,Free Play,0,0.3500,,Off,0.0000
1.479,2.4506,-1.3021,0,0.0,false,1,18.2173,Free Play,0,0.3500,,Off,0.0000
1.598,2.2760,-1.6465,0,0.0,false,1,17.5241,Free Play,0,0.3500,,Off,0.0000
1.778,2.0860,-2.0036,0,0.0,false,1,16.6507,Free Play,0,0.3500,,Off,0.0000
2.079,1.8032,-2.4948,0,0.0,false,1,15.1810,Free Play,0,0.3500,,Off,0.0000
